Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
AMOSA,202,0.408568,0.026154,0.123740,0.007833,38,38,0,4065
AMOSA,203,0.402579,0.034514,0.128140,0.012235,37,37,0,4060
AMOSA,204,0.421152,0.030271,0.130867,0.009650,33,33,0,4025
AMOSA,205,0.421039,0.034286,0.130553,0.009782,31,31,0,4026
AMOSA,206,0.402235,0.015666,0.132017,0.007517,30,30,0,4009
AMOSA,207,0.391728,0.038419,0.142039,0.008956,26,26,0,4040
AMOSA,208,0.369693,0.012112,0.152391,0.015125,30,30,0,4013
AMOSA,209,0.426569,0.055419,0.144593,0.010559,31,31,1,4023
AMOSA,MEAN,0.401623,0.027950,0.137787,0.010425,32,32,1,4031
AMOSA,STDDEV,0.017548,0.012977,0.009408,0.003319,,,,
NSGA-II_PC_190kW,200,0.501209,0.113502,0.137262,0.012571,38,38,0,6590
NSGA-II_PC_190kW,201,0.488162,0.115311,0.145147,0.011110,38,38,0,6585
NSGA-II_PC_190kW,202,0.515299,0.088081,0.148152,0.009821,40,40,0,6609
NSGA-II_PC_190kW,203,0.506531,0.098009,0.149003,0.012751,38,38,0,6514
NSGA-II_PC_190kW,204,0.506449,0.096234,0.146602,0.015405,33,33,0,6535
NSGA-II_PC_190kW,205,0.494462,0.100117,0.141961,0.010851,47,47,0,6539
NSGA-II_PC_190kW,206,0.484968,0.113468,0.140128,0.022012,37,37,0,6503
NSGA-II_PC_190kW,207,0.495057,0.094082,0.141469,0.009692,37,37,0,6573
NSGA-II_PC_190kW,208,0.494035,0.094417,0.144488,0.010788,34,34,0,6488
NSGA-II_PC_190kW,209,0.485346,0.116784,0.145301,0.032156,34,34,0,6593
NSGA-II_PC_190kW,MEAN,0.497152,0.103001,0.143951,0.014716,38,38,0,6552
NSGA-II_PC_190kW,STDDEV,0.009540,0.010081,0.003510,0.006774,,,,
NSGA-II_PC_120kW,200,0.289363,0.335735,0.377700,0.032787,17,17,0,6144
NSGA-II_PC_120kW,201,0.323727,0.276106,0.353409,0.012391,20,20,0,6205
NSGA-II_PC_120kW,202,0.336749,0.272971,0.354731,0.013657,13,13,0,6208
NSGA-II_PC_120kW,203,0.317767,0.323940,0.349618,0.011281,21,21,0,6205
NSGA-II_PC_120kW,204,0.325596,0.310133,0.379365,0.031562,20,20,0,6159
NSGA-II_PC_120kW,205,0.295105,0.337795,0.385462,0.013607,23,23,0,6117
NSGA-II_PC_120kW,206,0.323059,0.293972,0.355799,0.030623,16,16,0,6210
NSGA-II_PC_120kW,207,0.319648,0.294385,0.337300,0.013659,17,17,0,6198
NSGA-II_PC_120kW,208,0.317537,0.294746,0.353523,0.025663,17,17,0,6107
NSGA-II_PC_120kW,209,0.332278,0.315094,0.330090,0.015731,21,21,0,6203
NSGA-II_PC_120kW,MEAN,0.318083,0.305488,0.357700,0.020096,19,19,0,6175
NSGA-II_PC_120kW,STDDEV,0.014208,0.021691,0.017124,0.008458,,,,
SPEA-II_PC_190kW,200,0.507812,0.081905,0.136237,0.007702,52,52,0,7235
SPEA-II_PC_190kW,201,0.537940,0.055016,0.118389,0.014011,34,34,0,7136
SPEA-II_PC_190kW,202,0.519718,0.059910,0.135533,0.008805,37,37,0,7200
SPEA-II_PC_190kW,203,0.526523,0.053522,0.134271,0.011892,54,54,0,7199
SPEA-II_PC_190kW,204,0.509476,0.081367,0.133565,0.008529,49,49,0,7217
