Scenario,ScenarioName,Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts
1,Balanced,GA_WaitingTime_Dominance,203,4.622000,0.608869838,222032.687
1,Balanced,GA_WaitingTime_Dominance,203,4.524000,0.631726415,222732.595
1,Balanced,GA_WaitingTime_Dominance,203,4.562000,0.622100253,222434.049
1,Balanced,GA_WaitingTime_Dominance,203,4.530000,0.623614162,230548.927
1,Balanced,GA_WaitingTime_Dominance,203,4.592000,0.614508270,216653.534
1,Balanced,GA_WaitingTime_Dominance,203,4.374000,0.646650747,242133.299
1,Balanced,GA_WaitingTime_Dominance,203,4.466000,0.634999689,217581.830
1,Balanced,GA_WaitingTime_Dominance,203,4.334000,0.654245363,258848.881
1,Balanced,GA_WaitingTime_Dominance,203,4.406000,0.639476133,231953.355
1,Balanced,GA_WaitingTime_Dominance,203,4.356000,0.653582193,243070.386
1,Balanced,GA_WaitingTime_Dominance,203,4.366000,0.649255412,246081.927
1,Balanced,GA_WaitingTime_Dominance,203,4.326000,0.659462632,252831.773
1,Balanced,GA_WaitingTime_Dominance,203,4.318000,0.661627995,221819.085
1,Balanced,GA_WaitingTime_Dominance,203,4.242000,0.672828501,249145.580
1,Balanced,GA_WaitingTime_Dominance,203,4.234000,0.677206367,239291.319
1,Balanced,GA_WaitingTime_Dominance,203,4.220000,0.680010734,225000.156
1,Balanced,GA_WaitingTime_Dominance,203,4.260000,0.667035600,217168.906
1,Balanced,GA_WaitingTime_Dominance,203,4.304000,0.662763459,232433.518
1,Balanced,GA_WaitingTime_Dominance,203,4.206000,0.682867301,270032.809
1,Balanced,GA_WaitingTime_Dominance,203,4.194000,0.697015172,233416.738
1,Balanced,GA_WaitingTime_Dominance,203,4.196000,0.693417867,253166.993
1,Balanced,GA_WaitingTime_Dominance,203,4.166000,0.697538781,241833.386
1,Balanced,GA_WaitingTime_Dominance,203,4.198000,0.692187931,237233.340
1,Balanced,GA_WaitingTime_Dominance,204,4.842000,0.537162202,198454.299
1,Balanced,GA_WaitingTime_Dominance,204,4.720000,0.591701067,225518.615
1,Balanced,GA_WaitingTime_Dominance,204,4.820000,0.573836342,208417.523
1,Balanced,GA_WaitingTime_Dominance,204,4.790000,0.580495265,197061.809
1,Balanced,GA_WaitingTime_Dominance,204,4.620000,0.616534892,213570.529
1,Balanced,GA_WaitingTime_Dominance,204,4.650000,0.611797807,211970.268
1,Balanced,GA_WaitingTime_Dominance,204,4.570000,0.620733588,207186.564
1,Balanced,GA_WaitingTime_Dominance,204,4.672000,0.607752043,214214.253
1,Balanced,GA_WaitingTime_Dominance,204,4.666000,0.608773033,208166.136
1,Balanced,GA_WaitingTime_Dominance,204,4.520000,0.631774274,213819.217
1,Balanced,GA_WaitingTime_Dominance,204,4.566000,0.626915754,232914.799
1,Balanced,GA_WaitingTime_Dominance,204,4.412000,0.638149956,233078.554
1,Balanced,GA_WaitingTime_Dominance,204,4.378000,0.645585495,233022.396
1,Balanced,GA_WaitingTime_Dominance,204,4.258000,0.653450749,218933.177
1,Balanced,GA_WaitingTime_Dominance,204,4.356000,0.647164267,237326.896
1,Balanced,GA_WaitingTime_Dominance,204,4.282000,0.650300615,227374.692
1,Balanced,GA_WaitingTime_Dominance,204,4.214000,0.679792851,235614.498
1,Balanced,GA_WaitingTime_Dominance,204,4.218000,0.677920389,246610.784
1,Balanced,GA_WaitingTime_Dominance,204,4.252000,0.656329495,232651.809
1,Balanced,GA_WaitingTime_Dominance,204,4.224000,0.669992949,223555.314
1,Balanced,GA_WaitingTime_Dominance,204,4.292000,0.647665197,228741.947
1,Balanced,GA_WaitingTime_Dominance,204,4.212000,0.683373118,250084.340
1,Balanced,GA_WaitingTime_Dominance,204,4.246000,0.661415153,225575.202
1,Balanced,GA_WaitingTime_Dominance,204,4.256000,0.653619412,255058.105
1,Balanced,GA_WaitingTime_Dominance,204,4.226000,0.665137725,240261.876
1,Balanced,GA_WaitingTime_Dominance,205,4.842000,0.537162202,198454.299
1,Balanced,GA_WaitingTime_Dominance,205,4.816000,0.550412648,201040.376
1,Balanced,GA_WaitingTime_Dominance,205,4.798000,0.552701365,207348.411
1,Balanced,GA_WaitingTime_Dominance,205,4.826000,0.550327631,205772.008
1,Balanced,GA_WaitingTime_Dominance,205,4.730000,0.572797769,211429.054
1,Balanced,GA_WaitingTime_Dominance,205,4.796000,0.561681868,208886.636
1,Balanced,GA_WaitingTime_Dominance,205,4.752000,0.565118302,205670.381
1,Balanced,GA_WaitingTime_Dominance,205,4.666000,0.575614671,203727.748
1,Balanced,GA_WaitingTime_Dominance,205,4.616000,0.611901839,216562.187
1,Balanced,GA_WaitingTime_Dominance,205,4.560000,0.626700423,215110.580
1,Balanced,GA_WaitingTime_Dominance,205,4.628000,0.586134224,234173.054
1,Balanced,GA_WaitingTime_Dominance,205,4.606000,0.614360182,228716.488
1,Balanced,GA_WaitingTime_Dominance,205,4.576000,0.615807058,219235.029
1,Balanced,GA_WaitingTime_Dominance,205,4.622000,0.604851058,214583.018
1,Balanced,GA_WaitingTime_Dominance,205,4.602000,0.615737707,216266.212
1,Balanced,GA_WaitingTime_Dominance,205,4.448000,0.644346762,213724.993
1,Balanced,GA_WaitingTime_Dominance,205,4.530000,0.627763114,211513.238
1,Balanced,GA_WaitingTime_Dominance,205,4.470000,0.630620262,218723.202
1,Balanced,GA_WaitingTime_Dominance,205,4.294000,0.669975087,233334.008
1,Balanced,GA_WaitingTime_Dominance,205,4.270000,0.674193741,235238.350
1,Balanced,GA_WaitingTime_Dominance,205,4.360000,0.645070186,250756.396
1,Balanced,GA_WaitingTime_Dominance,205,4.298000,0.658236807,237388.248
1,Balanced,GA_WaitingTime_Dominance,205,4.282000,0.673243561,240883.876
1,Balanced,GA_WaitingTime_Dominance,205,4.258000,0.674774478,255631.080
1,Balanced,GA_WaitingTime_Dominance,205,4.238000,0.685222472,245976.916
1,Balanced,GA_WaitingTime_Dominance,205,4.248000,0.681170370,248094.003
1,Balanced,GA_WaitingTime_Dominance,205,4.330000,0.654999086,252939.115
1,Balanced,GA_WaitingTime_Dominance,206,4.842000,0.537162202,198454.299
1,Balanced,GA_WaitingTime_Dominance,206,4.834000,0.540062690,198341.911
1,Balanced,GA_WaitingTime_Dominance,206,5.116000,0.530051816,202607.697
1,Balanced,GA_WaitingTime_Dominance,206,4.756000,0.575297083,215981.411
1,Balanced,GA_WaitingTime_Dominance,206,4.830000,0.563722872,203788.564
1,Balanced,GA_WaitingTime_Dominance,206,4.774000,0.566795993,229066.794
1,Balanced,GA_WaitingTime_Dominance,206,4.706000,0.589022299,216777.090
1,Balanced,GA_WaitingTime_Dominance,206,4.664000,0.590099052,225069.472
1,Balanced,GA_WaitingTime_Dominance,206,4.734000,0.581216746,200687.279
1,Balanced,GA_WaitingTime_Dominance,206,4.710000,0.584134866,207206.702
1,Balanced,GA_WaitingTime_Dominance,206,4.626000,0.597658957,207936.641
1,Balanced,GA_WaitingTime_Dominance,206,4.578000,0.614468475,222541.983
1,Balanced,GA_WaitingTime_Dominance,206,4.606000,0.603978128,216356.294
1,Balanced,GA_WaitingTime_Dominance,206,4.526000,0.622978385,203659.136
1,Balanced,GA_WaitingTime_Dominance,206,4.604000,0.614033392,212504.187
1,Balanced,GA_WaitingTime_Dominance,206,4.548000,0.622043868,208830.406
1,Balanced,GA_WaitingTime_Dominance,206,4.312000,0.625296598,237908.074
