Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_WaitingTime_Dominance,200,0.142155,0.003825,0.533666,0.004888,11,5,5435,2.034000,0.062984048,
1,Balanced,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.546111,0.002200,8,0,4848,2.070000,0.063186210,
1,Balanced,GA_WaitingTime_Dominance,202,0.141879,0.004632,0.535045,0.002887,12,0,4765,2.054000,0.062987047,
1,Balanced,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.537445,0.001901,15,0,5192,2.102000,0.063071110,
1,Balanced,GA_WaitingTime_Dominance,204,0.154396,0.002185,0.528357,0.004604,7,4,4685,2.060000,0.062751894,
1,Balanced,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.533209,0.001878,8,2,4801,2.048000,0.062784192,
1,Balanced,GA_WaitingTime_Dominance,206,0.124352,0.017769,0.539039,0.013952,9,0,4909,2.046000,0.063314733,
1,Balanced,GA_WaitingTime_Dominance,207,0.133832,0.017346,0.534378,0.002632,14,0,4580,2.040000,0.063133772,
1,Balanced,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.541335,0.001925,6,0,4579,2.094000,0.062974361,
1,Balanced,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.539251,0.001776,9,0,4698,2.082000,0.062951770,
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.140389,0.006552,0.536783,0.003864,,11,4849,2.034000,0.062751894,10
1,Balanced,GA_Energy_Dominance,200,0.670386,0.047947,0.085622,0.007008,81,8,6677,4.386000,0.047749904,
1,Balanced,GA_Energy_Dominance,201,0.663752,0.050845,0.088517,0.007900,84,14,6601,4.246000,0.047668823,
1,Balanced,GA_Energy_Dominance,202,0.660903,0.046753,0.097536,0.008122,91,3,6474,4.372000,0.048578448,
1,Balanced,GA_Energy_Dominance,203,0.631744,0.071963,0.109329,0.006291,90,14,6889,4.606000,0.046981777,
1,Balanced,GA_Energy_Dominance,204,0.659463,0.053162,0.093323,0.010147,86,0,6357,4.412000,0.048884587,
1,Balanced,GA_Energy_Dominance,205,0.574173,0.079474,0.171416,0.015186,90,10,5732,4.236000,0.052799077,
1,Balanced,GA_Energy_Dominance,206,0.639703,0.070981,0.114280,0.005822,88,0,6417,4.220000,0.049510916,
1,Balanced,GA_Energy_Dominance,207,0.621824,0.084694,0.109610,0.008924,75,2,6591,4.192000,0.047260939,
1,Balanced,GA_Energy_Dominance,208,0.659955,0.054545,0.094033,0.006079,104,5,6074,4.166000,0.049962177,
1,Balanced,GA_Energy_Dominance,209,0.638501,0.075482,0.107439,0.006808,105,0,6546,4.526000,0.047435093,
1,Balanced,GA_Energy_Dominance,MEAN,0.642040,0.063585,0.107111,0.008229,,56,6435,4.166000,0.046981777,10
1,Balanced,SA_WaitingTime_Dominance,200,0.111274,0.021724,0.546821,0.008665,16,0,2759,1.840000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance,201,0.114541,0.027414,0.541677,0.003509,28,0,2896,1.862000,0.063442500,
1,Balanced,SA_WaitingTime_Dominance,202,0.106507,0.028462,0.548813,0.002841,20,6,2782,1.838000,0.063602724,
1,Balanced,SA_WaitingTime_Dominance,203,0.109426,0.019463,0.548523,0.002238,19,8,2652,1.926000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance,204,0.116659,0.024241,0.543550,0.001654,30,0,2760,1.838000,0.063565358,
1,Balanced,SA_WaitingTime_Dominance,205,0.113478,0.015808,0.545416,0.001626,34,0,2806,1.908000,0.063567351,
1,Balanced,SA_WaitingTime_Dominance,206,0.107400,0.012373,0.548291,0.001313,28,4,2691,1.824000,0.063589900,
1,Balanced,SA_WaitingTime_Dominance,207,0.110490,0.008008,0.546146,0.001109,21,3,2628,1.888000,0.063546807,
1,Balanced,SA_WaitingTime_Dominance,208,0.140138,0.030510,0.534647,0.001993,34,0,2622,1.842000,0.063603419,
1,Balanced,SA_WaitingTime_Dominance,209,0.143719,0.035376,0.530654,0.005080,38,0,2603,1.880000,0.063457154,
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.543454,0.003003,,21,2719,1.824000,0.063442500,10
1,Balanced,SA_Energy_Dominance,200,0.555170,0.144363,0.171515,0.003361,110,0,3333,4.566000,0.050847613,
1,Balanced,SA_Energy_Dominance,201,0.582056,0.113507,0.163652,0.003279,137,0,3293,4.242000,0.051295725,
1,Balanced,SA_Energy_Dominance,202,0.515850,0.105276,0.251584,0.002442,84,0,3219,4.412000,0.054376439,
1,Balanced,SA_Energy_Dominance,203,0.526544,0.144186,0.195744,0.004345,107,0,3243,4.486000,0.052710786,
1,Balanced,SA_Energy_Dominance,204,0.538653,0.115215,0.224509,0.003905,100,4,3118,4.214000,0.053534331,
1,Balanced,SA_Energy_Dominance,205,0.511797,0.106938,0.242030,0.002500,109,0,3116,4.188000,0.054317863,
1,Balanced,SA_Energy_Dominance,206,0.514012,0.126616,0.228710,0.002790,90,0,3060,4.432000,0.053821174,
1,Balanced,SA_Energy_Dominance,207,0.549530,0.124365,0.191889,0.002999,121,0,3265,4.424000,0.052416109,
1,Balanced,SA_Energy_Dominance,208,0.547057,0.128175,0.176739,0.003993,96,0,3338,4.694000,0.052000040,
1,Balanced,SA_Energy_Dominance,209,0.586825,0.095618,0.170936,0.002671,113,0,3308,4.522000,0.051879974,
1,Balanced,SA_Energy_Dominance,MEAN,0.542749,0.120426,0.201731,0.003228,,4,3229,4.188000,0.050847613,10
1,Balanced,NSGA-II,200,0.571962,0.013680,0.234439,0.004257,51,1,10088,2.846000,0.054302705,
1,Balanced,NSGA-II,201,0.579581,0.007301,0.261096,0.005065,46,14,9586,3.154000,0.054138843,
1,Balanced,NSGA-II,202,0.538144,0.016776,0.252086,0.003817,45,0,9428,2.864000,0.055058038,
1,Balanced,NSGA-II,203,0.546826,0.010905,0.264518,0.004958,45,0,9460,2.832000,0.054895623,
1,Balanced,NSGA-II,204,0.530475,0.013043,0.265868,0.003776,43,0,9259,2.984000,0.055220431,
1,Balanced,NSGA-II,205,0.546535,0.007620,0.257636,0.003209,49,2,9293,2.936000,0.054929030,
1,Balanced,NSGA-II,206,0.555268,0.011297,0.271227,0.002837,45,0,9377,2.892000,0.054732457,
1,Balanced,NSGA-II,207,0.529557,0.019102,0.262416,0.005250,41,0,9532,2.896000,0.055214503,
1,Balanced,NSGA-II,208,0.524666,0.016253,0.270206,0.004315,43,0,9223,2.958000,0.055322881,
1,Balanced,NSGA-II,209,0.520360,0.004244,0.281780,0.002913,43,21,9261,2.924000,0.055487391,
1,Balanced,NSGA-II,MEAN,0.544337,0.012022,0.262127,0.004040,,38,9450,2.832000,0.054138843,10
1,Balanced,SPEA-II,200,0.449896,0.016930,0.324814,0.001529,41,0,10593,2.698000,0.056907542,
1,Balanced,SPEA-II,201,0.423113,0.017538,0.336353,0.001254,47,0,10382,2.700000,0.057414416,
1,Balanced,SPEA-II,202,0.519627,0.016347,0.280376,0.005747,48,0,10811,2.756000,0.055456686,
1,Balanced,SPEA-II,203,0.318629,0.018115,0.413572,0.002471,29,0,10169,2.694000,0.059510545,
1,Balanced,SPEA-II,204,0.504875,0.001365,0.312461,0.003702,39,22,10292,2.670000,0.055871902,
1,Balanced,SPEA-II,205,0.545179,0.022202,0.253367,0.005376,55,0,10489,2.730000,0.054879529,
1,Balanced,SPEA-II,206,0.477399,0.008416,0.319894,0.002170,38,7,10458,2.706000,0.056394379,
1,Balanced,SPEA-II,207,0.476911,0.027899,0.290368,0.006762,41,0,10542,2.740000,0.056315091,
1,Balanced,SPEA-II,208,0.384195,0.021878,0.368694,0.002318,39,0,10461,2.718000,0.058195897,
1,Balanced,SPEA-II,209,0.468478,0.015647,0.309799,0.003359,46,3,10270,2.624000,0.056561360,
1,Balanced,SPEA-II,MEAN,0.456830,0.016634,0.320970,0.003469,,32,10446,2.624000,0.054879529,10
1,Balanced,AMOSA,200,0.227153,0.034696,0.456144,0.015156,12,0,9040,3.142000,0.061194796,
1,Balanced,AMOSA,201,0.229847,0.046704,0.445094,0.003097,26,0,8628,3.094000,0.061119856,
1,Balanced,AMOSA,202,0.239820,0.041848,0.442601,0.006484,15,0,8753,3.050000,0.060948966,
1,Balanced,AMOSA,203,0.234179,0.043512,0.443372,0.007757,19,0,8672,3.142000,0.061038412,
1,Balanced,AMOSA,204,0.262995,0.042984,0.421306,0.004334,23,0,8704,3.150000,0.060455376,
1,Balanced,AMOSA,205,0.217364,0.036925,0.456964,0.006995,22,0,8779,3.036000,0.061397185,
1,Balanced,AMOSA,206,0.271648,0.054965,0.406123,0.009537,26,0,8948,3.076000,0.060271737,
1,Balanced,AMOSA,207,0.231191,0.050558,0.446606,0.004009,26,0,9079,3.108000,0.061097760,
1,Balanced,AMOSA,208,0.245834,0.044744,0.440552,0.003047,22,0,8778,3.152000,0.060809655,
1,Balanced,AMOSA,209,0.260491,0.034090,0.433266,0.006115,17,0,8835,3.126000,0.060546388,
1,Balanced,AMOSA,MEAN,0.242052,0.043103,0.439203,0.006653,,0,8821,3.036000,0.060271737,10
1,Balanced,GA_WaitingTime_Dominance_PC90,200,0.163204,0.004396,0.524278,0.003045,9,0,14496,2.160000,0.062575093,
1,Balanced,GA_WaitingTime_Dominance_PC90,201,0.140470,0.006600,0.539109,0.004868,7,0,14489,2.158000,0.063005350,
