CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
Uncapped,,GA_WaitingTime_Dominance,200,0.142155,0.003271,0.536205,0.004888,11,11,5,5435,0.249690,
Uncapped,,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.548643,0.002200,8,8,0,4848,0.240071,
Uncapped,,GA_WaitingTime_Dominance,202,0.141879,0.004383,0.537565,0.002887,12,12,0,4765,0.249386,
Uncapped,,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.539862,0.001901,15,15,0,5192,0.245071,
Uncapped,,GA_WaitingTime_Dominance,204,0.154396,0.000622,0.531055,0.004604,7,7,5,4685,0.260309,
Uncapped,,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.535969,0.001878,8,8,2,4801,0.258902,
Uncapped,,GA_WaitingTime_Dominance,206,0.124352,0.017590,0.541278,0.013952,9,9,0,4909,0.234098,
Uncapped,,GA_WaitingTime_Dominance,207,0.133832,0.016575,0.536507,0.002632,14,14,0,4580,0.242427,
Uncapped,,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.544043,0.001925,6,6,0,4579,0.249733,
Uncapped,,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.541894,0.001776,9,9,0,4698,0.250866,
Uncapped,,GA_WaitingTime_Dominance,MEAN,0.140389,0.006220,0.539302,0.003864,10,10,12,4849,0.248055,10
Uncapped,,GA_WaitingTime_Dominance,STDDEV,0.008733,0.005949,0.004693,0.003529,,,,,0.007630,
Uncapped,,GA_Energy_Dominance,200,0.670386,0.045318,0.089408,0.007008,81,81,18,6677,0.734021,
Uncapped,,GA_Energy_Dominance,201,0.663752,0.047620,0.092243,0.007900,84,84,18,6601,0.729960,
Uncapped,,GA_Energy_Dominance,202,0.660903,0.043820,0.101543,0.008122,91,91,13,6474,0.721950,
Uncapped,,GA_Energy_Dominance,203,0.631744,0.070120,0.113704,0.006291,90,90,14,6889,0.708198,
