CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
Uncapped,,NSGA-II,206,0.541385,0.033322,0.179996,0.002894,59,59,0,9257,0.634719,
Uncapped,,NSGA-II,207,0.536698,0.030041,0.194565,0.002878,51,51,0,9435,0.628836,
Uncapped,,NSGA-II,208,0.471246,0.018112,0.240686,0.002891,38,38,0,9066,0.577827,
Uncapped,,NSGA-II,209,0.537493,0.028727,0.190592,0.003062,42,42,0,9937,0.629390,
Uncapped,,NSGA-II,MEAN,0.531549,0.024887,0.195574,0.003420,48,48,33,9520,0.624900,10
Uncapped,,NSGA-II,STDDEV,0.030140,0.008311,0.021629,0.000855,,,,,0.023643,
Uncapped,,SPEA-II,200,0.499043,0.027704,0.233525,0.003365,40,40,0,10502,0.600525,
Uncapped,,SPEA-II,201,0.453730,0.029417,0.249385,0.003463,37,37,0,10345,0.564953,
Uncapped,,SPEA-II,202,0.434344,0.000000,0.277777,0.003747,31,31,31,9701,0.551495,
Uncapped,,SPEA-II,203,0.450083,0.046104,0.244323,0.001952,34,34,0,10450,0.561251,
Uncapped,,SPEA-II,204,0.443597,0.034108,0.253501,0.002480,30,30,0,10212,0.556623,
Uncapped,,SPEA-II,205,0.509164,0.026325,0.213742,0.003091,47,47,0,10279,0.609335,
Uncapped,,SPEA-II,206,0.538281,0.020601,0.203773,0.003274,41,41,0,10543,0.631391,
Uncapped,,SPEA-II,207,0.416038,0.015533,0.284170,0.001350,34,34,0,9852,0.535794,
Uncapped,,SPEA-II,208,0.505732,0.035279,0.211048,0.002218,45,45,0,10067,0.605240,
Uncapped,,SPEA-II,209,0.487349,0.010413,0.232974,0.003714,36,36,13,10355,0.590804,
Uncapped,,SPEA-II,MEAN,0.473736,0.024548,0.240422,0.002865,38,38,44,10230,0.580741,10
Uncapped,,SPEA-II,STDDEV,0.037443,0.012678,0.025684,0.000776,,,,,0.029261,
Uncapped,,AMOSA,200,0.268174,0.063616,0.361418,0.004161,15,15,0,9314,0.414771,
Uncapped,,AMOSA,201,0.261338,0.084481,0.363886,0.003213,14,14,0,9074,0.409171,
Uncapped,,AMOSA,202,0.246634,0.077450,0.372632,0.004813,9,9,0,8915,0.397447,
Uncapped,,AMOSA,203,0.280969,0.060651,0.354090,0.003188,23,23,0,9459,0.424501,
Uncapped,,AMOSA,204,0.262510,0.046109,0.373753,0.003716,8,8,0,8935,0.410036,
Uncapped,,AMOSA,205,0.280483,0.052921,0.355895,0.006431,13,13,0,9326,0.424130,
Uncapped,,AMOSA,206,0.282671,0.073338,0.342996,0.008428,18,18,0,9265,0.425815,
Uncapped,,AMOSA,207,0.272663,0.071577,0.353357,0.006838,17,17,0,9191,0.418196,
Uncapped,,AMOSA,208,0.269039,0.059286,0.359129,0.011307,17,17,0,9078,0.414911,
Uncapped,,AMOSA,209,0.281954,0.058652,0.348448,0.012031,19,19,0,9006,0.425261,
Uncapped,,AMOSA,MEAN,0.270643,0.064808,0.358560,0.006413,15,15,0,9156,0.416424,10
Uncapped,,AMOSA,STDDEV,0.011036,0.011151,0.009297,0.003087,,,,,0.008675,
Uncapped,,Universal_Pareto,ALL,0.771282,0.000000,0.000000,0.000000,147,147,147,0,0.837800,
PC90,15114.454,GA_WaitingTime_Dominance,200,0.124984,0.102736,0.468036,0.079864,7,7,0,16988,0.204544,
PC90,15114.454,GA_WaitingTime_Dominance,201,0.126512,0.014609,0.525245,0.005128,10,10,0,16981,0.205586,
PC90,15114.454,GA_WaitingTime_Dominance,202,0.148803,0.080721,0.447608,0.055745,14,14,0,16819,0.228081,
PC90,15114.454,GA_WaitingTime_Dominance,203,0.166672,0.000831,0.492746,0.001988,10,10,7,16696,0.242051,
PC90,15114.454,GA_WaitingTime_Dominance,204,0.111264,0.069497,0.475259,0.066558,17,17,0,16176,0.193350,
PC90,15114.454,GA_WaitingTime_Dominance,205,0.141558,0.067096,0.465834,0.026422,14,14,0,17002,0.219870,
PC90,15114.454,GA_WaitingTime_Dominance,206,0.168963,0.054616,0.435193,0.040546,18,18,0,16931,0.244644,
PC90,15114.454,GA_WaitingTime_Dominance,207,0.170602,0.123355,0.442994,0.020651,19,19,0,17047,0.248604,
PC90,15114.454,GA_WaitingTime_Dominance,208,0.125975,0.107836,0.460361,0.100532,16,16,0,16453,0.206301,
PC90,15114.454,GA_WaitingTime_Dominance,209,0.169206,0.037876,0.444961,0.121329,8,8,7,16873,0.245036,
PC90,15114.454,GA_WaitingTime_Dominance,MEAN,0.145454,0.065917,0.465824,0.051876,13,13,14,16796,0.223807,10
PC90,15114.454,GA_WaitingTime_Dominance,STDDEV,0.021336,0.037984,0.025702,0.038250,,,,,0.019503,
PC90,15114.454,GA_Energy_Dominance,200,0.575300,0.094351,0.187328,0.006036,58,58,13,15057,0.625548,
PC90,15114.454,GA_Energy_Dominance,201,0.472311,0.168104,0.209362,0.013561,48,48,7,15507,0.566615,
PC90,15114.454,GA_Energy_Dominance,202,0.584030,0.111468,0.179327,0.007744,63,64,9,15089,0.641798,
PC90,15114.454,GA_Energy_Dominance,203,0.521497,0.132505,0.180700,0.026647,61,61,1,15540,0.599439,
PC90,15114.454,GA_Energy_Dominance,204,0.501237,0.181931,0.201349,0.012484,43,43,0,15530,0.581667,
PC90,15114.454,GA_Energy_Dominance,205,0.482071,0.095951,0.251059,0.003241,28,28,0,14767,0.529017,
PC90,15114.454,GA_Energy_Dominance,206,0.519526,0.151110,0.192461,0.010352,54,54,1,15759,0.587575,
PC90,15114.454,GA_Energy_Dominance,207,0.531369,0.092440,0.203595,0.004774,74,74,0,15155,0.578058,
PC90,15114.454,GA_Energy_Dominance,208,0.540812,0.150975,0.182415,0.008116,64,64,0,15592,0.611812,
PC90,15114.454,GA_Energy_Dominance,209,0.547549,0.131801,0.170275,0.015612,53,53,8,16099,0.621047,
PC90,15114.454,GA_Energy_Dominance,MEAN,0.527570,0.131064,0.195787,0.010857,55,55,39,15409,0.594257,10
