Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_WaitingTime_Dominance,200,0.257384,0.034498,0.378531,0.003731,25,25,4,3081,0.417773
GA_WaitingTime_Dominance,201,0.248180,0.034597,0.386839,0.002930,25,25,0,3178,0.410474
GA_WaitingTime_Dominance,202,0.252262,0.026128,0.383899,0.003593,22,22,0,3042,0.412942
GA_WaitingTime_Dominance,203,0.246361,0.027147,0.390966,0.003057,11,11,0,3095,0.408508
GA_WaitingTime_Dominance,204,0.253838,0.005460,0.401073,0.004052,9,9,0,3108,0.414314
GA_WaitingTime_Dominance,205,0.254691,0.028988,0.380300,0.001999,34,34,0,3031,0.414982
GA_WaitingTime_Dominance,206,0.250031,0.027768,0.385030,0.002678,25,25,0,3041,0.411901
GA_WaitingTime_Dominance,207,0.272292,0.000000,0.386784,0.007758,7,7,7,3038,0.428818
GA_WaitingTime_Dominance,208,0.257378,0.028149,0.380041,0.003049,22,22,5,3088,0.417522
GA_WaitingTime_Dominance,209,0.242497,0.027038,0.390338,0.002175,19,19,0,4477,0.405876
GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.386380,0.003502,20,20,16,3217,0.414311
GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006322,0.001546,,,,,0.006003
GA_Energy_Dominance,200,0.582765,0.097945,0.174750,0.011842,46,46,2,5051,0.667011
GA_Energy_Dominance,201,0.543162,0.144466,0.189904,0.007628,62,62,0,5632,0.639313
GA_Energy_Dominance,202,0.587470,0.098786,0.171694,0.018362,47,47,11,5417,0.673273
GA_Energy_Dominance,203,0.482257,0.184720,0.218514,0.018750,51,51,0,5568,0.597123
GA_Energy_Dominance,204,0.564083,0.144410,0.185110,0.013941,53,54,0,5349,0.655806
GA_Energy_Dominance,205,0.508098,0.104620,0.219102,0.004282,62,62,0,4852,0.595919
GA_Energy_Dominance,206,0.545210,0.119849,0.187195,0.005411,79,79,9,5888,0.647705
GA_Energy_Dominance,207,0.597610,0.100141,0.169883,0.008643,62,62,5,5612,0.677450
GA_Energy_Dominance,208,0.558242,0.103536,0.192688,0.005648,47,47,2,4848,0.642996
GA_Energy_Dominance,209,0.553928,0.129165,0.195225,0.023617,48,48,0,5437,0.637271
GA_Energy_Dominance,MEAN,0.552283,0.122764,0.190406,0.011812,56,56,29,5365,0.643387
GA_Energy_Dominance,STDDEV,0.033747,0.026887,0.016422,0.006310,,,,,0.026892
SA_WaitingTime_Dominance,200,0.263742,0.054252,0.376032,0.004313,16,16,0,2761,0.397615
SA_WaitingTime_Dominance,201,0.251297,0.053833,0.377993,0.002484,21,21,0,2900,0.401292
SA_WaitingTime_Dominance,202,0.242469,0.037436,0.381422,0.001167,14,14,0,2917,0.400932
SA_WaitingTime_Dominance,203,0.279134,0.037948,0.369733,0.004854,10,10,0,3017,0.398194
SA_WaitingTime_Dominance,204,0.234324,0.009323,0.384906,0.003520,12,12,10,2984,0.403954
SA_WaitingTime_Dominance,205,0.333812,0.076084,0.351267,0.004308,28,29,0,1903,0.395693
SA_WaitingTime_Dominance,206,0.231070,0.030773,0.385848,0.020090,8,8,0,1910,0.401307
SA_WaitingTime_Dominance,207,0.290640,0.046786,0.364753,0.001574,15,15,0,1910,0.400553
SA_WaitingTime_Dominance,208,0.259137,0.045207,0.375919,0.006134,13,13,0,2857,0.399741
SA_WaitingTime_Dominance,209,0.264442,0.045851,0.371614,0.004354,14,14,0,2937,0.405013
SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.373949,0.005280,15,15,10,2609,0.400429
SA_WaitingTime_Dominance,STDDEV,0.029011,0.016433,0.009820,0.005143,,,,,0.002665
SA_Energy_Dominance,200,0.538967,0.201600,0.214364,0.002537,54,54,4,3127,0.630442
SA_Energy_Dominance,201,0.520855,0.170471,0.208825,0.003379,35,35,0,3106,0.617399
SA_Energy_Dominance,202,0.541281,0.196463,0.209050,0.003991,78,80,4,3619,0.631172
SA_Energy_Dominance,203,0.521743,0.196186,0.211595,0.007068,37,37,3,3242,0.617095
SA_Energy_Dominance,204,0.514808,0.232839,0.226038,0.002718,43,44,0,2748,0.606545
SA_Energy_Dominance,205,0.508017,0.166656,0.219285,0.007793,37,37,0,2846,0.605033
SA_Energy_Dominance,206,0.513227,0.213286,0.224591,0.004872,43,43,0,3287,0.607693
SA_Energy_Dominance,207,0.510989,0.196662,0.226020,0.009487,51,51,0,2750,0.603562
SA_Energy_Dominance,208,0.534161,0.183369,0.208440,0.004285,67,67,0,2922,0.624821
SA_Energy_Dominance,209,0.559444,0.170516,0.220660,0.004711,45,45,4,3162,0.642524
SA_Energy_Dominance,MEAN,0.526349,0.192805,0.216887,0.005084,49,49,15,3080,0.618629
SA_Energy_Dominance,STDDEV,0.015707,0.019768,0.006918,0.002183,,,,,0.012600
NSGA-II,200,0.499062,0.023832,0.221333,0.003877,46,46,0,8561,0.599228
NSGA-II,201,0.556628,0.023283,0.175175,0.002164,48,48,0,9395,0.644324
NSGA-II,202,0.522700,0.040527,0.201248,0.004999,48,48,0,9290,0.617169
NSGA-II,203,0.511396,0.023708,0.208004,0.004023,44,44,0,8905,0.609056
NSGA-II,204,0.558283,0.017576,0.173305,0.004580,52,52,3,9367,0.644872
NSGA-II,205,0.580600,0.009746,0.170835,0.002832,50,50,30,8954,0.663577
NSGA-II,206,0.541385,0.033322,0.179996,0.002894,59,59,0,8445,0.634719
NSGA-II,207,0.536698,0.030041,0.194565,0.002878,51,51,0,8679,0.628836
NSGA-II,208,0.471246,0.018112,0.240686,0.002891,38,38,0,8529,0.577827
NSGA-II,209,0.537493,0.028727,0.190592,0.003062,42,42,0,8807,0.629390
NSGA-II,MEAN,0.531549,0.024887,0.195574,0.003420,48,48,33,8893,0.624900
NSGA-II,STDDEV,0.030140,0.008311,0.021629,0.000855,,,,,0.023643
SPEA-II,200,0.499043,0.027704,0.233525,0.003365,40,40,0,9558,0.600525
SPEA-II,201,0.453730,0.029417,0.249385,0.003463,37,37,0,9255,0.564953
SPEA-II,202,0.434344,0.000000,0.277777,0.003747,31,31,31,8638,0.551495
SPEA-II,203,0.450083,0.046104,0.244323,0.001952,34,34,0,9498,0.561251
SPEA-II,204,0.443597,0.034108,0.253501,0.002480,30,30,0,9897,0.556623
SPEA-II,205,0.509164,0.026325,0.213742,0.003091,47,47,0,9518,0.609335
SPEA-II,206,0.538281,0.020601,0.203773,0.003274,41,41,0,9555,0.631391
SPEA-II,207,0.416038,0.015533,0.284170,0.001350,34,34,0,9119,0.535794
SPEA-II,208,0.505732,0.035279,0.211048,0.002218,45,45,0,9507,0.605240
SPEA-II,209,0.487349,0.010413,0.232974,0.003714,36,36,13,9432,0.590804
SPEA-II,MEAN,0.473736,0.024548,0.240422,0.002865,38,38,44,9397,0.580741
SPEA-II,STDDEV,0.037443,0.012678,0.025684,0.000776,,,,,0.029261
AMOSA,200,0.268174,0.063616,0.361418,0.004161,15,15,0,8380,0.414771
AMOSA,201,0.261338,0.084481,0.363886,0.003213,14,14,0,8686,0.409171
AMOSA,202,0.246634,0.077450,0.372632,0.004813,9,9,0,8480,0.397447
AMOSA,203,0.280969,0.060651,0.354090,0.003188,23,23,0,9147,0.424501
AMOSA,204,0.262510,0.046109,0.373753,0.003716,8,8,0,10036,0.410036
AMOSA,205,0.280483,0.052921,0.355895,0.006431,13,13,0,9887,0.424130
AMOSA,206,0.282671,0.073338,0.342996,0.008428,18,18,0,9596,0.425815
AMOSA,207,0.272663,0.071577,0.353357,0.006838,17,17,0,10903,0.418196
AMOSA,208,0.269039,0.059286,0.359129,0.011307,17,17,0,9503,0.414911
AMOSA,209,0.281954,0.058652,0.348448,0.012031,19,19,0,8932,0.425261
