Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
SPEA-II,205,0.505698,0.011299,0.313716,0.003386,42,42,1,10129,0.560465
SPEA-II,206,0.491651,0.009875,0.321891,0.003239,47,47,0,9666,0.547825
SPEA-II,207,0.468818,0.007227,0.340960,0.006741,36,36,7,9526,0.527400
SPEA-II,208,0.513689,0.012659,0.304303,0.005141,53,53,12,9008,0.567688
SPEA-II,209,0.540569,0.018010,0.282742,0.004058,52,52,1,8318,0.591769
SPEA-II,MEAN,0.509556,0.012189,0.308228,0.005483,49,49,32,9057,0.563880
SPEA-II,STDDEV,0.021890,0.002906,0.016484,0.002096,,,,,0.019614
AMOSA,200,0.212459,0.056640,0.463120,0.005615,25,25,0,6588,0.299182
AMOSA,201,0.212316,0.052590,0.463788,0.006340,26,26,0,6742,0.299067
AMOSA,202,0.213379,0.057303,0.464605,0.002460,25,25,0,6621,0.300070
AMOSA,203,0.212731,0.060910,0.463165,0.005909,23,23,0,6696,0.299401
AMOSA,204,0.212427,0.058232,0.461838,0.005163,26,26,0,6623,0.299164
AMOSA,205,0.211040,0.060431,0.465062,0.003998,28,28,0,6863,0.298036
AMOSA,206,0.221586,0.039061,0.464597,0.011268,20,20,0,6939,0.307257
AMOSA,207,0.218968,0.058891,0.461504,0.007179,24,24,0,7098,0.304953
AMOSA,208,0.212748,0.057796,0.460151,0.010862,26,26,0,6699,0.299439
AMOSA,209,0.213167,0.051389,0.460219,0.006051,26,26,0,6701,0.299770
AMOSA,MEAN,0.214082,0.055324,0.462805,0.006484,25,25,0,6757,0.300634
AMOSA,STDDEV,0.003207,0.006145,0.001706,0.002607,,,,,0.002829
Universal_Pareto,ALL,0.774549,0.000000,0.000000,0.000000,181,181,181,0,0.817889
