Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
SPEA-II,203,0.527726,0.007622,0.203799,0.005153,52,52,16,9026
SPEA-II,204,0.472964,0.017898,0.249000,0.005370,41,41,0,9264
SPEA-II,205,0.438260,0.013484,0.283319,0.002935,37,37,0,9208
SPEA-II,206,0.459183,0.008494,0.257879,0.008659,30,30,5,9227
SPEA-II,207,0.516935,0.030136,0.217967,0.028089,48,48,2,9228
SPEA-II,208,0.452572,0.013268,0.267566,0.008354,31,31,2,9323
SPEA-II,209,0.444468,0.018255,0.276178,0.004931,31,31,0,9265
SPEA-II,MEAN,0.477939,0.014659,0.247477,0.008069,39,39,27,9191
SPEA-II,STDDEV,0.036822,0.006150,0.030550,0.006870,,,,
AMOSA,200,0.413521,0.022441,0.297472,0.015062,16,16,0,8300
AMOSA,201,0.419155,0.026510,0.295087,0.007137,28,28,0,8476
AMOSA,202,0.412987,0.008252,0.294677,0.090094,9,9,0,8290
AMOSA,203,0.418956,0.041396,0.294802,0.007890,29,29,0,8432
AMOSA,204,0.413919,0.014244,0.297845,0.066471,9,9,0,8197
AMOSA,205,0.413818,0.034228,0.297318,0.008088,11,11,0,8185
AMOSA,206,0.412949,0.011269,0.298185,0.108869,6,6,0,8194
AMOSA,207,0.413485,0.011239,0.297871,0.089678,8,8,0,8104
AMOSA,208,0.417620,0.045514,0.295600,0.004760,30,30,1,8240
AMOSA,209,0.414116,0.031848,0.294813,0.011129,19,19,0,8167
AMOSA,MEAN,0.415053,0.024694,0.296367,0.040918,17,17,1,8258
AMOSA,STDDEV,0.002363,0.012664,0.001408,0.040298,,,,
Universal_Pareto,ALL,0.877086,0.000000,0.000000,0.000000,249,249,249,0
