Algorithm,WaitingTime,Energy
SA_Energy_Dominance,2.610000,0.043293654
SA_Energy_Dominance,2.614000,0.043047574
SA_Energy_Dominance,2.622000,0.043004918
SA_Energy_Dominance,2.624000,0.042992992
SA_Energy_Dominance,2.634000,0.042990290
SA_Energy_Dominance,2.640000,0.042987465
SA_Energy_Dominance,2.656000,0.042984610
SA_Energy_Dominance,2.662000,0.042981908
SA_Energy_Dominance,2.670000,0.042979083
SA_Energy_Dominance,2.692000,0.042877470
SA_Energy_Dominance,2.694000,0.042867988
SA_Energy_Dominance,2.698000,0.042862179
SA_Energy_Dominance,2.714000,0.042850813
SA_Energy_Dominance,2.762000,0.042826936
SA_Energy_Dominance,2.798000,0.042823759
SA_Energy_Dominance,2.924000,0.042794757
SA_Energy_Dominance,2.930000,0.042757350
SA_Energy_Dominance,2.970000,0.042687072
SA_Energy_Dominance,2.976000,0.042325438
SA_Energy_Dominance,3.012000,0.042208008
SA_Energy_Dominance,3.020000,0.041708244
SA_Energy_Dominance,3.032000,0.041606742
SA_Energy_Dominance,3.054000,0.041583280
SA_Energy_Dominance,3.092000,0.041569001
SA_Energy_Dominance,3.112000,0.041492969
SA_Energy_Dominance,3.134000,0.041435182
SA_Energy_Dominance,3.146000,0.041418707
SA_Energy_Dominance,3.154000,0.041392667
SA_Energy_Dominance,3.156000,0.041381300
SA_Energy_Dominance,3.202000,0.041381018
SA_Energy_Dominance,3.208000,0.041373080
SA_Energy_Dominance,3.222000,0.041335674
SA_Energy_Dominance,3.230000,0.041332849
SA_Energy_Dominance,3.314000,0.041282008
SA_Energy_Dominance,3.320000,0.041273303
SA_Energy_Dominance,3.348000,0.041064539
SA_Energy_Dominance,3.364000,0.041060724
SA_Energy_Dominance,3.366000,0.041034620
SA_Energy_Dominance,3.372000,0.040994450
SA_Energy_Dominance,3.398000,0.040988641
SA_Energy_Dominance,3.424000,0.040957170
SA_Energy_Dominance,3.426000,0.040948686
SA_Energy_Dominance,3.430000,0.040944870
SA_Energy_Dominance,3.434000,0.040590905
SA_Energy_Dominance,3.446000,0.040584762
SA_Energy_Dominance,3.452000,0.040566534
SA_Energy_Dominance,3.460000,0.040563709
SA_Energy_Dominance,3.482000,0.040547294
SA_Energy_Dominance,3.494000,0.040541768
SA_Energy_Dominance,3.518000,0.040541768
SA_Energy_Dominance,3.572000,0.040533105
SA_Energy_Dominance,3.582000,0.040527108
SA_Energy_Dominance,3.588000,0.040519764
SA_Energy_Dominance,3.594000,0.040149875
SA_Energy_Dominance,3.604000,0.040123997
SA_Energy_Dominance,3.618000,0.040123956
SA_Energy_Dominance,3.636000,0.040112589
SA_Energy_Dominance,3.650000,0.040046020
SA_Energy_Dominance,3.656000,0.040016881
SA_Energy_Dominance,3.664000,0.040008340
SA_Energy_Dominance,3.674000,0.040005515
SA_Energy_Dominance,3.700000,0.039949407
SA_Energy_Dominance,3.724000,0.039921136
SA_Energy_Dominance,3.742000,0.039915327
SA_Energy_Dominance,3.746000,0.039857482
SA_Energy_Dominance,3.772000,0.039847443
SA_Energy_Dominance,3.784000,0.039838901
SA_Energy_Dominance,3.790000,0.039836077
SA_Energy_Dominance,3.824000,0.039466837
SA_Energy_Dominance,3.880000,0.039353843
SA_Energy_Dominance,3.884000,0.039257238
SA_Energy_Dominance,3.900000,0.038964443
SA_Energy_Dominance,3.916000,0.038926040
SA_Energy_Dominance,3.944000,0.038926040
SA_Energy_Dominance,4.008000,0.038923215
SA_Energy_Dominance,4.010000,0.038915402
SA_Energy_Dominance,4.014000,0.038909875
SA_Energy_Dominance,4.054000,0.038884898
SA_Energy_Dominance,4.064000,0.038879058
SA_Energy_Dominance,4.070000,0.038876356
SA_Energy_Dominance,4.076000,0.038873531
SA_Energy_Dominance,4.102000,0.038846335
SA_Energy_Dominance,4.104000,0.038677699
SA_Energy_Dominance,4.124000,0.038672172
SA_Energy_Dominance,4.150000,0.038652050
SA_Energy_Dominance,4.168000,0.038640594
SA_Energy_Dominance,4.170000,0.038622131
SA_Energy_Dominance,4.188000,0.038612367
SA_Energy_Dominance,4.194000,0.038600959
SA_Energy_Dominance,4.214000,0.038595432
SA_Energy_Dominance,4.270000,0.038563270
SA_Energy_Dominance,4.280000,0.038557461
SA_Energy_Dominance,4.294000,0.038556901
SA_Energy_Dominance,4.298000,0.038545598
SA_Energy_Dominance,4.300000,0.038540547
SA_Energy_Dominance,4.318000,0.038519494
SA_Energy_Dominance,4.338000,0.038519212
SA_Energy_Dominance,4.354000,0.038517258
SA_Energy_Dominance,4.356000,0.038513685
