Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance,200,0.257384,0.034498,0.376033,0.003731,25,25,4,4294,0.417773,
GA_WaitingTime_Dominance,201,0.248180,0.034597,0.384355,0.002930,25,25,0,4328,0.410474,
GA_WaitingTime_Dominance,202,0.252262,0.026128,0.381407,0.003593,22,22,0,4546,0.412942,
GA_WaitingTime_Dominance,203,0.246361,0.027147,0.388471,0.003057,11,11,0,4863,0.408508,
GA_WaitingTime_Dominance,204,0.253838,0.005460,0.398431,0.004052,9,9,0,4688,0.414314,
GA_WaitingTime_Dominance,205,0.254691,0.028988,0.377810,0.001999,34,34,0,4269,0.414982,
GA_WaitingTime_Dominance,206,0.250031,0.027768,0.382548,0.002678,25,25,0,4568,0.411901,
GA_WaitingTime_Dominance,207,0.272292,0.000000,0.384046,0.007758,7,7,7,4644,0.428818,
GA_WaitingTime_Dominance,208,0.257378,0.028149,0.377540,0.003049,22,22,5,4575,0.417522,
GA_WaitingTime_Dominance,209,0.242497,0.027038,0.387893,0.002175,19,19,0,4679,0.405876,
GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.383854,0.003502,20,20,16,4545,0.414311,10
GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006290,0.001546,,,,,0.006003,
GA_Energy_Dominance,200,0.582765,0.097909,0.175118,0.011842,46,46,2,5329,0.667011,
GA_Energy_Dominance,201,0.543162,0.144445,0.190244,0.007628,62,62,0,5655,0.639313,
GA_Energy_Dominance,202,0.587470,0.098771,0.172279,0.018362,47,47,11,5299,0.673273,
GA_Energy_Dominance,203,0.482257,0.184698,0.218470,0.018750,51,51,0,5554,0.597123,
GA_Energy_Dominance,204,0.564083,0.144389,0.185507,0.013941,53,54,0,5833,0.655806,
GA_Energy_Dominance,205,0.508098,0.104475,0.217650,0.004282,62,62,0,4713,0.595919,
GA_Energy_Dominance,206,0.545210,0.119833,0.187552,0.005411,79,79,9,6007,0.647705,
GA_Energy_Dominance,207,0.597610,0.100104,0.170358,0.008643,62,62,5,5513,0.677450,
GA_Energy_Dominance,208,0.558242,0.103484,0.192925,0.005648,47,47,2,4853,0.642996,
GA_Energy_Dominance,209,0.553928,0.129111,0.195491,0.023617,48,48,0,5517,0.637271,
GA_Energy_Dominance,MEAN,0.552283,0.122722,0.190559,0.011812,56,56,29,5427,0.643387,10
GA_Energy_Dominance,STDDEV,0.033747,0.026899,0.015995,0.006310,,,,,0.026892,
SA_WaitingTime_Dominance,200,0.263742,0.054252,0.373629,0.004313,16,16,0,3283,0.397615,
SA_WaitingTime_Dominance,201,0.251297,0.053833,0.375602,0.002484,21,21,0,3336,0.401292,
SA_WaitingTime_Dominance,202,0.242469,0.037436,0.379021,0.001167,14,14,0,3163,0.400932,
SA_WaitingTime_Dominance,203,0.279134,0.037948,0.367362,0.004854,10,10,0,3042,0.398194,
SA_WaitingTime_Dominance,204,0.234324,0.009323,0.382502,0.003520,12,12,10,2954,0.403954,
SA_WaitingTime_Dominance,205,0.333812,0.076084,0.348931,0.004308,28,29,0,3339,0.395693,
SA_WaitingTime_Dominance,206,0.231070,0.030773,0.383428,0.020090,8,8,0,3280,0.401307,
SA_WaitingTime_Dominance,207,0.290640,0.046786,0.362359,0.001574,15,15,0,3188,0.400553,
SA_WaitingTime_Dominance,208,0.259137,0.045207,0.373538,0.006134,13,13,0,3021,0.399741,
SA_WaitingTime_Dominance,209,0.264442,0.045851,0.369213,0.004354,14,14,0,2916,0.405013,
SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.371558,0.005280,15,15,10,3152,0.400429,10
SA_WaitingTime_Dominance,STDDEV,0.029011,0.016433,0.009801,0.005143,,,,,0.002665,
SA_Energy_Dominance,200,0.538967,0.201600,0.214326,0.002537,54,54,4,2921,0.630442,
SA_Energy_Dominance,201,0.520855,0.170471,0.208879,0.003379,35,35,0,3374,0.617399,
SA_Energy_Dominance,202,0.541281,0.196356,0.209106,0.003991,78,80,4,3050,0.631172,
SA_Energy_Dominance,203,0.521743,0.196186,0.211616,0.007068,37,37,3,3273,0.617095,
SA_Energy_Dominance,204,0.514808,0.232810,0.225842,0.002718,43,44,0,2646,0.606545,
SA_Energy_Dominance,205,0.508017,0.166656,0.219190,0.007793,37,37,0,2995,0.605033,
SA_Energy_Dominance,206,0.513227,0.213227,0.224430,0.004872,43,43,0,3120,0.607693,
SA_Energy_Dominance,207,0.510989,0.196634,0.225861,0.009487,51,51,0,3155,0.603562,
SA_Energy_Dominance,208,0.534161,0.183312,0.208496,0.004285,67,67,0,3098,0.624821,
SA_Energy_Dominance,209,0.559444,0.170485,0.220561,0.004711,45,45,4,2690,0.642524,
SA_Energy_Dominance,MEAN,0.526349,0.192774,0.216831,0.005084,49,49,15,3032,0.618629,10
SA_Energy_Dominance,STDDEV,0.015707,0.019760,0.006825,0.002183,,,,,0.012600,
NSGA-II,200,0.499062,0.023724,0.218503,0.003877,46,46,0,7346,0.599228,
NSGA-II,201,0.556628,0.023189,0.172942,0.002164,48,48,0,8049,0.644324,
NSGA-II,202,0.522700,0.040361,0.198911,0.004999,48,48,0,8379,0.617169,
NSGA-II,203,0.511396,0.023598,0.205394,0.004023,44,44,0,7829,0.609056,
NSGA-II,204,0.558283,0.017543,0.171168,0.004580,52,52,3,8119,0.644872,
NSGA-II,205,0.580600,0.009672,0.168678,0.002832,50,50,30,8061,0.663577,
NSGA-II,206,0.541385,0.033241,0.177824,0.002894,59,59,0,7906,0.634719,
NSGA-II,207,0.536698,0.030015,0.192251,0.002878,51,51,0,8110,0.628836,
NSGA-II,208,0.471246,0.017983,0.237597,0.002891,38,38,0,8100,0.577827,
NSGA-II,209,0.537493,0.028698,0.188266,0.003062,42,42,0,8282,0.629390,
NSGA-II,MEAN,0.531549,0.024802,0.193153,0.003420,48,48,33,8018,0.624900,10
NSGA-II,STDDEV,0.030140,0.008300,0.021334,0.000855,,,,,0.023643,
SPEA-II,200,0.499043,0.027627,0.230868,0.003365,40,40,0,8991,0.600525,
SPEA-II,201,0.453730,0.029291,0.246421,0.003463,37,37,0,8787,0.564953,
SPEA-II,202,0.434344,0.000000,0.274167,0.003747,31,31,31,7696,0.551495,
SPEA-II,203,0.450083,0.045846,0.241508,0.001952,34,34,0,8814,0.561251,
SPEA-II,204,0.443597,0.033931,0.250460,0.002480,30,30,0,8954,0.556623,
SPEA-II,205,0.509164,0.026246,0.211125,0.003091,47,47,0,8733,0.609335,
SPEA-II,206,0.538281,0.020522,0.201213,0.003274,41,41,0,9327,0.631391,
SPEA-II,207,0.416038,0.015168,0.280617,0.001350,34,34,0,8372,0.535794,
SPEA-II,208,0.505732,0.035093,0.208547,0.002218,45,45,0,8474,0.605240,
SPEA-II,209,0.487349,0.010364,0.229886,0.003714,36,36,13,9340,0.590804,
SPEA-II,MEAN,0.473736,0.024409,0.237481,0.002865,38,38,44,8748,0.580741,10
SPEA-II,STDDEV,0.037443,0.012631,0.025337,0.000776,,,,,0.029261,
AMOSA,200,0.400540,0.033493,0.271714,0.001860,40,40,0,6905,0.522804,
AMOSA,201,0.365886,0.022175,0.310481,0.001235,30,30,0,6972,0.496603,
AMOSA,202,0.359048,0.024233,0.309715,0.002324,34,34,0,6678,0.491142,
AMOSA,203,0.398355,0.017741,0.286875,0.002013,27,27,0,6790,0.521655,
AMOSA,204,0.378966,0.023712,0.296847,0.001156,37,37,0,6708,0.506795,
AMOSA,205,0.409335,0.023817,0.269512,0.001016,38,38,0,6580,0.529461,
AMOSA,206,0.451398,0.007385,0.260241,0.003640,28,28,2,6971,0.563473,
AMOSA,207,0.361771,0.034376,0.303374,0.001309,34,34,0,7096,0.492163,
AMOSA,208,0.394493,0.028721,0.278900,0.002380,35,36,0,6713,0.517984,
AMOSA,209,0.399952,0.025128,0.284361,0.001176,36,36,0,6997,0.522011,
AMOSA,MEAN,0.391974,0.024078,0.287202,0.001811,34,34,2,6841,0.516409,10
AMOSA,STDDEV,0.026197,0.007348,0.016613,0.000776,,,,,0.020491,
Universal_Pareto,ALL,0.771284,0.000000,0.000000,0.000000,149,149,149,0,0.837802,
