Algorithm,Seed,WaitingTime,Energy,IsUniversalPareto
NSGA-II,201,7.618000,0.478084188,false
NSGA-II,201,6.324000,0.573597559,false
NSGA-II,201,7.564000,0.481503873,false
NSGA-II,201,6.362000,0.567421053,false
NSGA-II,201,6.390000,0.561791234,false
NSGA-II,201,6.898000,0.513683682,false
NSGA-II,201,5.990000,0.611554808,false
NSGA-II,201,5.926000,0.621359418,false
NSGA-II,201,6.942000,0.511026122,false
NSGA-II,201,6.240000,0.578941042,false
NSGA-II,201,7.032000,0.510848336,false
NSGA-II,201,7.472000,0.482693449,false
NSGA-II,201,5.956000,0.616512240,false
NSGA-II,201,6.298000,0.577389700,false
NSGA-II,201,6.372000,0.562711583,false
NSGA-II,201,5.978000,0.615514518,false
NSGA-II,201,6.276000,0.578206648,false
NSGA-II,202,10.574000,0.386898012,false
NSGA-II,202,5.642000,0.676583358,false
NSGA-II,202,9.762000,0.392345105,false
NSGA-II,202,7.006000,0.482502912,true
NSGA-II,202,7.204000,0.468503840,true
NSGA-II,202,7.826000,0.452822842,false
NSGA-II,202,9.506000,0.397803728,false
NSGA-II,202,6.904000,0.501336990,false
NSGA-II,202,8.800000,0.422569465,false
NSGA-II,202,9.040000,0.409832303,false
NSGA-II,202,8.286000,0.436544449,false
NSGA-II,202,7.462000,0.465253297,false
NSGA-II,202,7.688000,0.462767974,false
NSGA-II,202,9.384000,0.405943293,false
NSGA-II,202,6.324000,0.548047597,false
NSGA-II,202,8.106000,0.451054614,false
NSGA-II,202,8.198000,0.449203881,false
NSGA-II,202,9.134000,0.407328037,false
NSGA-II,202,6.278000,0.564450479,false
NSGA-II,202,6.476000,0.535351078,false
NSGA-II,202,5.712000,0.663371466,false
NSGA-II,202,6.386000,0.543718907,false
NSGA-II,202,5.818000,0.651633992,false
NSGA-II,202,6.526000,0.528871190,false
NSGA-II,202,8.568000,0.436410712,false
NSGA-II,202,6.172000,0.578215238,false
NSGA-II,202,6.836000,0.507944553,false
NSGA-II,202,6.148000,0.601043167,false
NSGA-II,202,6.676000,0.527190185,false
NSGA-II,202,6.154000,0.591546907,false
NSGA-II,202,6.156000,0.586942627,false
NSGA-II,202,5.778000,0.660403868,false
NSGA-II,202,5.992000,0.613146673,false
NSGA-II,202,5.834000,0.643564411,false
NSGA-II,202,8.648000,0.431462083,false
NSGA-II,202,6.176000,0.570843023,false
NSGA-II,202,5.966000,0.620473703,false
NSGA-II,202,5.924000,0.624218374,false
NSGA-II,202,5.856000,0.640607262,false
NSGA-II,202,6.830000,0.513824635,false
NSGA-II,202,5.920000,0.633743400,false
NSGA-II,202,6.820000,0.518257384,false
NSGA-II,202,6.124000,0.605305263,false
NSGA-II,202,8.674000,0.423668464,false
NSGA-II,202,5.880000,0.634931834,false
NSGA-II,202,8.656000,0.424084617,false
NSGA-II,202,8.582000,0.432649968,false
