Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts,IsUniversalPareto
GA_WaitingTime_Dominance,205,5.272000,0.086253189,16071.024,false
GA_WaitingTime_Dominance,205,5.336000,0.086101104,16246.203,false
GA_WaitingTime_Dominance,205,5.156000,0.086748532,16581.659,false
GA_WaitingTime_Dominance,205,5.292000,0.086230995,16693.620,false
GA_WaitingTime_Dominance,205,5.166000,0.086356954,17309.393,false
GA_WaitingTime_Dominance,205,5.036000,0.087133110,17602.812,true
GA_WaitingTime_Dominance,205,4.884000,0.087324845,17061.750,true
GA_WaitingTime_Dominance,205,5.102000,0.087040471,17057.502,true
GA_WaitingTime_Dominance,205,5.030000,0.087217661,17051.165,true
GA_WaitingTime_Dominance,205,4.654000,0.087517710,16686.064,true
GA_WaitingTime_Dominance,205,4.628000,0.087931556,17138.199,true
GA_WaitingTime_Dominance,205,4.482000,0.088108402,17392.926,true
GA_WaitingTime_Dominance,206,5.338000,0.085856375,16086.209,false
GA_WaitingTime_Dominance,206,5.564000,0.085656568,16424.041,false
GA_WaitingTime_Dominance,206,5.674000,0.085250592,16743.414,false
GA_WaitingTime_Dominance,206,5.314000,0.086671209,16507.282,false
GA_WaitingTime_Dominance,206,5.334000,0.086657048,16155.239,false
GA_WaitingTime_Dominance,206,5.194000,0.087032081,16163.423,false
GA_WaitingTime_Dominance,206,5.276000,0.086946547,16197.965,false
GA_WaitingTime_Dominance,206,5.002000,0.087871622,15907.960,false
GA_WaitingTime_Dominance,206,4.546000,0.089370927,16743.254,false
GA_WaitingTime_Dominance,206,4.516000,0.090786874,17160.520,false
GA_WaitingTime_Dominance,206,5.058000,0.087471433,16397.658,false
GA_WaitingTime_Dominance,206,4.942000,0.087888716,16370.734,false
GA_WaitingTime_Dominance,206,4.756000,0.087940471,16895.316,false
GA_WaitingTime_Dominance,206,4.640000,0.088718473,16610.622,false
GA_WaitingTime_Dominance,206,4.680000,0.088388402,17106.914,false
GA_WaitingTime_Dominance,206,4.518000,0.089454516,17393.067,false
GA_WaitingTime_Dominance,206,4.598000,0.089111778,16920.429,false
GA_WaitingTime_Dominance,206,4.594000,0.089342110,16823.023,false
GA_WaitingTime_Dominance,207,5.338000,0.085856375,16086.209,false
GA_WaitingTime_Dominance,207,5.786000,0.085767909,16026.252,false
GA_WaitingTime_Dominance,207,5.724000,0.085828794,16110.493,false
GA_WaitingTime_Dominance,207,5.264000,0.086789003,15426.482,false
GA_WaitingTime_Dominance,207,5.150000,0.087422929,17179.085,false
GA_WaitingTime_Dominance,207,4.440000,0.090302100,16877.867,false
GA_WaitingTime_Dominance,207,4.522000,0.089417768,16566.190,false
GA_WaitingTime_Dominance,207,4.872000,0.087716884,16970.399,false
GA_WaitingTime_Dominance,207,4.548000,0.088621356,16177.719,false
GA_WaitingTime_Dominance,207,4.580000,0.088542421,16501.753,false
GA_WaitingTime_Dominance,207,4.652000,0.087928555,16959.483,true
GA_WaitingTime_Dominance,207,4.610000,0.088329396,16291.058,false
GA_WaitingTime_Dominance,207,4.912000,0.087629436,16547.632,false
GA_WaitingTime_Dominance,207,4.708000,0.087781088,16414.656,false
GA_WaitingTime_Dominance,207,4.606000,0.088416093,16319.919,false
GA_WaitingTime_Dominance,207,4.616000,0.088206247,16306.199,false
