Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
1,Balanced,AMOSA_PC90,16592.3,10,1.0000,0.0000,1.0000,1.0000,357,357
1,Balanced,AMOSA_PC90,15807.7,10,0.3617,0.0837,0.2069,0.5116,357,131
1,Balanced,AMOSA_PC90,14092.8,10,0.0000,0.0000,0.0000,0.0000,357,0
1,Balanced,AMOSA_PC90,11702.2,10,0.0000,0.0000,0.0000,0.0000,357,0
1,Balanced,GA_WaitingTime_Dominance_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,76,76
1,Balanced,GA_WaitingTime_Dominance_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,76,76
1,Balanced,GA_WaitingTime_Dominance_PC75,14092.8,10,0.0000,0.0000,0.0000,0.0000,76,0
1,Balanced,GA_WaitingTime_Dominance_PC75,11702.2,10,0.0000,0.0000,0.0000,0.0000,76,0
1,Balanced,GA_Energy_Dominance_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,387,387
1,Balanced,GA_Energy_Dominance_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,387,387
1,Balanced,GA_Energy_Dominance_PC75,14092.8,10,0.5685,0.1168,0.4286,0.7586,387,213
1,Balanced,GA_Energy_Dominance_PC75,11702.2,10,0.0387,0.0427,0.0000,0.1081,387,14
1,Balanced,SA_WaitingTime_Dominance_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,18,18
1,Balanced,SA_WaitingTime_Dominance_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,18,18
1,Balanced,SA_WaitingTime_Dominance_PC75,14092.8,10,0.0000,0.0000,0.0000,0.0000,18,0
1,Balanced,SA_WaitingTime_Dominance_PC75,11702.2,10,0.0000,0.0000,0.0000,0.0000,18,0
1,Balanced,SA_Energy_Dominance_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,873,873
1,Balanced,SA_Energy_Dominance_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,873,873
1,Balanced,SA_Energy_Dominance_PC75,14092.8,10,0.7360,0.2610,0.2391,1.0000,873,710
1,Balanced,SA_Energy_Dominance_PC75,11702.2,10,0.5654,0.2453,0.2391,0.9009,873,549
1,Balanced,NSGA-II_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,314,314
1,Balanced,NSGA-II_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,314,314
1,Balanced,NSGA-II_PC75,14092.8,10,0.2629,0.1117,0.0811,0.4839,314,83
1,Balanced,NSGA-II_PC75,11702.2,10,0.0000,0.0000,0.0000,0.0000,314,0
1,Balanced,SPEA-II_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,318,318
1,Balanced,SPEA-II_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,318,318
1,Balanced,SPEA-II_PC75,14092.8,10,0.1865,0.1276,0.0000,0.3500,318,60
1,Balanced,SPEA-II_PC75,11702.2,10,0.0000,0.0000,0.0000,0.0000,318,0
1,Balanced,AMOSA_PC75,16592.3,10,1.0000,0.0000,1.0000,1.0000,364,364
1,Balanced,AMOSA_PC75,15807.7,10,1.0000,0.0000,1.0000,1.0000,364,364
1,Balanced,AMOSA_PC75,14092.8,10,0.0000,0.0000,0.0000,0.0000,364,0
1,Balanced,AMOSA_PC75,11702.2,10,0.0000,0.0000,0.0000,0.0000,364,0
1,Balanced,GA_WaitingTime_Dominance_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,10,10
1,Balanced,GA_WaitingTime_Dominance_PC50,14092.8,10,0.0000,0.0000,0.0000,0.0000,10,0
1,Balanced,GA_WaitingTime_Dominance_PC50,11702.2,10,0.0000,0.0000,0.0000,0.0000,10,0
1,Balanced,GA_Energy_Dominance_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,303,303
1,Balanced,GA_Energy_Dominance_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,303,303
1,Balanced,GA_Energy_Dominance_PC50,14092.8,10,1.0000,0.0000,1.0000,1.0000,303,303
1,Balanced,GA_Energy_Dominance_PC50,11702.2,10,0.0496,0.0555,0.0000,0.1481,303,14
1,Balanced,SA_WaitingTime_Dominance_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,12,12
1,Balanced,SA_WaitingTime_Dominance_PC50,15807.7,10,1.0000,0.0000,1.0000,1.0000,12,12
1,Balanced,SA_WaitingTime_Dominance_PC50,14092.8,10,0.0000,0.0000,0.0000,0.0000,12,0
1,Balanced,SA_WaitingTime_Dominance_PC50,11702.2,10,0.0000,0.0000,0.0000,0.0000,12,0
1,Balanced,SA_Energy_Dominance_PC50,16592.3,10,1.0000,0.0000,1.0000,1.0000,713,713
