Scenario,ScenarioName,Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts
1,Balanced,GA_WaitingTime_Dominance,205,1.746000,0.070270250,17405.109
1,Balanced,GA_WaitingTime_Dominance,206,2.084000,0.067729307,17379.620
1,Balanced,GA_WaitingTime_Dominance,206,2.204000,0.067467539,17026.634
1,Balanced,GA_WaitingTime_Dominance,206,2.154000,0.067716500,17264.781
1,Balanced,GA_WaitingTime_Dominance,206,1.980000,0.068892319,16896.533
1,Balanced,GA_WaitingTime_Dominance,206,1.990000,0.068808632,16626.998
1,Balanced,GA_WaitingTime_Dominance,206,2.034000,0.068234091,16872.325
1,Balanced,GA_WaitingTime_Dominance,206,1.958000,0.069166284,17718.787
1,Balanced,GA_WaitingTime_Dominance,206,2.094000,0.067719401,16521.292
1,Balanced,GA_WaitingTime_Dominance,206,1.956000,0.069185115,17128.225
1,Balanced,GA_WaitingTime_Dominance,206,1.742000,0.070162976,16704.447
1,Balanced,GA_WaitingTime_Dominance,206,1.802000,0.069887899,16555.644
1,Balanced,GA_WaitingTime_Dominance,206,1.748000,0.070020020,17190.088
1,Balanced,GA_WaitingTime_Dominance,206,1.798000,0.069918940,17446.751
1,Balanced,GA_WaitingTime_Dominance,206,1.856000,0.069419853,17108.482
1,Balanced,GA_WaitingTime_Dominance,206,1.690000,0.071223789,17769.263
1,Balanced,GA_WaitingTime_Dominance,206,1.728000,0.071046466,16528.890
1,Balanced,GA_WaitingTime_Dominance,206,1.670000,0.071802101,17258.566
1,Balanced,GA_WaitingTime_Dominance,206,1.686000,0.071622986,17362.513
1,Balanced,GA_WaitingTime_Dominance,207,2.168000,0.068099019,16680.110
1,Balanced,GA_WaitingTime_Dominance,207,2.128000,0.068471277,16334.870
1,Balanced,GA_WaitingTime_Dominance,207,2.184000,0.067978187,16303.699
1,Balanced,GA_WaitingTime_Dominance,207,2.282000,0.067930809,16873.740
1,Balanced,GA_WaitingTime_Dominance,207,2.058000,0.068736688,16305.013
1,Balanced,GA_WaitingTime_Dominance,207,2.060000,0.068600710,16112.829
1,Balanced,GA_WaitingTime_Dominance,207,1.980000,0.069111657,16631.272
1,Balanced,GA_WaitingTime_Dominance,207,1.996000,0.068940142,16630.890
1,Balanced,GA_WaitingTime_Dominance,207,1.782000,0.069609287,16342.852
1,Balanced,GA_WaitingTime_Dominance,207,1.838000,0.069139409,17203.950
1,Balanced,GA_WaitingTime_Dominance,207,1.760000,0.070784820,16834.686
1,Balanced,GA_WaitingTime_Dominance,207,1.814000,0.069607413,16710.386
1,Balanced,GA_WaitingTime_Dominance,207,1.818000,0.069514060,17543.039
1,Balanced,GA_WaitingTime_Dominance,208,2.220000,0.068098702,15807.680
1,Balanced,GA_WaitingTime_Dominance,208,2.342000,0.067756259,16577.893
1,Balanced,GA_WaitingTime_Dominance,208,2.258000,0.067957950,16326.200
1,Balanced,GA_WaitingTime_Dominance,208,2.356000,0.067722854,16979.741
1,Balanced,GA_WaitingTime_Dominance,208,2.240000,0.068058785,16646.246
1,Balanced,GA_WaitingTime_Dominance,208,2.180000,0.068148508,17862.125
1,Balanced,GA_WaitingTime_Dominance,208,1.968000,0.068321022,16851.070
1,Balanced,GA_WaitingTime_Dominance,208,2.940000,0.067238261,17282.889
1,Balanced,GA_WaitingTime_Dominance,208,2.018000,0.068297744,16681.002
1,Balanced,GA_WaitingTime_Dominance,208,1.732000,0.070083315,17742.174
1,Balanced,GA_WaitingTime_Dominance,208,1.740000,0.069366361,17421.575
1,Balanced,GA_WaitingTime_Dominance,208,2.784000,0.067712994,17137.558
1,Balanced,GA_WaitingTime_Dominance,208,1.770000,0.068885164,17164.078
1,Balanced,GA_WaitingTime_Dominance,208,1.940000,0.068473434,16986.775
1,Balanced,GA_WaitingTime_Dominance,208,1.794000,0.068728881,16975.855
1,Balanced,GA_WaitingTime_Dominance,208,1.796000,0.068646477,16742.204
1,Balanced,GA_WaitingTime_Dominance,208,1.822000,0.068474184,17440.527
1,Balanced,GA_WaitingTime_Dominance,209,2.012000,0.067823210,16971.557
1,Balanced,GA_WaitingTime_Dominance,209,3.120000,0.067752498,15916.592
1,Balanced,GA_WaitingTime_Dominance,209,1.832000,0.068402779,16992.836
1,Balanced,GA_WaitingTime_Dominance,209,3.858000,0.067418451,16382.910
1,Balanced,GA_WaitingTime_Dominance,209,1.724000,0.069708741,17143.484
1,Balanced,GA_WaitingTime_Dominance,209,1.698000,0.070370550,17351.069
1,Balanced,GA_WaitingTime_Dominance,209,1.688000,0.070919277,17382.857
1,Balanced,GA_WaitingTime_Dominance,209,1.756000,0.068772787,17126.009
1,Balanced,GA_WaitingTime_Dominance,209,1.738000,0.068802390,16797.439
1,Balanced,GA_WaitingTime_Dominance,209,1.700000,0.069825387,17510.726
1,Balanced,GA_WaitingTime_Dominance,209,1.810000,0.068688258,17440.787
1,Balanced,GA_WaitingTime_Dominance,209,1.694000,0.070605821,16620.316
1,Balanced,GA_WaitingTime_Dominance,209,1.734000,0.069105420,17942.918
1,Balanced,GA_Energy_Dominance,200,3.966000,0.067623942,16975.624
1,Balanced,GA_Energy_Dominance,200,4.322000,0.066615361,15912.807
1,Balanced,GA_Energy_Dominance,200,4.422000,0.064949215,16503.692
