Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
SPEA-II,204,0.451003,0.063718,0.199171,0.008898,29,29,0,6744,0.520000,
SPEA-II,205,0.358948,0.062203,0.257051,0.007254,21,21,0,6529,0.458109,
SPEA-II,206,0.253045,0.020684,0.333820,0.005674,11,11,0,6469,0.395321,
SPEA-II,207,0.295342,0.029570,0.311670,0.001938,14,14,7,6386,0.417430,
SPEA-II,208,0.430445,0.085361,0.206313,0.003880,26,26,0,6737,0.511306,
SPEA-II,209,0.428934,0.088800,0.210369,0.003698,27,27,0,6669,0.504670,
SPEA-II,MEAN,0.360290,0.060437,0.259594,0.004923,22,22,7,6569,0.460048,10
SPEA-II,STDDEV,0.075658,0.026814,0.054368,0.002105,,,,,0.048535,
AMOSA,200,0.267916,0.062743,0.336357,0.005253,9,9,1,5062,0.392051,
AMOSA,201,0.294387,0.046536,0.327646,0.002785,14,14,0,5021,0.391141,
AMOSA,202,0.258812,0.061845,0.348876,0.004582,9,9,1,5015,0.376036,
AMOSA,203,0.273995,0.043743,0.338985,0.002714,11,11,0,5019,0.379344,
AMOSA,204,0.311016,0.110004,0.280727,0.009248,13,13,0,5016,0.432238,
AMOSA,205,0.293993,0.035736,0.314126,0.004955,12,12,0,5035,0.405391,
AMOSA,206,0.259181,0.024239,0.324655,0.003866,9,9,0,5133,0.403520,
AMOSA,207,0.278426,0.042281,0.323862,0.003755,9,9,0,5034,0.397725,
AMOSA,208,0.271540,0.061550,0.346876,0.005524,9,9,0,5050,0.371456,
AMOSA,209,0.294321,0.035712,0.319876,0.009901,10,10,0,5038,0.400096,
AMOSA,MEAN,0.280359,0.052439,0.326199,0.005258,11,11,2,5042,0.394900,10
AMOSA,STDDEV,0.016453,0.022714,0.018633,0.002343,,,,,0.016683,
Universal_Pareto,ALL,0.746011,0.000000,0.000000,0.000000,99,99,99,0,0.826726,
