Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,NSGA-II,208,0.594985,0.034399,0.057966,0.011779,47,0,2601,4.604000,0.379454977
1,Balanced,NSGA-II,209,0.594241,0.029010,0.066594,0.007528,51,1,2609,4.686000,0.383390537
1,Balanced,NSGA-II,MEAN,0.595544,0.029553,0.063086,0.014542,,7,2608,4.584000,0.373967697
1,Balanced,SPEA-II,200,0.608424,0.023039,0.055627,0.018425,51,2,3233,4.586000,0.376414204
1,Balanced,SPEA-II,201,0.616065,0.021936,0.060154,0.013793,40,1,3200,4.666000,0.367203497
1,Balanced,SPEA-II,202,0.596102,0.021804,0.057158,0.010497,53,1,3186,4.652000,0.386139423
1,Balanced,SPEA-II,203,0.597792,0.028463,0.066554,0.014255,53,1,3208,4.654000,0.381510675
1,Balanced,SPEA-II,204,0.586584,0.031865,0.067304,0.009267,55,0,3235,4.646000,0.388454018
1,Balanced,SPEA-II,205,0.597288,0.019019,0.055472,0.006343,78,1,3172,4.572000,0.386461314
1,Balanced,SPEA-II,206,0.599423,0.023796,0.068959,0.006584,55,0,3209,4.632000,0.381580082
1,Balanced,SPEA-II,207,0.599008,0.024214,0.053479,0.012625,55,1,3217,4.630000,0.382174991
1,Balanced,SPEA-II,208,0.602257,0.015897,0.052386,0.007418,51,10,3136,4.624000,0.384712777
1,Balanced,SPEA-II,209,0.587738,0.024331,0.067432,0.013070,55,0,3199,4.626000,0.391488534
1,Balanced,SPEA-II,MEAN,0.599068,0.023436,0.060453,0.011228,,17,3199,4.572000,0.367203497
1,Balanced,AMOSA,200,0.474968,0.007993,0.095747,0.003228,70,1,2466,4.482000,0.473968643
1,Balanced,AMOSA,201,0.504122,0.007714,0.085202,0.011944,55,5,2418,4.482000,0.456393813
1,Balanced,AMOSA,202,0.494023,0.023054,0.074102,0.003123,73,2,2460,4.440000,0.460423782
1,Balanced,AMOSA,203,0.515602,0.009806,0.068038,0.003766,63,22,2449,4.498000,0.448699967
1,Balanced,AMOSA,204,0.494203,0.018560,0.082097,0.004996,67,0,2434,4.494000,0.458857790
1,Balanced,AMOSA,205,0.492236,0.017884,0.087555,0.003915,78,0,2454,4.474000,0.460530176
1,Balanced,AMOSA,206,0.470284,0.002951,0.101817,0.003218,65,9,2455,4.478000,0.477506279
1,Balanced,AMOSA,207,0.468230,0.015343,0.094081,0.005781,64,0,2430,4.506000,0.475976537
1,Balanced,AMOSA,208,0.476304,0.009092,0.085649,0.006529,63,33,2440,4.472000,0.472672575
1,Balanced,AMOSA,209,0.463174,0.011262,0.100530,0.004514,49,2,2406,4.474000,0.480025645
1,Balanced,AMOSA,MEAN,0.485315,0.012366,0.087482,0.005101,,74,2441,4.440000,0.448699967
2,GPU_Stress,GA_WaitingTime_Dominance,200,0.362572,0.023067,0.144198,0.029655,20,0,2317,4.698000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,201,0.387950,0.035784,0.145901,0.031831,22,0,1929,4.682000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,202,0.372387,0.028304,0.143459,0.028218,21,0,1925,4.716000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,203,0.372767,0.029229,0.141431,0.013030,31,1,1922,4.666000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,204,0.367634,0.027678,0.142630,0.018052,30,1,1955,4.662000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,205,0.392176,0.031722,0.138531,0.006857,35,0,1944,4.666000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,206,0.391383,0.033216,0.135312,0.010957,26,0,1977,4.656000,0.641113406
2,GPU_Stress,GA_WaitingTime_Dominance,207,0.346035,0.020787,0.143112,0.017158,28,13,1949,4.650000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,208,0.402021,0.032484,0.136214,0.008361,33,0,1942,4.658000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,209,0.377316,0.047201,0.150182,0.034149,25,0,1929,4.678000,0.646290373
2,GPU_Stress,GA_WaitingTime_Dominance,MEAN,0.377224,0.030947,0.142097,0.019827,,15,1978,4.650000,0.641113406
2,GPU_Stress,GA_Energy_Dominance,200,0.618237,0.147596,0.131040,0.009729,71,0,2080,7.314000,0.296347354
2,GPU_Stress,GA_Energy_Dominance,201,0.615932,0.151834,0.123607,0.017395,62,0,2025,7.112000,0.307469864
2,GPU_Stress,GA_Energy_Dominance,202,0.610922,0.151367,0.124133,0.018347,62,0,2020,7.204000,0.301457784
2,GPU_Stress,GA_Energy_Dominance,203,0.607346,0.188012,0.152631,0.009934,60,0,2048,7.468000,0.307758460
2,GPU_Stress,GA_Energy_Dominance,204,0.589907,0.188744,0.149153,0.016410,53,0,2025,7.506000,0.306733356
2,GPU_Stress,GA_Energy_Dominance,205,0.628812,0.164295,0.131109,0.010201,63,0,2024,7.274000,0.304894553
2,GPU_Stress,GA_Energy_Dominance,206,0.606549,0.170588,0.138734,0.009880,75,0,2009,7.326000,0.313139968
2,GPU_Stress,GA_Energy_Dominance,207,0.608024,0.154058,0.136103,0.014725,59,0,2071,7.458000,0.305180392
2,GPU_Stress,GA_Energy_Dominance,208,0.625085,0.158547,0.129834,0.010399,50,0,2025,7.230000,0.301714433
2,GPU_Stress,GA_Energy_Dominance,209,0.613150,0.151774,0.135467,0.013564,49,0,2030,7.530000,0.300740938
2,GPU_Stress,GA_Energy_Dominance,MEAN,0.612396,0.162682,0.135181,0.013058,,0,2035,7.112000,0.296347354
2,GPU_Stress,SA_WaitingTime_Dominance,200,0.386863,0.068361,0.151171,0.016197,19,0,807,5.260000,0.643891053
2,GPU_Stress,SA_WaitingTime_Dominance,201,0.381614,0.042282,0.143165,0.039475,34,0,827,5.332000,0.640844923
2,GPU_Stress,SA_WaitingTime_Dominance,202,0.397142,0.053763,0.144629,0.008638,44,0,803,4.684000,0.642717867
2,GPU_Stress,SA_WaitingTime_Dominance,203,0.386408,0.047181,0.140538,0.024583,40,0,824,5.108000,0.640300917
2,GPU_Stress,SA_WaitingTime_Dominance,204,0.408538,0.049353,0.135833,0.007969,58,0,834,5.070000,0.640300917
2,GPU_Stress,SA_WaitingTime_Dominance,205,0.408600,0.066511,0.145661,0.009406,31,0,851,4.932000,0.641349072
2,GPU_Stress,SA_WaitingTime_Dominance,206,0.382787,0.057277,0.143694,0.016238,44,0,826,5.250000,0.639502323
2,GPU_Stress,SA_WaitingTime_Dominance,207,0.374764,0.071695,0.148020,0.005028,25,0,811,5.048000,0.641349072
2,GPU_Stress,SA_WaitingTime_Dominance,208,0.377384,0.066964,0.147186,0.009754,36,0,801,4.818000,0.639502323
2,GPU_Stress,SA_WaitingTime_Dominance,209,0.422019,0.102724,0.144108,0.009558,46,0,812,4.848000,0.640300917
2,GPU_Stress,SA_WaitingTime_Dominance,MEAN,0.392612,0.062611,0.144401,0.014685,,0,819,4.684000,0.639502323
2,GPU_Stress,SA_Energy_Dominance,200,0.687465,0.106723,0.139170,0.182694,11,0,814,7.396000,0.307542034
2,GPU_Stress,SA_Energy_Dominance,201,0.645251,0.077220,0.140881,0.002799,23,6,867,7.334000,0.290595510
2,GPU_Stress,SA_Energy_Dominance,202,0.645077,0.073807,0.154555,0.102660,27,0,874,7.522000,0.296250130
2,GPU_Stress,SA_Energy_Dominance,203,0.669286,0.074953,0.159943,0.188313,9,0,842,7.548000,0.296232885
2,GPU_Stress,SA_Energy_Dominance,204,0.650681,0.089817,0.151694,0.147452,17,0,848,7.380000,0.330895641
2,GPU_Stress,SA_Energy_Dominance,205,0.660297,0.121872,0.156964,0.093122,29,0,855,7.468000,0.309133108
2,GPU_Stress,SA_Energy_Dominance,206,0.679769,0.071539,0.160594,0.158240,12,1,854,7.426000,0.301617624
2,GPU_Stress,SA_Energy_Dominance,207,0.671556,0.113436,0.149688,0.117292,19,0,877,7.416000,0.308341118
2,GPU_Stress,SA_Energy_Dominance,208,0.671749,0.066599,0.144489,0.190460,9,1,838,7.520000,0.292314651
2,GPU_Stress,SA_Energy_Dominance,209,0.687860,0.101534,0.159916,0.119014,16,1,857,7.448000,0.294897488
2,GPU_Stress,SA_Energy_Dominance,MEAN,0.666899,0.089750,0.151789,0.130205,,9,852,7.334000,0.290595510
