Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,PeakPower_Min,PeakPower_Mean
1,Balanced,NSGA-II,200,0.585216,0.021485,0.063795,0.013048,56,0,2698,4.584000,0.391030635,137471.911,190715.505
1,Balanced,NSGA-II,201,0.600424,0.011884,0.065244,0.009718,43,3,2503,4.664000,0.383963518,135364.988,188512.325
1,Balanced,NSGA-II,202,0.587363,0.019797,0.065826,0.024528,42,2,2527,4.656000,0.390678310,142406.646,191264.553
1,Balanced,NSGA-II,203,0.603233,0.020085,0.065487,0.012890,59,4,2554,4.618000,0.377078035,140257.131,190029.078
1,Balanced,NSGA-II,204,0.593781,0.030526,0.082659,0.033281,41,0,2560,4.706000,0.380562203,134974.564,181040.984
1,Balanced,NSGA-II,205,0.599887,0.027839,0.073027,0.010754,65,0,2569,4.670000,0.373967697,138485.728,184120.011
1,Balanced,NSGA-II,206,0.603162,0.019042,0.070209,0.013717,56,1,2532,4.688000,0.375462402,131974.544,187730.669
1,Balanced,NSGA-II,207,0.593143,0.026084,0.081349,0.008177,61,0,2544,4.696000,0.381586718,131474.355,183502.886
1,Balanced,NSGA-II,208,0.594985,0.027295,0.060646,0.011779,47,0,2552,4.604000,0.379454977,135082.314,191817.010
1,Balanced,NSGA-II,209,0.594241,0.020071,0.073049,0.007528,51,1,2560,4.686000,0.383390537,139310.039,192016.992
1,Balanced,NSGA-II,MEAN,0.595544,0.022411,0.070129,0.014542,,11,2559,4.584000,0.373967697,131474.355,187977.477
1,Balanced,SPEA-II,200,0.608424,0.014064,0.060816,0.018425,51,4,3176,4.586000,0.376414204,117659.054,187437.153
1,Balanced,SPEA-II,201,0.616065,0.013405,0.067365,0.013793,40,3,3163,4.666000,0.367203497,138254.666,189284.820
1,Balanced,SPEA-II,202,0.596102,0.013199,0.063242,0.010497,53,3,3151,4.652000,0.386139423,127662.932,190359.590
1,Balanced,SPEA-II,203,0.597792,0.020870,0.076496,0.014255,53,2,3165,4.654000,0.381510675,126386.835,184309.304
1,Balanced,SPEA-II,204,0.586584,0.023712,0.075446,0.009267,55,0,3191,4.646000,0.388454018,129002.289,184922.015
1,Balanced,SPEA-II,205,0.597288,0.011825,0.060412,0.006343,78,3,3108,4.572000,0.386461314,152085.217,193754.362
1,Balanced,SPEA-II,206,0.599423,0.016939,0.079971,0.006584,55,0,3149,4.632000,0.381580082,135421.161,184654.519
1,Balanced,SPEA-II,207,0.599008,0.016736,0.057649,0.012625,55,1,3150,4.630000,0.382174991,143736.626,189092.680
1,Balanced,SPEA-II,208,0.602257,0.009317,0.057811,0.007418,51,15,3101,4.624000,0.384712777,151982.309,190490.744
1,Balanced,SPEA-II,209,0.587738,0.016066,0.078310,0.013070,55,1,3166,4.626000,0.391488534,143963.809,192396.559
1,Balanced,SPEA-II,MEAN,0.599068,0.015613,0.067752,0.011228,,32,3152,4.572000,0.367203497,117659.054,188872.939
1,Balanced,AMOSA,200,0.420660,0.063230,0.136152,0.015312,26,0,4055,4.638000,0.495966014,195369.156,208663.913
1,Balanced,AMOSA,201,0.411152,0.027758,0.148479,0.025593,17,0,4089,4.760000,0.501548038,180953.263,202351.397
1,Balanced,AMOSA,202,0.423376,0.021785,0.145315,0.032592,19,0,4024,4.700000,0.496781333,187065.294,200374.657
1,Balanced,AMOSA,203,0.419957,0.050231,0.153516,0.008724,17,4,4020,4.646000,0.497525698,198022.381,211121.338
1,Balanced,AMOSA,204,0.401460,0.013634,0.153269,0.007705,26,0,4033,4.584000,0.511333908,183651.544,208835.422
1,Balanced,AMOSA,205,0.433794,0.024670,0.140862,0.048011,24,0,4056,4.638000,0.491013718,190120.600,203474.865
1,Balanced,AMOSA,206,0.439609,0.030408,0.131531,0.016870,23,9,4028,4.608000,0.482406137,177696.600,203238.560
1,Balanced,AMOSA,207,0.394997,0.015722,0.171015,0.010985,17,0,4042,4.714000,0.513142340,196682.467,202724.687
1,Balanced,AMOSA,208,0.406577,0.017113,0.159420,0.022763,17,3,4050,4.666000,0.506818269,194425.544,205868.878
1,Balanced,AMOSA,209,0.430529,0.040002,0.146023,0.010251,22,0,4038,4.672000,0.489475024,180296.529,201848.317
1,Balanced,AMOSA,MEAN,0.418211,0.030455,0.148558,0.019881,,16,4043,4.584000,0.482406137,177696.600,204979.687
1,Balanced,NSGA-II_PC_190kW,200,0.508134,0.091759,0.137077,0.012735,40,0,7309,5.590000,0.399486248,128798.217,165943.885
1,Balanced,NSGA-II_PC_190kW,201,0.515411,0.116263,0.140738,0.010215,52,0,7242,5.494000,0.385223236,116138.100,152096.830
1,Balanced,NSGA-II_PC_190kW,202,0.563208,0.052246,0.108429,0.007406,58,0,7223,5.264000,0.378186739,128602.314,166572.391
1,Balanced,NSGA-II_PC_190kW,203,0.512802,0.098491,0.138935,0.008730,47,0,7288,5.494000,0.394674664,138040.156,169443.243
1,Balanced,NSGA-II_PC_190kW,204,0.523097,0.092264,0.141034,0.016109,37,0,7266,5.758000,0.381478946,110292.911,158430.939
1,Balanced,NSGA-II_PC_190kW,205,0.519178,0.114320,0.138707,0.011879,50,0,7230,5.590000,0.378088718,122101.835,167824.359
1,Balanced,NSGA-II_PC_190kW,206,0.507966,0.111028,0.147048,0.013279,47,0,7260,5.632000,0.388786013,129739.809,160932.748
1,Balanced,NSGA-II_PC_190kW,207,0.508484,0.098126,0.139837,0.018649,38,0,7300,5.624000,0.394734988,134928.340,160735.911
1,Balanced,NSGA-II_PC_190kW,208,0.514874,0.100834,0.139262,0.013051,43,0,7275,5.592000,0.389522101,128884.845,162228.919
1,Balanced,NSGA-II_PC_190kW,209,0.508073,0.102974,0.142389,0.013116,38,0,7273,5.560000,0.399001798,127899.927,169414.508
1,Balanced,NSGA-II_PC_190kW,MEAN,0.518123,0.097831,0.137346,0.012517,,0,7266,5.264000,0.378088718,110292.911,163356.407
1,Balanced,NSGA-II_PC_120kW,200,0.407456,0.180131,0.281380,0.025879,19,0,7018,7.372000,0.392470209,100909.891,114559.773
1,Balanced,NSGA-II_PC_120kW,201,0.390873,0.190585,0.285712,0.023531,18,0,7061,7.548000,0.401577518,100353.646,115053.930
1,Balanced,NSGA-II_PC_120kW,202,0.399409,0.189004,0.292129,0.029613,16,0,7012,7.534000,0.390589243,89037.161,110338.893
1,Balanced,NSGA-II_PC_120kW,203,0.351226,0.278570,0.326661,0.021262,16,0,7005,7.926000,0.410729808,101288.891,111249.485
1,Balanced,NSGA-II_PC_120kW,204,0.389067,0.219238,0.290575,0.037715,16,0,7022,7.664000,0.392184326,99702.314,111153.680
1,Balanced,NSGA-II_PC_120kW,205,0.395188,0.195818,0.281283,0.019925,20,0,6946,7.424000,0.400277189,96120.870,113547.918
1,Balanced,NSGA-II_PC_120kW,206,0.391768,0.188618,0.305477,0.026755,18,0,7032,7.728000,0.379506733,102608.682,111267.993
1,Balanced,NSGA-II_PC_120kW,207,0.390032,0.195969,0.310516,0.028767,24,0,6981,7.732000,0.383552644,87819.876,107841.893
1,Balanced,NSGA-II_PC_120kW,208,0.401641,0.199170,0.279779,0.015538,23,0,7023,7.302000,0.393869053,99493.207,115145.889
1,Balanced,NSGA-II_PC_120kW,209,0.399444,0.192268,0.281764,0.021637,19,0,7059,7.502000,0.385124406,99390.789,111655.506
1,Balanced,NSGA-II_PC_120kW,MEAN,0.391610,0.202937,0.293528,0.025062,,0,7015,7.302000,0.379506733,87819.876,112186.651
1,Balanced,SPEA-II_PC_190kW,200,0.528103,0.069937,0.132377,0.008955,37,0,7967,5.472000,0.397934985,141132.120,166895.758
1,Balanced,SPEA-II_PC_190kW,201,0.536355,0.062591,0.133577,0.009931,43,0,7938,5.610000,0.387086319,135176.518,165590.737
1,Balanced,SPEA-II_PC_190kW,202,0.529704,0.085717,0.130933,0.011056,44,0,7961,5.412000,0.391113149,132297.345,165298.581
1,Balanced,SPEA-II_PC_190kW,203,0.536735,0.077577,0.134263,0.009026,48,0,7963,5.572000,0.380849782,124176.166,159448.318
1,Balanced,SPEA-II_PC_190kW,204,0.527588,0.073279,0.130513,0.011808,37,0,7936,5.604000,0.390135488,126221.610,156184.689
1,Balanced,SPEA-II_PC_190kW,205,0.520788,0.082999,0.133933,0.007126,40,0,7926,5.488000,0.396912988,126945.126,162595.702
1,Balanced,SPEA-II_PC_190kW,206,0.531675,0.071289,0.129485,0.021626,37,0,7970,5.508000,0.393973096,124037.421,164266.292
1,Balanced,SPEA-II_PC_190kW,207,0.549512,0.062785,0.129197,0.019420,34,0,7925,5.486000,0.379755455,118000.819,156875.142
1,Balanced,SPEA-II_PC_190kW,208,0.542164,0.063248,0.128132,0.007834,42,0,7922,5.348000,0.391545295,123043.646,167955.289
1,Balanced,SPEA-II_PC_190kW,209,0.513699,0.087289,0.131614,0.035298,32,0,7936,5.522000,0.399251253,127512.824,163553.071
1,Balanced,SPEA-II_PC_190kW,MEAN,0.531632,0.073671,0.131402,0.014208,,0,7944,5.348000,0.379755455,118000.819,162955.054
1,Balanced,SPEA-II_PC_120kW,200,0.430653,0.110000,0.273060,0.015569,17,0,7533,7.384000,0.384608494,98939.860,112999.861
1,Balanced,SPEA-II_PC_120kW,201,0.413907,0.140071,0.290214,0.018165,18,0,7548,7.466000,0.391966698,101824.299,112102.445
1,Balanced,SPEA-II_PC_120kW,202,0.427373,0.125624,0.265611,0.013818,19,0,7547,7.304000,0.392332570,102629.304,113459.112
1,Balanced,SPEA-II_PC_120kW,203,0.433047,0.123896,0.267413,0.013194,20,0,7476,7.298000,0.392397228,95281.610,113681.231
1,Balanced,SPEA-II_PC_120kW,204,0.448208,0.117475,0.243260,0.018883,16,0,7591,6.876000,0.393484258,97675.309,109706.765
1,Balanced,SPEA-II_PC_120kW,205,0.424804,0.138671,0.275397,0.028663,19,0,7495,7.332000,0.388615063,102316.095,113648.399
1,Balanced,SPEA-II_PC_120kW,206,0.436276,0.112377,0.260541,0.011398,16,0,7595,7.048000,0.399685199,103877.503,114217.993
1,Balanced,SPEA-II_PC_120kW,207,0.438582,0.081551,0.270987,0.020728,16,0,7545,7.244000,0.391995177,100241.661,109589.894
1,Balanced,SPEA-II_PC_120kW,208,0.426238,0.122576,0.279946,0.009540,26,0,7569,7.382000,0.387862130,97789.707,111045.986
1,Balanced,SPEA-II_PC_120kW,209,0.417484,0.135469,0.257407,0.014297,19,0,7616,7.110000,0.408879876,107010.498,115218.769
