Scenario,Algorithm,Seed,HV_fixed,EpsPlus,ParetoContribution_pct,nSolutions,ref_x_raw,ref_y_raw
1,AMOSA,200,0.7897849530495259,0.2275718583295077,0.0,26,163.0572,1.5320767950999998
1,AMOSA,201,0.7850778810677395,0.23227204571671922,0.0,17,163.0572,1.5320767950999998
1,AMOSA,202,0.7890236518489031,0.22825837491925252,0.0,19,163.0572,1.5320767950999998
1,AMOSA,203,0.788617058272823,0.22888514667524673,4.477611940298507,17,163.0572,1.5320767950999998
1,AMOSA,204,0.7785008989676698,0.24051196420271848,0.0,26,163.0572,1.5320767950999998
1,AMOSA,205,0.793653277427603,0.22340191581458155,0.0,24,163.0572,1.5320767950999998
1,AMOSA,206,0.8000896884735826,0.21615414266803087,11.940298507462687,23,163.0572,1.5320767950999998
1,AMOSA,207,0.7765454367928218,0.24203470385361028,0.0,17,163.0572,1.5320767950999998
1,AMOSA,208,0.7815480490647546,0.2367096965175562,2.985074626865672,17,163.0572,1.5320767950999998
1,AMOSA,209,0.7945493986125066,0.22210630151203142,0.0,22,163.0572,1.5320767950999998
1,EnergyAware,200,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,201,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,202,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,203,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,204,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,205,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,206,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,207,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,208,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,EnergyAware,209,0.9305539186495823,0.04283347730970422,0.0,1,163.0572,1.5320767950999998
1,FirstAvailable,200,0.008264462809917368,1.0,0.0,1,163.0572,1.5320767950999998
1,FirstAvailable,201,0.008264462809917368,1.0,0.0,1,163.0572,1.5320767950999998
1,FirstAvailable,202,0.008264462809917368,1.0,0.0,1,163.0572,1.5320767950999998
1,FirstAvailable,203,0.008264462809917368,1.0,0.0,1,163.0572,1.5320767950999998
1,FirstAvailable,204,0.008264462809917368,1.0,0.0,1,163.0572,1.5320767950999998
