Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_WaitingTime_Dominance,200,0.398801,0.007179,0.155069,0.009688,25,25,3,2631
GA_WaitingTime_Dominance,201,0.362190,0.011101,0.183915,0.015391,24,24,1,1941
GA_WaitingTime_Dominance,202,0.382139,0.007128,0.171054,0.008870,25,25,0,1922
GA_WaitingTime_Dominance,203,0.361641,0.012182,0.182492,0.014531,27,27,1,1851
GA_WaitingTime_Dominance,204,0.360964,0.013075,0.184837,0.014728,25,25,0,1845
GA_WaitingTime_Dominance,205,0.361544,0.014902,0.183354,0.006449,27,27,0,1846
GA_WaitingTime_Dominance,206,0.375808,0.009126,0.170437,0.008662,24,24,8,1853
GA_WaitingTime_Dominance,207,0.362845,0.008504,0.183206,0.005448,29,29,4,1840
GA_WaitingTime_Dominance,208,0.363121,0.012408,0.181407,0.008256,34,34,1,1853
GA_WaitingTime_Dominance,209,0.361684,0.012741,0.183970,0.012159,27,27,0,1853
GA_WaitingTime_Dominance,MEAN,0.369074,0.010835,0.177974,0.010418,27,27,18,1943
GA_WaitingTime_Dominance,STDDEV,0.012057,0.002550,0.009144,0.003382,,,,
GA_Energy_Dominance,200,0.636481,0.119007,0.135647,0.012148,61,61,0,1962
GA_Energy_Dominance,201,0.661479,0.113553,0.124830,0.012603,72,72,0,1952
GA_Energy_Dominance,202,0.621970,0.123577,0.145541,0.013562,63,63,0,1957
GA_Energy_Dominance,203,0.613233,0.129878,0.141517,0.019321,53,53,0,1919
GA_Energy_Dominance,204,0.632899,0.132931,0.142432,0.018669,72,72,0,1986
GA_Energy_Dominance,205,0.652032,0.117787,0.126399,0.010786,58,58,0,1964
GA_Energy_Dominance,206,0.640394,0.136903,0.140646,0.018766,60,60,0,1933
GA_Energy_Dominance,207,0.630612,0.115110,0.140102,0.010488,67,67,0,1950
GA_Energy_Dominance,208,0.628717,0.129254,0.130655,0.009289,86,86,0,1943
GA_Energy_Dominance,209,0.613853,0.137174,0.142686,0.012377,54,54,0,1947
GA_Energy_Dominance,MEAN,0.633167,0.125517,0.137045,0.013801,65,65,0,1951
GA_Energy_Dominance,STDDEV,0.014639,0.008431,0.006933,0.003543,,,,
SA_WaitingTime_Dominance,200,0.397669,0.011935,0.195256,0.082537,22,23,0,779
SA_WaitingTime_Dominance,201,0.366009,0.014028,0.184551,0.065381,19,20,0,763
SA_WaitingTime_Dominance,202,0.364618,0.008203,0.187793,0.054135,27,27,1,778
SA_WaitingTime_Dominance,203,0.366305,0.012367,0.185965,0.052969,21,21,0,769
SA_WaitingTime_Dominance,204,0.355349,0.010620,0.196180,0.072608,16,18,0,785
SA_WaitingTime_Dominance,205,0.357519,0.019255,0.188986,0.076164,10,11,0,767
SA_WaitingTime_Dominance,206,0.355689,0.011420,0.198820,0.106854,10,12,0,774
SA_WaitingTime_Dominance,207,0.362603,0.007923,0.199657,0.125978,10,12,0,767
SA_WaitingTime_Dominance,208,0.360558,0.019823,0.192297,0.017977,18,20,1,780
SA_WaitingTime_Dominance,209,0.364931,0.012678,0.188960,0.004709,28,28,0,782
SA_WaitingTime_Dominance,MEAN,0.365125,0.012825,0.191846,0.065931,18,19,2,774
SA_WaitingTime_Dominance,STDDEV,0.011538,0.003808,0.005109,0.034729,,,,
SA_Energy_Dominance,200,0.650868,0.151899,0.139629,0.061454,47,51,2,871
SA_Energy_Dominance,201,0.702549,0.104854,0.142769,0.159071,11,12,1,855
SA_Energy_Dominance,202,0.697869,0.087872,0.152092,0.161919,13,15,0,888
SA_Energy_Dominance,203,0.694633,0.108712,0.135476,0.167557,13,15,0,878
SA_Energy_Dominance,204,0.659516,0.103458,0.142695,0.100230,26,28,1,878
SA_Energy_Dominance,205,0.676091,0.100132,0.145741,0.045292,15,15,1,1325
SA_Energy_Dominance,206,0.706069,0.103317,0.149862,0.001742,14,14,2,860
SA_Energy_Dominance,207,0.670674,0.132900,0.137387,0.003205,56,56,2,940
SA_Energy_Dominance,208,0.679065,0.172124,0.132019,0.014566,35,35,0,911
SA_Energy_Dominance,209,0.705985,0.099092,0.147404,0.002373,13,14,0,865
SA_Energy_Dominance,MEAN,0.684332,0.116436,0.142508,0.071741,24,26,9,927
SA_Energy_Dominance,STDDEV,0.018922,0.025587,0.006119,0.066509,,,,
NSGA-II,200,0.585216,0.021485,0.063795,0.013048,56,56,0,2698
NSGA-II,201,0.600424,0.011884,0.065244,0.009718,43,43,3,2503
NSGA-II,202,0.587363,0.019797,0.065826,0.024528,42,42,2,2527
NSGA-II,203,0.603233,0.020085,0.065487,0.012890,59,59,4,2554
NSGA-II,204,0.593781,0.030526,0.082659,0.033281,41,41,0,2560
NSGA-II,205,0.599887,0.027839,0.073027,0.010754,65,65,0,2569
NSGA-II,206,0.603162,0.019042,0.070209,0.013717,56,56,1,2532
NSGA-II,207,0.593143,0.026084,0.081349,0.008177,61,61,0,2544
NSGA-II,208,0.594985,0.027295,0.060646,0.011779,47,47,0,2552
