Scenario,ScenarioName,Algorithm,CapWatts,WaitingTime,Energy,PeakPowerWatts,Seed
1,Balanced,GA_Energy_Dominance,220000.0,10.316000,0.307905812,121511.100,206
1,Balanced,GA_Energy_Dominance,220000.0,10.334000,0.301794166,82836.391,203
1,Balanced,GA_Energy_Dominance,220000.0,10.600000,0.300168540,74827.641,206
1,Balanced,GA_Energy_Dominance,220000.0,10.644000,0.298040912,95056.529,203
1,Balanced,GA_Energy_Dominance,220000.0,10.832000,0.296639067,77323.983,206
1,Balanced,GA_Energy_Dominance,220000.0,10.854000,0.295061125,99296.493,206
1,Balanced,GA_Energy_Dominance,220000.0,10.958000,0.290274362,98016.886,206
1,Balanced,GA_Energy_Dominance,220000.0,10.966000,0.288275817,96935.427,206
1,Balanced,GA_Energy_Dominance,220000.0,11.058000,0.284979319,82770.513,206
1,Balanced,GA_Energy_Dominance,220000.0,11.196000,0.283577183,89210.126,206
1,Balanced,GA_Energy_Dominance,220000.0,11.202000,0.278699402,130659.483,206
1,Balanced,GA_Energy_Dominance,220000.0,11.424000,0.273050099,85164.427,206
1,Balanced,GA_Energy_Dominance,220000.0,11.510000,0.268977763,68526.268,206
1,Balanced,GA_Energy_Dominance,220000.0,11.702000,0.268281168,76754.044,206
1,Balanced,GA_Energy_Dominance,220000.0,11.794000,0.268276755,79568.416,206
1,Balanced,GA_Energy_Dominance,220000.0,11.900000,0.268262051,75537.722,206
1,Balanced,GA_Energy_Dominance,220000.0,11.902000,0.267945781,69015.559,203
1,Balanced,GA_Energy_Dominance,220000.0,11.906000,0.263415252,65661.687,206
1,Balanced,GA_Energy_Dominance,220000.0,11.944000,0.258928230,70939.574,206
1,Balanced,GA_Energy_Dominance,220000.0,11.980000,0.257278972,83434.962,206
1,Balanced,GA_Energy_Dominance,220000.0,12.236000,0.252301861,57314.615,206
1,Balanced,GA_Energy_Dominance,220000.0,12.300000,0.252125626,68618.671,206
1,Balanced,GA_Energy_Dominance,220000.0,12.330000,0.251304465,61222.228,203
1,Balanced,GA_Energy_Dominance,220000.0,12.458000,0.248568575,65460.855,206
1,Balanced,GA_Energy_Dominance,220000.0,12.736000,0.245396039,53737.120,206
1,Balanced,GA_Energy_Dominance,220000.0,12.996000,0.243920853,53045.421,203
1,Balanced,GA_Energy_Dominance,220000.0,13.576000,0.240573945,59922.585,206
1,Balanced,GA_Energy_Dominance,220000.0,13.756000,0.240414529,55190.804,203
1,Balanced,GA_Energy_Dominance,220000.0,14.396000,0.239702835,60253.789,205
1,Balanced,GA_Energy_Dominance,220000.0,14.496000,0.238335550,48291.442,207
1,Balanced,GA_Energy_Dominance,220000.0,14.986000,0.233496194,42565.268,207
1,Balanced,GA_Energy_Dominance,190000.0,5.490000,0.542085923,189648.748,208
1,Balanced,GA_Energy_Dominance,190000.0,5.528000,0.537514467,187176.207,200
1,Balanced,GA_Energy_Dominance,190000.0,5.690000,0.521603367,189104.483,207
1,Balanced,GA_Energy_Dominance,190000.0,6.188000,0.506684134,189116.222,208
1,Balanced,GA_Energy_Dominance,190000.0,6.464000,0.502342673,171378.998,203
1,Balanced,GA_Energy_Dominance,190000.0,6.468000,0.499885823,185981.932,204
1,Balanced,GA_Energy_Dominance,190000.0,6.562000,0.496278908,165316.651,201
1,Balanced,GA_Energy_Dominance,190000.0,6.728000,0.493715207,186171.574,205
1,Balanced,GA_Energy_Dominance,190000.0,6.776000,0.470286230,183072.156,201
1,Balanced,GA_Energy_Dominance,190000.0,6.944000,0.446508490,165303.370,201
1,Balanced,GA_Energy_Dominance,190000.0,7.282000,0.445883697,186927.789,201
1,Balanced,GA_Energy_Dominance,190000.0,7.616000,0.443051011,172392.217,203
1,Balanced,GA_Energy_Dominance,190000.0,7.680000,0.431482310,162833.518,205
1,Balanced,GA_Energy_Dominance,190000.0,7.708000,0.427881366,148391.161,201
1,Balanced,GA_Energy_Dominance,190000.0,7.740000,0.424276116,167216.222,201
1,Balanced,GA_Energy_Dominance,190000.0,7.960000,0.423520817,181060.447,201
1,Balanced,GA_Energy_Dominance,190000.0,7.964000,0.409073106,176200.177,201
1,Balanced,GA_Energy_Dominance,190000.0,8.110000,0.407958992,172537.080,201
1,Balanced,GA_Energy_Dominance,190000.0,8.292000,0.396215596,146480.799,203
1,Balanced,GA_Energy_Dominance,190000.0,8.388000,0.394561543,149470.651,201
1,Balanced,GA_Energy_Dominance,190000.0,8.424000,0.380233260,129698.442,208
1,Balanced,GA_Energy_Dominance,190000.0,8.664000,0.377381077,142389.350,208
1,Balanced,GA_Energy_Dominance,190000.0,8.760000,0.374998648,143968.743,208
1,Balanced,GA_Energy_Dominance,190000.0,8.842000,0.350261783,117279.651,206
1,Balanced,GA_Energy_Dominance,190000.0,9.354000,0.346877224,138220.916,206
1,Balanced,GA_Energy_Dominance,190000.0,9.422000,0.346147910,117755.411,206
1,Balanced,GA_Energy_Dominance,190000.0,9.490000,0.345417191,139993.993,206
1,Balanced,GA_Energy_Dominance,190000.0,9.636000,0.345099969,111344.314,206
1,Balanced,GA_Energy_Dominance,190000.0,9.656000,0.343643298,124312.376,206
1,Balanced,GA_Energy_Dominance,190000.0,9.746000,0.342916946,150442.763,206
1,Balanced,GA_Energy_Dominance,190000.0,9.750000,0.340538271,122597.717,206
1,Balanced,GA_Energy_Dominance,190000.0,9.776000,0.339271375,140103.952,206
1,Balanced,GA_Energy_Dominance,190000.0,9.780000,0.334076285,122675.401,206
1,Balanced,GA_Energy_Dominance,190000.0,9.804000,0.330029689,123962.661,206
1,Balanced,GA_Energy_Dominance,190000.0,9.846000,0.328737057,131946.095,206
1,Balanced,GA_Energy_Dominance,190000.0,9.966000,0.318481213,106681.432,206
1,Balanced,GA_Energy_Dominance,190000.0,10.158000,0.313668100,113382.177,206
1,Balanced,GA_Energy_Dominance,190000.0,10.168000,0.312403886,100895.437,206
1,Balanced,GA_Energy_Dominance,190000.0,10.316000,0.307905812,121511.100,206
1,Balanced,GA_Energy_Dominance,190000.0,10.334000,0.301794166,82836.391,203
