Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,ShortestQueue,207,12000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,207,10000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,207,8000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,208,20000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,208,15000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,208,12000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,208,10000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,208,8000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,209,20000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,209,15000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,209,12000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,209,10000.0,1,0,0.0000,257870.906
1,Balanced,ShortestQueue,209,8000.0,1,0,0.0000,257870.906
1,Balanced,WorkloadAware,200,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,200,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,200,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,200,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,200,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,201,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,201,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,201,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,201,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,201,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,202,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,202,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,202,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,202,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,202,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,203,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,203,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,203,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,203,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,203,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,204,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,204,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,204,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,204,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,204,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,205,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,205,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,205,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,205,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,205,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,206,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,206,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,206,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,206,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,206,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,207,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,207,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,207,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,207,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,207,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,208,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,208,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,208,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,208,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,208,8000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,209,20000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,209,15000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,209,12000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,209,10000.0,1,0,0.0000,198454.299
1,Balanced,WorkloadAware,209,8000.0,1,0,0.0000,198454.299
1,Balanced,EnergyAware,200,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,200,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,200,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,200,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,200,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,201,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,201,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,201,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,201,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,201,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,202,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,202,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,202,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,202,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,202,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,203,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,203,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,203,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,203,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,203,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,204,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,204,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,204,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,204,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,204,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,205,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,205,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,205,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,205,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,205,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,206,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,206,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,206,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,206,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,206,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,207,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,207,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,207,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,207,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,207,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,208,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,208,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,208,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,208,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,208,8000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,209,20000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,209,15000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,209,12000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,209,10000.0,1,0,0.0000,78925.309
1,Balanced,EnergyAware,209,8000.0,1,0,0.0000,78925.309
1,Balanced,RoundRobin,200,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,200,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,200,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,200,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,200,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,201,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,201,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,201,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,201,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,201,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,202,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,202,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,202,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,202,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,202,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,203,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,203,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,203,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,203,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,203,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,204,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,204,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,204,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,204,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,204,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,205,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,205,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,205,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,205,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,205,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,206,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,206,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,206,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,206,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,206,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,207,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,207,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,207,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,207,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,207,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,208,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,208,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,208,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,208,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,208,8000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,209,20000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,209,15000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,209,12000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,209,10000.0,1,0,0.0000,247986.891
1,Balanced,RoundRobin,209,8000.0,1,0,0.0000,247986.891
1,Balanced,GA_WaitingTime,200,20000.0,1,0,0.0000,227957.937
1,Balanced,GA_WaitingTime,200,15000.0,1,0,0.0000,227957.937
1,Balanced,GA_WaitingTime,200,12000.0,1,0,0.0000,227957.937
1,Balanced,GA_WaitingTime,200,10000.0,1,0,0.0000,227957.937
1,Balanced,GA_WaitingTime,200,8000.0,1,0,0.0000,227957.937
1,Balanced,GA_WaitingTime,201,20000.0,1,0,0.0000,255998.896
1,Balanced,GA_WaitingTime,201,15000.0,1,0,0.0000,255998.896
1,Balanced,GA_WaitingTime,201,12000.0,1,0,0.0000,255998.896
1,Balanced,GA_WaitingTime,201,10000.0,1,0,0.0000,255998.896
1,Balanced,GA_WaitingTime,201,8000.0,1,0,0.0000,255998.896
1,Balanced,GA_WaitingTime,202,20000.0,1,0,0.0000,261726.161
1,Balanced,GA_WaitingTime,202,15000.0,1,0,0.0000,261726.161
1,Balanced,GA_WaitingTime,202,12000.0,1,0,0.0000,261726.161
1,Balanced,GA_WaitingTime,202,10000.0,1,0,0.0000,261726.161
1,Balanced,GA_WaitingTime,202,8000.0,1,0,0.0000,261726.161
1,Balanced,GA_WaitingTime,203,20000.0,1,0,0.0000,241833.386
1,Balanced,GA_WaitingTime,203,15000.0,1,0,0.0000,241833.386
1,Balanced,GA_WaitingTime,203,12000.0,1,0,0.0000,241833.386
1,Balanced,GA_WaitingTime,203,10000.0,1,0,0.0000,241833.386
1,Balanced,GA_WaitingTime,203,8000.0,1,0,0.0000,241833.386
1,Balanced,GA_WaitingTime,204,20000.0,1,0,0.0000,250084.340
1,Balanced,GA_WaitingTime,204,15000.0,1,0,0.0000,250084.340
1,Balanced,GA_WaitingTime,204,12000.0,1,0,0.0000,250084.340
1,Balanced,GA_WaitingTime,204,10000.0,1,0,0.0000,250084.340
1,Balanced,GA_WaitingTime,204,8000.0,1,0,0.0000,250084.340
1,Balanced,GA_WaitingTime,205,20000.0,1,0,0.0000,245976.916
1,Balanced,GA_WaitingTime,205,15000.0,1,0,0.0000,245976.916
1,Balanced,GA_WaitingTime,205,12000.0,1,0,0.0000,245976.916
1,Balanced,GA_WaitingTime,205,10000.0,1,0,0.0000,245976.916
1,Balanced,GA_WaitingTime,205,8000.0,1,0,0.0000,245976.916
1,Balanced,GA_WaitingTime,206,20000.0,1,0,0.0000,238301.146
1,Balanced,GA_WaitingTime,206,15000.0,1,0,0.0000,238301.146
1,Balanced,GA_WaitingTime,206,12000.0,1,0,0.0000,238301.146
1,Balanced,GA_WaitingTime,206,10000.0,1,0,0.0000,238301.146
1,Balanced,GA_WaitingTime,206,8000.0,1,0,0.0000,238301.146
1,Balanced,GA_WaitingTime,207,20000.0,1,0,0.0000,264914.498
1,Balanced,GA_WaitingTime,207,15000.0,1,0,0.0000,264914.498
1,Balanced,GA_WaitingTime,207,12000.0,1,0,0.0000,264914.498
1,Balanced,GA_WaitingTime,207,10000.0,1,0,0.0000,264914.498
1,Balanced,GA_WaitingTime,207,8000.0,1,0,0.0000,264914.498
1,Balanced,GA_WaitingTime,208,20000.0,1,0,0.0000,262077.896
1,Balanced,GA_WaitingTime,208,15000.0,1,0,0.0000,262077.896
1,Balanced,GA_WaitingTime,208,12000.0,1,0,0.0000,262077.896
1,Balanced,GA_WaitingTime,208,10000.0,1,0,0.0000,262077.896
1,Balanced,GA_WaitingTime,208,8000.0,1,0,0.0000,262077.896
1,Balanced,GA_WaitingTime,209,20000.0,1,0,0.0000,243765.498
1,Balanced,GA_WaitingTime,209,15000.0,1,0,0.0000,243765.498
1,Balanced,GA_WaitingTime,209,12000.0,1,0,0.0000,243765.498
1,Balanced,GA_WaitingTime,209,10000.0,1,0,0.0000,243765.498
1,Balanced,GA_WaitingTime,209,8000.0,1,0,0.0000,243765.498
1,Balanced,GA_Energy,200,20000.0,1,0,0.0000,49830.794
1,Balanced,GA_Energy,200,15000.0,1,0,0.0000,49830.794
1,Balanced,GA_Energy,200,12000.0,1,0,0.0000,49830.794
1,Balanced,GA_Energy,200,10000.0,1,0,0.0000,49830.794
1,Balanced,GA_Energy,200,8000.0,1,0,0.0000,49830.794
1,Balanced,GA_Energy,201,20000.0,1,0,0.0000,41461.615
1,Balanced,GA_Energy,201,15000.0,1,0,0.0000,41461.615
1,Balanced,GA_Energy,201,12000.0,1,0,0.0000,41461.615
1,Balanced,GA_Energy,201,10000.0,1,0,0.0000,41461.615
1,Balanced,GA_Energy,201,8000.0,1,0,0.0000,41461.615
1,Balanced,GA_Energy,202,20000.0,1,0,0.0000,42724.605
1,Balanced,GA_Energy,202,15000.0,1,0,0.0000,42724.605
1,Balanced,GA_Energy,202,12000.0,1,0,0.0000,42724.605
