Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
AMOSA,202,0.365233,0.057218,0.336762,0.170378,14,14,0,5495
AMOSA,203,0.359889,0.063779,0.340511,0.163872,13,13,0,5524
AMOSA,204,0.362663,0.068693,0.339233,0.125335,18,18,0,5516
AMOSA,205,0.354046,0.061156,0.341906,0.218771,9,9,0,5466
AMOSA,206,0.374037,0.214736,0.341476,0.009618,32,32,0,5500
AMOSA,207,0.377073,0.079910,0.334916,0.115670,24,24,0,5424
AMOSA,208,0.406934,0.177334,0.330508,0.008246,55,55,0,5510
AMOSA,209,0.355804,0.048254,0.339545,0.144621,23,23,0,5538
AMOSA,MEAN,0.368165,0.089156,0.338022,0.126031,22,22,0,5490
AMOSA,STDDEV,0.014745,0.054996,0.003742,0.065208,,,,
Universal_Pareto,ALL,0.812953,0.000000,0.000000,0.000000,117,117,117,0
