Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best
1,Balanced,NSGA-II,208,0.483027,0.046368,0.139996,0.011552,44,0,5477,2.220000,0.056952094
1,Balanced,NSGA-II,209,0.359027,0.058707,0.313531,0.008989,49,0,5375,2.162000,0.060798570
1,Balanced,NSGA-II,MEAN,0.460907,0.039971,0.186281,0.018595,,20,5498,2.010000,0.056648641
1,Balanced,SPEA-II,200,0.481158,0.049599,0.154733,0.037623,52,0,6570,2.080000,0.057415353
1,Balanced,SPEA-II,201,0.452721,0.037102,0.205207,0.010394,35,1,6212,2.094000,0.058363759
1,Balanced,SPEA-II,202,0.456288,0.014964,0.286917,0.020995,19,3,6219,2.152000,0.058506069
1,Balanced,SPEA-II,203,0.426492,0.069539,0.197569,0.016763,45,4,6145,2.064000,0.058230223
1,Balanced,SPEA-II,204,0.378076,0.046712,0.300855,0.009098,38,1,6131,2.080000,0.060470017
1,Balanced,SPEA-II,205,0.438350,0.038423,0.258221,0.009089,37,0,6271,2.122000,0.058624514
1,Balanced,SPEA-II,206,0.436094,0.045534,0.200643,0.016419,32,2,6263,2.148000,0.058874294
1,Balanced,SPEA-II,207,0.457816,0.050305,0.170125,0.030809,34,0,6250,2.144000,0.057768468
1,Balanced,SPEA-II,208,0.490757,0.037566,0.130989,0.030154,38,0,6171,2.136000,0.056763308
1,Balanced,SPEA-II,209,0.431664,0.021760,0.246060,0.028729,24,4,6270,2.088000,0.059246420
1,Balanced,SPEA-II,MEAN,0.444942,0.041150,0.215132,0.021007,,15,6250,2.064000,0.056763308
1,Balanced,AMOSA,200,0.304101,0.162437,0.318812,0.010366,29,0,5981,2.168000,0.061332227
1,Balanced,AMOSA,201,0.290216,0.184799,0.321589,0.008969,39,0,5671,2.186000,0.061354162
1,Balanced,AMOSA,202,0.316004,0.138247,0.312235,0.011654,35,0,5736,2.106000,0.061223115
1,Balanced,AMOSA,203,0.297576,0.185677,0.317576,0.007364,44,0,5689,2.188000,0.061291724
1,Balanced,AMOSA,204,0.292045,0.161197,0.322001,0.007075,39,0,5722,2.172000,0.061367430
1,Balanced,AMOSA,205,0.293782,0.162896,0.320108,0.007811,35,0,5714,2.116000,0.061272535
1,Balanced,AMOSA,206,0.286774,0.177269,0.319274,0.007445,38,0,5682,2.164000,0.061243753
1,Balanced,AMOSA,207,0.299170,0.158754,0.320399,0.009049,34,0,5667,2.166000,0.061343644
1,Balanced,AMOSA,208,0.302140,0.184783,0.316099,0.007395,47,0,5722,2.196000,0.061224711
1,Balanced,AMOSA,209,0.302521,0.165179,0.316390,0.007685,47,0,5734,2.164000,0.061231196
1,Balanced,AMOSA,MEAN,0.298433,0.168124,0.318448,0.008481,,0,5731,2.106000,0.061223115
2,GPU_Stress,GA_WaitingTime_Dominance,200,0.232237,0.005631,0.459360,0.006325,14,0,3517,4.408000,0.085644926
2,GPU_Stress,GA_WaitingTime_Dominance,201,0.224382,0.006513,0.467066,0.033211,14,1,3528,4.536000,0.085856375
2,GPU_Stress,GA_WaitingTime_Dominance,202,0.234446,0.009426,0.455630,0.009946,16,0,3496,4.582000,0.085574809
2,GPU_Stress,GA_WaitingTime_Dominance,203,0.229114,0.007521,0.459475,0.008995,22,0,3521,4.596000,0.085720568
2,GPU_Stress,GA_WaitingTime_Dominance,204,0.232544,0.008776,0.461518,0.005591,21,1,3472,4.558000,0.085856375
2,GPU_Stress,GA_WaitingTime_Dominance,205,0.235956,0.002061,0.459105,0.003567,15,9,3420,4.482000,0.085556465
2,GPU_Stress,GA_WaitingTime_Dominance,206,0.246887,0.005659,0.445286,0.012006,18,0,3488,4.516000,0.085250592
2,GPU_Stress,GA_WaitingTime_Dominance,207,0.227820,0.006276,0.462048,0.007095,18,1,3436,4.440000,0.085767909
