Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,NSGA-II,207,0.529557,0.019002,0.253909,0.005250,41,0,6479,2.896000,0.055214503,
1,Balanced,NSGA-II,208,0.524666,0.015180,0.260758,0.004315,43,0,6418,2.958000,0.055322881,
1,Balanced,NSGA-II,209,0.520360,0.004256,0.272951,0.002913,43,21,6372,2.924000,0.055487391,
1,Balanced,NSGA-II,MEAN,0.544337,0.011462,0.252685,0.004040,,53,6561,2.832000,0.054138843,10
1,Balanced,SPEA-II,200,0.449896,0.016994,0.318118,0.001529,41,0,7126,2.698000,0.056907542,
1,Balanced,SPEA-II,201,0.423113,0.017848,0.331168,0.001254,47,0,6998,2.700000,0.057414416,
1,Balanced,SPEA-II,202,0.519627,0.016216,0.271765,0.005747,48,0,7131,2.756000,0.055456686,
1,Balanced,SPEA-II,203,0.318629,0.018115,0.410671,0.002471,29,0,6718,2.694000,0.059510545,
1,Balanced,SPEA-II,204,0.504875,0.001393,0.302249,0.003702,39,22,6846,2.670000,0.055871902,
1,Balanced,SPEA-II,205,0.545179,0.022061,0.245333,0.005376,55,0,7113,2.730000,0.054879529,
1,Balanced,SPEA-II,206,0.477399,0.008499,0.311402,0.002170,38,7,6939,2.706000,0.056394379,
1,Balanced,SPEA-II,207,0.476911,0.028113,0.283360,0.006762,41,0,6932,2.740000,0.056315091,
1,Balanced,SPEA-II,208,0.384195,0.021878,0.363376,0.002318,39,0,6877,2.718000,0.058195897,
1,Balanced,SPEA-II,209,0.468478,0.015704,0.303017,0.003359,46,3,6971,2.624000,0.056561360,
1,Balanced,SPEA-II,MEAN,0.456830,0.016682,0.314046,0.003469,,32,6965,2.624000,0.054879529,10
1,Balanced,AMOSA,200,0.371142,0.026439,0.355875,0.004379,49,0,5021,2.820000,0.058418212,
1,Balanced,AMOSA,201,0.355378,0.020239,0.361798,0.001916,59,0,4898,2.586000,0.058766537,
1,Balanced,AMOSA,202,0.334717,0.025049,0.381502,0.001596,43,0,3518,2.660000,0.059168417,
1,Balanced,AMOSA,203,0.366674,0.018585,0.372064,0.001725,50,0,3558,2.702000,0.058560042,
1,Balanced,AMOSA,204,0.382423,0.016516,0.365755,0.001678,47,0,3673,2.700000,0.058251439,
1,Balanced,AMOSA,205,0.369475,0.010469,0.361893,0.001833,38,0,3617,2.678000,0.058520673,
1,Balanced,AMOSA,206,0.379009,0.015755,0.361405,0.001430,42,0,3709,2.718000,0.058316885,
1,Balanced,AMOSA,207,0.389194,0.028420,0.347308,0.001305,54,0,3616,2.726000,0.058074190,
1,Balanced,AMOSA,208,0.361753,0.017236,0.374156,0.002227,43,0,3516,2.662000,0.058657543,
1,Balanced,AMOSA,209,0.365180,0.029323,0.357592,0.001643,56,0,3815,2.726000,0.058542772,
1,Balanced,AMOSA,MEAN,0.367495,0.020803,0.363935,0.001973,,0,3894,2.586000,0.058074190,10
2,GPU_Stress,GA_WaitingTime_Dominance,200,0.257384,0.034498,0.376033,0.003731,25,4,2566,5.024000,0.079061269,
2,GPU_Stress,GA_WaitingTime_Dominance,201,0.248180,0.034597,0.384355,0.002930,25,0,2439,5.034000,0.079240231,
2,GPU_Stress,GA_WaitingTime_Dominance,202,0.252262,0.026128,0.381407,0.003593,22,0,2424,5.142000,0.079167766,
2,GPU_Stress,GA_WaitingTime_Dominance,203,0.246361,0.027147,0.388471,0.003057,11,0,2662,5.104000,0.079294525,
2,GPU_Stress,GA_WaitingTime_Dominance,204,0.253838,0.005460,0.398431,0.004052,9,0,2513,5.100000,0.079173647,
2,GPU_Stress,GA_WaitingTime_Dominance,205,0.254691,0.028988,0.377810,0.001999,34,0,2469,5.128000,0.079110779,
2,GPU_Stress,GA_WaitingTime_Dominance,206,0.250031,0.027768,0.382548,0.002678,25,0,2457,5.036000,0.079207893,
2,GPU_Stress,GA_WaitingTime_Dominance,207,0.272292,0.000000,0.384046,0.007758,7,7,2394,5.086000,0.078837461,
2,GPU_Stress,GA_WaitingTime_Dominance,208,0.257378,0.028149,0.377540,0.003049,22,5,2433,5.046000,0.079087014,
2,GPU_Stress,GA_WaitingTime_Dominance,209,0.242497,0.027038,0.387893,0.002175,19,0,2469,5.056000,0.079347408,
2,GPU_Stress,GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.383854,0.003502,,16,2482,5.024000,0.078837461,10
2,GPU_Stress,GA_Energy_Dominance,200,0.582765,0.097909,0.175118,0.011842,46,2,3001,8.708000,0.068202838,
2,GPU_Stress,GA_Energy_Dominance,201,0.543162,0.144445,0.190244,0.007628,62,0,3017,9.356000,0.067019870,
2,GPU_Stress,GA_Energy_Dominance,202,0.587470,0.098771,0.172279,0.018362,47,11,2785,9.186000,0.066660547,
2,GPU_Stress,GA_Energy_Dominance,203,0.482257,0.184698,0.218470,0.018750,51,0,2868,9.558000,0.066427410,
2,GPU_Stress,GA_Energy_Dominance,204,0.564083,0.144389,0.185507,0.013941,53,0,2792,9.216000,0.066834084,
2,GPU_Stress,GA_Energy_Dominance,205,0.508098,0.104475,0.217650,0.004282,62,0,2400,8.732000,0.072765190,
2,GPU_Stress,GA_Energy_Dominance,206,0.545210,0.119833,0.187552,0.005411,79,9,2945,9.008000,0.065841906,
2,GPU_Stress,GA_Energy_Dominance,207,0.597610,0.100104,0.170358,0.008643,62,5,2644,8.658000,0.068309299,
2,GPU_Stress,GA_Energy_Dominance,208,0.558242,0.103484,0.192925,0.005648,47,2,2501,8.662000,0.069960580,
2,GPU_Stress,GA_Energy_Dominance,209,0.553928,0.129111,0.195491,0.023617,48,0,2733,9.514000,0.069210424,
2,GPU_Stress,GA_Energy_Dominance,MEAN,0.552283,0.122722,0.190559,0.011812,,29,2768,8.658000,0.065841906,10
2,GPU_Stress,SA_WaitingTime_Dominance,200,0.263742,0.054252,0.373629,0.004313,16,0,1492,4.562000,0.079323864,
2,GPU_Stress,SA_WaitingTime_Dominance,201,0.251297,0.053833,0.375602,0.002484,21,0,1492,4.508000,0.079293563,
2,GPU_Stress,SA_WaitingTime_Dominance,202,0.242469,0.037436,0.379021,0.001167,14,0,1496,4.540000,0.079302811,
2,GPU_Stress,SA_WaitingTime_Dominance,203,0.279134,0.037948,0.367362,0.004854,10,0,1486,4.582000,0.079323864,
2,GPU_Stress,SA_WaitingTime_Dominance,204,0.234324,0.009323,0.382502,0.003520,12,10,1480,4.496000,0.079302212,
2,GPU_Stress,SA_WaitingTime_Dominance,205,0.333812,0.076084,0.348931,0.004308,28,0,1519,4.736000,0.079310216,
2,GPU_Stress,SA_WaitingTime_Dominance,206,0.231070,0.030773,0.383428,0.020090,8,0,1899,4.550000,0.079297765,
2,GPU_Stress,SA_WaitingTime_Dominance,207,0.290640,0.046786,0.362359,0.001574,15,0,2169,4.636000,0.079238665,
2,GPU_Stress,SA_WaitingTime_Dominance,208,0.259137,0.045207,0.373538,0.006134,13,0,2093,4.528000,0.079315994,
2,GPU_Stress,SA_WaitingTime_Dominance,209,0.264442,0.045851,0.369213,0.004354,14,0,2150,4.546000,0.079203431,
2,GPU_Stress,SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.371558,0.005280,,10,1727,4.496000,0.079203431,10
2,GPU_Stress,SA_Energy_Dominance,200,0.538967,0.201600,0.214326,0.002537,54,4,2340,8.748000,0.069533727,
2,GPU_Stress,SA_Energy_Dominance,201,0.520855,0.170471,0.208879,0.003379,35,0,2191,9.084000,0.069021479,
2,GPU_Stress,SA_Energy_Dominance,202,0.541281,0.196356,0.209106,0.003991,78,4,2216,9.072000,0.069222367,
2,GPU_Stress,SA_Energy_Dominance,203,0.521743,0.196186,0.211616,0.007068,37,3,2499,9.298000,0.068900050,
2,GPU_Stress,SA_Energy_Dominance,204,0.514808,0.232810,0.225842,0.002718,43,0,2216,9.376000,0.070198626,
2,GPU_Stress,SA_Energy_Dominance,205,0.508017,0.166656,0.219190,0.007793,37,0,2211,8.940000,0.070090305,
2,GPU_Stress,SA_Energy_Dominance,206,0.513227,0.213227,0.224430,0.004872,43,0,2215,8.914000,0.070396152,
2,GPU_Stress,SA_Energy_Dominance,207,0.510989,0.196634,0.225861,0.009487,51,0,2302,9.154000,0.070639939,
2,GPU_Stress,SA_Energy_Dominance,208,0.534161,0.183312,0.208496,0.004285,67,0,2233,9.040000,0.069606332,
2,GPU_Stress,SA_Energy_Dominance,209,0.559444,0.170485,0.220561,0.004711,45,4,2193,9.064000,0.069623489,
2,GPU_Stress,SA_Energy_Dominance,MEAN,0.526349,0.192774,0.216831,0.005084,,15,2261,8.748000,0.068900050,10
2,GPU_Stress,NSGA-II,200,0.499062,0.023724,0.218503,0.003877,46,0,6226,6.442000,0.074133774,
2,GPU_Stress,NSGA-II,201,0.556628,0.023189,0.172942,0.002164,48,0,6323,6.566000,0.072842347,
2,GPU_Stress,NSGA-II,202,0.522700,0.040361,0.198911,0.004999,48,0,6247,6.656000,0.073476614,
2,GPU_Stress,NSGA-II,203,0.511396,0.023598,0.205394,0.004023,44,0,6003,6.432000,0.073876164,
2,GPU_Stress,NSGA-II,204,0.558283,0.017543,0.171168,0.004580,52,3,6327,6.664000,0.072836864,
2,GPU_Stress,NSGA-II,205,0.580600,0.009672,0.168678,0.002832,50,30,6356,6.480000,0.072414724,
2,GPU_Stress,NSGA-II,206,0.541385,0.033241,0.177824,0.002894,59,0,6244,6.148000,0.073236277,
2,GPU_Stress,NSGA-II,207,0.536698,0.030015,0.192251,0.002878,51,0,6085,6.522000,0.073259557,
2,GPU_Stress,NSGA-II,208,0.471246,0.017983,0.237597,0.002891,38,0,6088,6.326000,0.074752831,
2,GPU_Stress,NSGA-II,209,0.537493,0.028698,0.188266,0.003062,42,0,6349,6.524000,0.073258693,
2,GPU_Stress,NSGA-II,MEAN,0.531549,0.024802,0.193153,0.003420,,33,6224,6.148000,0.072414724,10
2,GPU_Stress,SPEA-II,200,0.499043,0.027627,0.230868,0.003365,40,0,7064,6.230000,0.074156252,
2,GPU_Stress,SPEA-II,201,0.453730,0.029291,0.246421,0.003463,37,0,6750,6.190000,0.075095414,
2,GPU_Stress,SPEA-II,202,0.434344,0.000000,0.274167,0.003747,31,31,6098,5.814000,0.075651158,
2,GPU_Stress,SPEA-II,203,0.450083,0.045846,0.241508,0.001952,34,0,5418,6.376000,0.075066942,
2,GPU_Stress,SPEA-II,204,0.443597,0.033931,0.250460,0.002480,30,0,6549,6.258000,0.075271711,
2,GPU_Stress,SPEA-II,205,0.509164,0.026246,0.211125,0.003091,47,0,6585,6.076000,0.073999865,
2,GPU_Stress,SPEA-II,206,0.538281,0.020522,0.201213,0.003274,41,0,6976,6.240000,0.073368180,
2,GPU_Stress,SPEA-II,207,0.416038,0.015168,0.280617,0.001350,34,0,6262,6.064000,0.075922546,
2,GPU_Stress,SPEA-II,208,0.505732,0.035093,0.208547,0.002218,45,0,6523,6.350000,0.073962419,
2,GPU_Stress,SPEA-II,209,0.487349,0.010364,0.229886,0.003714,36,13,6940,6.270000,0.074451641,
2,GPU_Stress,SPEA-II,MEAN,0.473736,0.024409,0.237481,0.002865,,44,6516,5.814000,0.073368180,10
2,GPU_Stress,AMOSA,200,0.400540,0.033493,0.271714,0.001860,40,0,5564,6.232000,0.076148526,
2,GPU_Stress,AMOSA,201,0.365886,0.022175,0.310481,0.001235,30,0,5413,6.036000,0.076888913,
2,GPU_Stress,AMOSA,202,0.359048,0.024233,0.309715,0.002324,34,0,5260,6.056000,0.077010745,
2,GPU_Stress,AMOSA,203,0.398355,0.017741,0.286875,0.002013,27,0,5340,6.110000,0.076251184,
2,GPU_Stress,AMOSA,204,0.378966,0.023712,0.296847,0.001156,37,0,5213,6.052000,0.076629931,
2,GPU_Stress,AMOSA,205,0.409335,0.023817,0.269512,0.001016,38,0,5046,6.266000,0.075985131,
2,GPU_Stress,AMOSA,206,0.451398,0.007385,0.260241,0.003640,28,2,5540,6.080000,0.075235189,
2,GPU_Stress,AMOSA,207,0.361771,0.034376,0.303374,0.001309,34,0,5432,6.260000,0.076900137,
2,GPU_Stress,AMOSA,208,0.394493,0.028721,0.278900,0.002380,35,0,5419,6.234000,0.076279980,
2,GPU_Stress,AMOSA,209,0.399952,0.025128,0.284361,0.001176,36,0,5310,6.276000,0.076170276,
2,GPU_Stress,AMOSA,MEAN,0.391974,0.024078,0.287202,0.001811,,2,5353,6.036000,0.075235189,10
3,CPU_Stress,GA_WaitingTime_Dominance,200,0.169225,0.023997,0.525503,0.007847,22,0,3096,1.444000,0.044579944,
3,CPU_Stress,GA_WaitingTime_Dominance,201,0.134802,0.026796,0.537666,0.017927,13,0,2336,1.426000,0.044908862,
3,CPU_Stress,GA_WaitingTime_Dominance,202,0.169653,0.045940,0.511783,0.011100,9,2,2202,1.434000,0.044263780,
3,CPU_Stress,GA_WaitingTime_Dominance,203,0.146528,0.009675,0.549064,0.027882,6,3,2192,1.440000,0.044718838,
3,CPU_Stress,GA_WaitingTime_Dominance,204,0.133093,0.019744,0.544846,0.024728,18,0,2146,1.438000,0.044922641,
3,CPU_Stress,GA_WaitingTime_Dominance,205,0.140104,0.013658,0.546821,0.028455,11,0,2094,1.418000,0.044820301,
3,CPU_Stress,GA_WaitingTime_Dominance,206,0.156245,0.030637,0.527547,0.009079,21,0,2104,1.426000,0.044475040,
3,CPU_Stress,GA_WaitingTime_Dominance,207,0.159480,0.042897,0.519686,0.013819,9,0,2101,1.448000,0.044402017,
3,CPU_Stress,GA_WaitingTime_Dominance,208,0.142010,0.026705,0.534380,0.007591,25,0,2076,1.434000,0.044744432,
3,CPU_Stress,GA_WaitingTime_Dominance,209,0.144959,0.033079,0.538562,0.016122,9,0,2066,1.466000,0.044688685,
3,CPU_Stress,GA_WaitingTime_Dominance,MEAN,0.149610,0.027313,0.533586,0.016455,,5,2241,1.418000,0.044263780,10
3,CPU_Stress,GA_Energy_Dominance,200,0.682747,0.054013,0.066966,0.005947,100,1,2752,3.040000,0.030357896,
3,CPU_Stress,GA_Energy_Dominance,201,0.670538,0.059386,0.076042,0.005638,88,5,3816,3.082000,0.030689968,
3,CPU_Stress,GA_Energy_Dominance,202,0.683621,0.038215,0.072834,0.008931,88,14,4041,2.980000,0.031613113,
3,CPU_Stress,GA_Energy_Dominance,203,0.670980,0.054261,0.074295,0.010644,89,0,4147,3.128000,0.030262372,
3,CPU_Stress,GA_Energy_Dominance,204,0.689659,0.037177,0.066356,0.007364,93,15,4164,2.984000,0.029984423,
3,CPU_Stress,GA_Energy_Dominance,205,0.658461,0.067182,0.080462,0.010654,85,0,3950,3.178000,0.030471607,
3,CPU_Stress,GA_Energy_Dominance,206,0.631757,0.096571,0.097341,0.010265,91,0,4100,3.102000,0.030978648,
3,CPU_Stress,GA_Energy_Dominance,207,0.700884,0.033955,0.060937,0.005593,97,23,4037,3.204000,0.029842658,
3,CPU_Stress,GA_Energy_Dominance,208,0.685046,0.040020,0.073744,0.004696,92,1,4406,3.204000,0.031050099,
3,CPU_Stress,GA_Energy_Dominance,209,0.680814,0.045789,0.074935,0.007527,76,21,3911,3.150000,0.031020090,
3,CPU_Stress,GA_Energy_Dominance,MEAN,0.675451,0.052657,0.074391,0.007726,,80,3932,2.980000,0.029842658,10
3,CPU_Stress,SA_WaitingTime_Dominance,200,0.096505,0.009663,0.597633,0.002117,26,0,1809,1.306000,0.045616334,
3,CPU_Stress,SA_WaitingTime_Dominance,201,0.131253,0.017622,0.561903,0.003730,24,0,1783,1.306000,0.044982966,
3,CPU_Stress,SA_WaitingTime_Dominance,202,0.096711,0.009302,0.597983,0.006152,15,0,1780,1.312000,0.045604117,
3,CPU_Stress,SA_WaitingTime_Dominance,203,0.144717,0.010587,0.557088,0.001228,15,9,1839,1.310000,0.044761734,
3,CPU_Stress,SA_WaitingTime_Dominance,204,0.101700,0.012392,0.590132,0.002058,28,0,1895,1.298000,0.045517536,
