Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance,200,0.257384,0.034498,0.376033,0.003731,25,25,4,2566,0.417773,
GA_WaitingTime_Dominance,201,0.248180,0.034597,0.384355,0.002930,25,25,0,2439,0.410474,
GA_WaitingTime_Dominance,202,0.252262,0.026128,0.381407,0.003593,22,22,0,2424,0.412942,
GA_WaitingTime_Dominance,203,0.246361,0.027147,0.388471,0.003057,11,11,0,2662,0.408508,
GA_WaitingTime_Dominance,204,0.253838,0.005460,0.398431,0.004052,9,9,0,2513,0.414314,
GA_WaitingTime_Dominance,205,0.254691,0.028988,0.377810,0.001999,34,34,0,2469,0.414982,
GA_WaitingTime_Dominance,206,0.250031,0.027768,0.382548,0.002678,25,25,0,2457,0.411901,
GA_WaitingTime_Dominance,207,0.272292,0.000000,0.384046,0.007758,7,7,7,2394,0.428818,
GA_WaitingTime_Dominance,208,0.257378,0.028149,0.377540,0.003049,22,22,5,2433,0.417522,
GA_WaitingTime_Dominance,209,0.242497,0.027038,0.387893,0.002175,19,19,0,2469,0.405876,
GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.383854,0.003502,20,20,16,2482,0.414311,10
GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006290,0.001546,,,,,0.006003,
GA_Energy_Dominance,200,0.582765,0.097909,0.175118,0.011842,46,46,2,3001,0.667011,
GA_Energy_Dominance,201,0.543162,0.144445,0.190244,0.007628,62,62,0,3017,0.639313,
GA_Energy_Dominance,202,0.587470,0.098771,0.172279,0.018362,47,47,11,2785,0.673273,
GA_Energy_Dominance,203,0.482257,0.184698,0.218470,0.018750,51,51,0,2868,0.597123,
GA_Energy_Dominance,204,0.564083,0.144389,0.185507,0.013941,53,54,0,2792,0.655806,
GA_Energy_Dominance,205,0.508098,0.104475,0.217650,0.004282,62,62,0,2400,0.595919,
GA_Energy_Dominance,206,0.545210,0.119833,0.187552,0.005411,79,79,9,2945,0.647705,
GA_Energy_Dominance,207,0.597610,0.100104,0.170358,0.008643,62,62,5,2644,0.677450,
