CapTier,Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
Uncapped,GA_WaitingTime_Dominance,200,148,0.792394,0,0.000000
Uncapped,GA_WaitingTime_Dominance,201,139,0.788792,10,7.194245
Uncapped,GA_WaitingTime_Dominance,202,143,0.783756,5,3.496503
Uncapped,GA_WaitingTime_Dominance,203,144,0.788013,4,2.777778
Uncapped,GA_WaitingTime_Dominance,204,160,0.800938,5,3.125000
Uncapped,GA_WaitingTime_Dominance,205,134,0.773132,10,7.462687
Uncapped,GA_WaitingTime_Dominance,206,138,0.763373,6,4.347826
Uncapped,GA_WaitingTime_Dominance,207,149,0.802861,6,4.026846
Uncapped,GA_WaitingTime_Dominance,208,143,0.788745,1,0.699301
Uncapped,GA_WaitingTime_Dominance,209,121,0.787495,6,4.958678
Uncapped,GA_WaitingTime_Dominance,MEAN,,,5.300000,3.808886
Uncapped,GA_WaitingTime_Dominance,STDDEV,,,3.067572,2.286405
Uncapped,GA_Energy_Dominance,200,148,0.792394,64,43.243243
Uncapped,GA_Energy_Dominance,201,139,0.788792,52,37.410072
Uncapped,GA_Energy_Dominance,202,143,0.783756,57,39.860140
Uncapped,GA_Energy_Dominance,203,144,0.788013,58,40.277778
Uncapped,GA_Energy_Dominance,204,160,0.800938,67,41.875000
Uncapped,GA_Energy_Dominance,205,134,0.773132,56,41.791045
Uncapped,GA_Energy_Dominance,206,138,0.763373,45,32.608696
Uncapped,GA_Energy_Dominance,207,149,0.802861,71,47.651007
Uncapped,GA_Energy_Dominance,208,143,0.788745,67,46.853147
Uncapped,GA_Energy_Dominance,209,121,0.787495,48,39.669421
Uncapped,GA_Energy_Dominance,MEAN,,,58.500000,41.123955
Uncapped,GA_Energy_Dominance,STDDEV,,,8.212795,4.143163
Uncapped,SA_WaitingTime_Dominance,200,148,0.792394,22,14.864865
Uncapped,SA_WaitingTime_Dominance,201,139,0.788792,10,7.194245
Uncapped,SA_WaitingTime_Dominance,202,143,0.783756,10,6.993007
Uncapped,SA_WaitingTime_Dominance,203,144,0.788013,9,6.250000
Uncapped,SA_WaitingTime_Dominance,204,160,0.800938,18,11.250000
Uncapped,SA_WaitingTime_Dominance,205,134,0.773132,5,3.731343
Uncapped,SA_WaitingTime_Dominance,206,138,0.763373,23,16.666667
Uncapped,SA_WaitingTime_Dominance,207,149,0.802861,9,6.040268
Uncapped,SA_WaitingTime_Dominance,208,143,0.788745,17,11.888112
Uncapped,SA_WaitingTime_Dominance,209,121,0.787495,10,8.264463
Uncapped,SA_WaitingTime_Dominance,MEAN,,,13.300000,9.314297
Uncapped,SA_WaitingTime_Dominance,STDDEV,,,5.866004,3.968644
Uncapped,SA_Energy_Dominance,200,148,0.792394,5,3.378378
Uncapped,SA_Energy_Dominance,201,139,0.788792,5,3.597122
Uncapped,SA_Energy_Dominance,202,143,0.783756,0,0.000000
Uncapped,SA_Energy_Dominance,203,144,0.788013,11,7.638889
Uncapped,SA_Energy_Dominance,204,160,0.800938,0,0.000000
Uncapped,SA_Energy_Dominance,205,134,0.773132,2,1.492537
Uncapped,SA_Energy_Dominance,206,138,0.763373,4,2.898551
Uncapped,SA_Energy_Dominance,207,149,0.802861,3,2.013423
Uncapped,SA_Energy_Dominance,208,143,0.788745,0,0.000000
Uncapped,SA_Energy_Dominance,209,121,0.787495,3,2.479339
Uncapped,SA_Energy_Dominance,MEAN,,,3.300000,2.349824
Uncapped,SA_Energy_Dominance,STDDEV,,,3.163858,2.198156
Uncapped,NSGA-II,200,148,0.792394,31,20.945946
Uncapped,NSGA-II,201,139,0.788792,46,33.093525
Uncapped,NSGA-II,202,143,0.783756,29,20.279720
Uncapped,NSGA-II,203,144,0.788013,39,27.083333
Uncapped,NSGA-II,204,160,0.800938,33,20.625000
Uncapped,NSGA-II,205,134,0.773132,41,30.597015
Uncapped,NSGA-II,206,138,0.763373,36,26.086957
Uncapped,NSGA-II,207,149,0.802861,24,16.107383
Uncapped,NSGA-II,208,143,0.788745,32,22.377622
Uncapped,NSGA-II,209,121,0.787495,29,23.966942
Uncapped,NSGA-II,MEAN,,,34.000000,24.116344
Uncapped,NSGA-II,STDDEV,,,6.212890,4.893105
Uncapped,SPEA-II,200,148,0.792394,17,11.486486
Uncapped,SPEA-II,201,139,0.788792,11,7.913669
Uncapped,SPEA-II,202,143,0.783756,42,29.370629
Uncapped,SPEA-II,203,144,0.788013,17,11.805556
Uncapped,SPEA-II,204,160,0.800938,29,18.125000
Uncapped,SPEA-II,205,134,0.773132,12,8.955224
Uncapped,SPEA-II,206,138,0.763373,11,7.971014
Uncapped,SPEA-II,207,149,0.802861,35,23.489933
Uncapped,SPEA-II,208,143,0.788745,26,18.181818
Uncapped,SPEA-II,209,121,0.787495,18,14.876033
Uncapped,SPEA-II,MEAN,,,21.800000,15.217536
Uncapped,SPEA-II,STDDEV,,,10.205881,6.758232
Uncapped,AMOSA,200,148,0.792394,12,8.108108
Uncapped,AMOSA,201,139,0.788792,6,4.316547
Uncapped,AMOSA,202,143,0.783756,3,2.097902
Uncapped,AMOSA,203,144,0.788013,10,6.944444
Uncapped,AMOSA,204,160,0.800938,11,6.875000
Uncapped,AMOSA,205,134,0.773132,9,6.716418
Uncapped,AMOSA,206,138,0.763373,15,10.869565
Uncapped,AMOSA,207,149,0.802861,1,0.671141
Uncapped,AMOSA,208,143,0.788745,0,0.000000
Uncapped,AMOSA,209,121,0.787495,7,5.785124
Uncapped,AMOSA,MEAN,,,7.400000,5.238425
Uncapped,AMOSA,STDDEV,,,4.673329,3.271559
Uncapped,Universal_Pareto,MEAN,141.900000,0.786950,,
Uncapped,Universal_Pareto,STDDEV,9.720597,0.011151,,
PC90,GA_WaitingTime_Dominance,200,165,0.798386,0,0.000000
PC90,GA_WaitingTime_Dominance,201,165,0.805242,0,0.000000
PC90,GA_WaitingTime_Dominance,202,125,0.778084,1,0.800000
PC90,GA_WaitingTime_Dominance,203,160,0.805988,0,0.000000
PC90,GA_WaitingTime_Dominance,204,152,0.788750,5,3.289474
PC90,GA_WaitingTime_Dominance,205,161,0.807223,5,3.105590
PC90,GA_WaitingTime_Dominance,206,143,0.781488,7,4.895105
PC90,GA_WaitingTime_Dominance,207,157,0.806112,3,1.910828
PC90,GA_WaitingTime_Dominance,208,140,0.800971,0,0.000000
PC90,GA_WaitingTime_Dominance,209,147,0.797509,7,4.761905
PC90,GA_WaitingTime_Dominance,MEAN,,,2.800000,1.876290
PC90,GA_WaitingTime_Dominance,STDDEV,,,2.821347,1.902360
PC90,GA_Energy_Dominance,200,165,0.798386,60,36.363636
PC90,GA_Energy_Dominance,201,165,0.805242,57,34.545455
PC90,GA_Energy_Dominance,202,125,0.778084,38,30.400000
PC90,GA_Energy_Dominance,203,160,0.805988,49,30.625000
PC90,GA_Energy_Dominance,204,152,0.788750,44,28.947368
PC90,GA_Energy_Dominance,205,161,0.807223,60,37.267081
PC90,GA_Energy_Dominance,206,143,0.781488,48,33.566434
PC90,GA_Energy_Dominance,207,157,0.806112,65,41.401274
PC90,GA_Energy_Dominance,208,140,0.800971,52,37.142857
PC90,GA_Energy_Dominance,209,147,0.797509,59,40.136054
PC90,GA_Energy_Dominance,MEAN,,,53.200000,35.039516
PC90,GA_Energy_Dominance,STDDEV,,,8.009994,3.976524
PC90,SA_WaitingTime_Dominance,200,165,0.798386,15,9.090909
PC90,SA_WaitingTime_Dominance,201,165,0.805242,25,15.151515
PC90,SA_WaitingTime_Dominance,202,125,0.778084,10,8.000000
PC90,SA_WaitingTime_Dominance,203,160,0.805988,20,12.500000
PC90,SA_WaitingTime_Dominance,204,152,0.788750,13,8.552632
PC90,SA_WaitingTime_Dominance,205,161,0.807223,12,7.453416
PC90,SA_WaitingTime_Dominance,206,143,0.781488,8,5.594406
PC90,SA_WaitingTime_Dominance,207,157,0.806112,19,12.101911
PC90,SA_WaitingTime_Dominance,208,140,0.800971,6,4.285714
PC90,SA_WaitingTime_Dominance,209,147,0.797509,8,5.442177
PC90,SA_WaitingTime_Dominance,MEAN,,,13.600000,8.817268
PC90,SA_WaitingTime_Dominance,STDDEV,,,5.817216,3.308475
PC90,SA_Energy_Dominance,200,165,0.798386,3,1.818182
PC90,SA_Energy_Dominance,201,165,0.805242,4,2.424242
PC90,SA_Energy_Dominance,202,125,0.778084,5,4.000000
PC90,SA_Energy_Dominance,203,160,0.805988,4,2.500000
PC90,SA_Energy_Dominance,204,152,0.788750,4,2.631579
PC90,SA_Energy_Dominance,205,161,0.807223,2,1.242236
PC90,SA_Energy_Dominance,206,143,0.781488,3,2.097902
PC90,SA_Energy_Dominance,207,157,0.806112,0,0.000000
PC90,SA_Energy_Dominance,208,140,0.800971,5,3.571429
PC90,SA_Energy_Dominance,209,147,0.797509,4,2.721088
PC90,SA_Energy_Dominance,MEAN,,,3.400000,2.300666
PC90,SA_Energy_Dominance,STDDEV,,,1.428286,1.073829
PC90,NSGA-II,200,165,0.798386,42,25.454545
PC90,NSGA-II,201,165,0.805242,40,24.242424
PC90,NSGA-II,202,125,0.778084,24,19.200000
PC90,NSGA-II,203,160,0.805988,15,9.375000
PC90,NSGA-II,204,152,0.788750,63,41.447368
PC90,NSGA-II,205,161,0.807223,21,13.043478
PC90,NSGA-II,206,143,0.781488,51,35.664336
