CapTier,Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
Uncapped,GA_WaitingTime_Dominance,200,147,0.801296,10,6.802721
Uncapped,GA_WaitingTime_Dominance,201,146,0.803023,8,5.479452
Uncapped,GA_WaitingTime_Dominance,202,144,0.786865,12,8.333333
Uncapped,GA_WaitingTime_Dominance,203,155,0.783859,15,9.677419
Uncapped,GA_WaitingTime_Dominance,204,129,0.778477,7,5.426357
Uncapped,GA_WaitingTime_Dominance,205,122,0.685505,8,6.557377
Uncapped,GA_WaitingTime_Dominance,206,123,0.765799,8,6.504065
Uncapped,GA_WaitingTime_Dominance,207,121,0.776010,9,7.438017
Uncapped,GA_WaitingTime_Dominance,208,141,0.759802,6,4.255319
Uncapped,GA_WaitingTime_Dominance,209,146,0.777278,9,6.164384
Uncapped,GA_WaitingTime_Dominance,MEAN,,,9.200000,6.663844
Uncapped,GA_WaitingTime_Dominance,STDDEV,,,2.481935,1.466593
Uncapped,GA_Energy_Dominance,200,147,0.801296,52,35.374150
Uncapped,GA_Energy_Dominance,201,146,0.803023,55,37.671233
Uncapped,GA_Energy_Dominance,202,144,0.786865,60,41.666667
Uncapped,GA_Energy_Dominance,203,155,0.783859,61,39.354839
Uncapped,GA_Energy_Dominance,204,129,0.778477,53,41.085271
Uncapped,GA_Energy_Dominance,205,122,0.685505,26,21.311475
Uncapped,GA_Energy_Dominance,206,123,0.765799,39,31.707317
Uncapped,GA_Energy_Dominance,207,121,0.776010,35,28.925620
Uncapped,GA_Energy_Dominance,208,141,0.759802,62,43.971631
Uncapped,GA_Energy_Dominance,209,146,0.777278,59,40.410959
Uncapped,GA_Energy_Dominance,MEAN,,,50.200000,36.147916
Uncapped,GA_Energy_Dominance,STDDEV,,,11.855800,6.628892
Uncapped,SA_WaitingTime_Dominance,200,147,0.801296,9,6.122449
Uncapped,SA_WaitingTime_Dominance,201,146,0.803023,6,4.109589
Uncapped,SA_WaitingTime_Dominance,202,144,0.786865,8,5.555556
Uncapped,SA_WaitingTime_Dominance,203,155,0.783859,8,5.161290
Uncapped,SA_WaitingTime_Dominance,204,129,0.778477,13,10.077519
Uncapped,SA_WaitingTime_Dominance,205,122,0.685505,12,9.836066
Uncapped,SA_WaitingTime_Dominance,206,123,0.765799,8,6.504065
Uncapped,SA_WaitingTime_Dominance,207,121,0.776010,18,14.876033
Uncapped,SA_WaitingTime_Dominance,208,141,0.759802,10,7.092199
Uncapped,SA_WaitingTime_Dominance,209,146,0.777278,5,3.424658
Uncapped,SA_WaitingTime_Dominance,MEAN,,,9.700000,7.275942
Uncapped,SA_WaitingTime_Dominance,STDDEV,,,3.606938,3.262119
Uncapped,SA_Energy_Dominance,200,147,0.801296,0,0.000000
Uncapped,SA_Energy_Dominance,201,146,0.803023,5,3.424658
Uncapped,SA_Energy_Dominance,202,144,0.786865,4,2.777778
Uncapped,SA_Energy_Dominance,203,155,0.783859,5,3.225806
Uncapped,SA_Energy_Dominance,204,129,0.778477,5,3.875969
Uncapped,SA_Energy_Dominance,205,122,0.685505,8,6.557377
Uncapped,SA_Energy_Dominance,206,123,0.765799,5,4.065041
Uncapped,SA_Energy_Dominance,207,121,0.776010,10,8.264463
Uncapped,SA_Energy_Dominance,208,141,0.759802,0,0.000000
Uncapped,SA_Energy_Dominance,209,146,0.777278,29,19.863014
Uncapped,SA_Energy_Dominance,MEAN,,,7.100000,5.205410
Uncapped,SA_Energy_Dominance,STDDEV,,,7.854298,5.443112
