Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_WaitingTime_Dominance,200,0.142155,0.003825,0.520261,0.004888,11,5,6215,2.034000,0.062984048,
1,Balanced,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.532658,0.002200,8,0,4546,2.070000,0.063186210,
1,Balanced,GA_WaitingTime_Dominance,202,0.141879,0.004632,0.521596,0.002887,12,0,4248,2.054000,0.062987047,
1,Balanced,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.524075,0.001901,15,0,4331,2.102000,0.063071110,
1,Balanced,GA_WaitingTime_Dominance,204,0.154396,0.002185,0.514691,0.004604,7,4,4051,2.060000,0.062751894,
1,Balanced,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.519462,0.001878,8,2,4132,2.048000,0.062784192,
1,Balanced,GA_WaitingTime_Dominance,206,0.124352,0.017769,0.526158,0.013952,9,0,3966,2.046000,0.063314733,
1,Balanced,GA_WaitingTime_Dominance,207,0.133832,0.017346,0.521279,0.002632,14,0,4157,2.040000,0.063133772,
1,Balanced,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.527661,0.001925,6,0,4033,2.094000,0.062974361,
1,Balanced,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.525613,0.001776,9,0,4233,2.082000,0.062951770,
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.140389,0.006552,0.523346,0.003864,,11,4391,2.034000,0.062751894,10
1,Balanced,GA_Energy_Dominance,200,0.670386,0.048056,0.086620,0.007008,81,8,5791,4.386000,0.047749904,
1,Balanced,GA_Energy_Dominance,201,0.663752,0.050790,0.089757,0.007900,84,14,6309,4.246000,0.047668823,
1,Balanced,GA_Energy_Dominance,202,0.660903,0.046850,0.098570,0.008122,91,3,5685,4.372000,0.048578448,
1,Balanced,GA_Energy_Dominance,203,0.631744,0.071996,0.110297,0.006291,90,14,5795,4.606000,0.046981777,
1,Balanced,GA_Energy_Dominance,204,0.659463,0.053273,0.093838,0.010147,86,0,5467,4.412000,0.048884587,
1,Balanced,GA_Energy_Dominance,205,0.574173,0.079374,0.168474,0.015186,90,10,5072,4.236000,0.052799077,
1,Balanced,GA_Energy_Dominance,206,0.639703,0.071182,0.114348,0.005822,88,0,5418,4.220000,0.049510916,
1,Balanced,GA_Energy_Dominance,207,0.621824,0.084914,0.110658,0.008924,75,2,5881,4.192000,0.047260939,
1,Balanced,GA_Energy_Dominance,208,0.659955,0.054482,0.093981,0.006079,104,5,5332,4.166000,0.049962177,
1,Balanced,GA_Energy_Dominance,209,0.638501,0.075558,0.108630,0.006808,105,0,6178,4.526000,0.047435093,
1,Balanced,GA_Energy_Dominance,MEAN,0.642040,0.063648,0.107517,0.008229,,56,5692,4.166000,0.046981777,10
1,Balanced,SA_WaitingTime_Dominance,200,0.111274,0.021724,0.534136,0.008665,16,0,2335,1.840000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance,201,0.114541,0.027414,0.528984,0.003509,28,0,2424,1.862000,0.063442500,
1,Balanced,SA_WaitingTime_Dominance,202,0.106507,0.028462,0.536149,0.002841,20,6,2350,1.838000,0.063602724,
1,Balanced,SA_WaitingTime_Dominance,203,0.109426,0.019463,0.535813,0.002238,19,8,2298,1.926000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance,204,0.116659,0.024241,0.530940,0.001654,30,0,2333,1.838000,0.063565358,
1,Balanced,SA_WaitingTime_Dominance,205,0.113478,0.015808,0.532773,0.001626,34,0,2445,1.908000,0.063567351,
1,Balanced,SA_WaitingTime_Dominance,206,0.107400,0.012373,0.535620,0.001313,28,4,2159,1.824000,0.063589900,
1,Balanced,SA_WaitingTime_Dominance,207,0.110490,0.008008,0.533470,0.001109,21,3,2287,1.888000,0.063546807,
1,Balanced,SA_WaitingTime_Dominance,208,0.140138,0.030510,0.522210,0.001993,34,0,2447,1.842000,0.063603419,
1,Balanced,SA_WaitingTime_Dominance,209,0.143719,0.035376,0.518113,0.005080,38,0,2600,1.880000,0.063457154,
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.530821,0.003003,,21,2367,1.824000,0.063442500,10
1,Balanced,SA_Energy_Dominance,200,0.555170,0.144751,0.170254,0.003361,110,0,3256,4.566000,0.050847613,
1,Balanced,SA_Energy_Dominance,201,0.582056,0.113829,0.162026,0.003279,137,0,3302,4.242000,0.051295725,
1,Balanced,SA_Energy_Dominance,202,0.515850,0.105247,0.245873,0.002442,84,0,3434,4.412000,0.054376439,
1,Balanced,SA_Energy_Dominance,203,0.526544,0.144320,0.193577,0.004345,107,0,3020,4.486000,0.052710786,
1,Balanced,SA_Energy_Dominance,204,0.538653,0.115221,0.219621,0.003905,100,4,2676,4.214000,0.053534331,
1,Balanced,SA_Energy_Dominance,205,0.511797,0.107199,0.237345,0.002500,109,0,2911,4.188000,0.054317863,
1,Balanced,SA_Energy_Dominance,206,0.514012,0.127010,0.225160,0.002790,90,0,2883,4.432000,0.053821174,
1,Balanced,SA_Energy_Dominance,207,0.549530,0.124780,0.188990,0.002999,121,0,3127,4.424000,0.052416109,
1,Balanced,SA_Energy_Dominance,208,0.547057,0.128479,0.175213,0.003993,96,0,3280,4.694000,0.052000040,
1,Balanced,SA_Energy_Dominance,209,0.586825,0.095804,0.168545,0.002671,113,0,3156,4.522000,0.051879974,
1,Balanced,SA_Energy_Dominance,MEAN,0.542749,0.120664,0.198660,0.003228,,4,3104,4.188000,0.050847613,10
1,Balanced,NSGA-II,200,0.571962,0.013985,0.227090,0.004257,51,1,8637,2.846000,0.054302705,
1,Balanced,NSGA-II,201,0.579581,0.007452,0.252252,0.005065,46,14,8580,3.154000,0.054138843,
1,Balanced,NSGA-II,202,0.538144,0.017133,0.243143,0.003817,45,0,8073,2.864000,0.055058038,
1,Balanced,NSGA-II,203,0.546826,0.010428,0.255571,0.004958,45,0,8283,2.832000,0.054895623,
1,Balanced,NSGA-II,204,0.530475,0.013076,0.256739,0.003776,43,0,7915,2.984000,0.055220431,
1,Balanced,NSGA-II,205,0.546535,0.007582,0.248703,0.003209,49,2,7890,2.936000,0.054929030,
1,Balanced,NSGA-II,206,0.555268,0.011142,0.261531,0.002837,45,0,7808,2.892000,0.054732457,
1,Balanced,NSGA-II,207,0.529557,0.018997,0.253006,0.005250,41,0,8298,2.896000,0.055214503,
1,Balanced,NSGA-II,208,0.524666,0.016045,0.260871,0.004315,43,0,8261,2.958000,0.055322881,
1,Balanced,NSGA-II,209,0.520360,0.004378,0.273304,0.002913,43,21,7723,2.924000,0.055487391,
1,Balanced,NSGA-II,MEAN,0.544337,0.012022,0.253221,0.004040,,38,8146,2.832000,0.054138843,10
1,Balanced,SPEA-II,200,0.449896,0.014547,0.313558,0.001529,41,0,8548,2.698000,0.056907542,
1,Balanced,SPEA-II,201,0.423113,0.018759,0.324380,0.001254,47,0,8851,2.700000,0.057414416,
1,Balanced,SPEA-II,202,0.519627,0.016997,0.270829,0.005747,48,0,8881,2.756000,0.055456686,
1,Balanced,SPEA-II,203,0.318629,0.018865,0.398658,0.002471,29,0,8860,2.694000,0.059510545,
1,Balanced,SPEA-II,204,0.504875,0.002942,0.301052,0.003702,39,16,8939,2.670000,0.055871902,
1,Balanced,SPEA-II,205,0.545179,0.022549,0.244347,0.005376,55,0,9209,2.730000,0.054879529,
1,Balanced,SPEA-II,206,0.477399,0.006958,0.308608,0.002170,38,7,8082,2.706000,0.056394379,
1,Balanced,SPEA-II,207,0.476911,0.025308,0.279684,0.006762,41,0,8940,2.740000,0.056315091,
1,Balanced,SPEA-II,208,0.384195,0.020866,0.355287,0.002318,39,0,8823,2.718000,0.058195897,
1,Balanced,SPEA-II,209,0.468478,0.014202,0.299020,0.003359,46,0,8626,2.624000,0.056561360,
1,Balanced,SPEA-II,MEAN,0.456830,0.016199,0.309542,0.003469,,23,8775,2.624000,0.054879529,10
1,Balanced,AMOSA,200,0.371142,0.026785,0.346812,0.004379,49,0,6927,2.820000,0.058418212,
1,Balanced,AMOSA,201,0.355378,0.021759,0.352302,0.001916,59,0,6460,2.586000,0.058766537,
1,Balanced,AMOSA,202,0.334717,0.025179,0.370194,0.001596,43,0,6380,2.660000,0.059168417,
1,Balanced,AMOSA,203,0.366674,0.019046,0.362696,0.001725,50,0,6577,2.702000,0.058560042,
1,Balanced,AMOSA,204,0.382423,0.017644,0.357963,0.001678,47,0,6176,2.700000,0.058251439,
1,Balanced,AMOSA,205,0.369475,0.012431,0.352186,0.001833,38,0,6231,2.678000,0.058520673,
1,Balanced,AMOSA,206,0.379009,0.016517,0.352252,0.001430,42,0,6259,2.718000,0.058316885,
1,Balanced,AMOSA,207,0.389194,0.028779,0.339400,0.001305,54,0,6489,2.726000,0.058074190,
1,Balanced,AMOSA,208,0.361753,0.017088,0.363699,0.002227,43,0,6464,2.662000,0.058657543,
1,Balanced,AMOSA,209,0.365180,0.028293,0.348158,0.001643,56,0,6265,2.726000,0.058542772,
1,Balanced,AMOSA,MEAN,0.367495,0.021352,0.354566,0.001973,,0,6422,2.586000,0.058074190,10
