Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_WaitingTime_Dominance,200,120,0.811514,7,5.833333
GA_WaitingTime_Dominance,201,102,0.833645,7,6.862745
GA_WaitingTime_Dominance,202,132,0.847837,11,8.333333
GA_WaitingTime_Dominance,203,107,0.825010,6,5.607477
GA_WaitingTime_Dominance,204,132,0.844337,9,6.818182
GA_WaitingTime_Dominance,205,98,0.787547,14,14.285714
GA_WaitingTime_Dominance,206,122,0.844079,14,11.475410
GA_WaitingTime_Dominance,207,120,0.804333,7,5.833333
GA_WaitingTime_Dominance,208,122,0.798922,9,7.377049
GA_WaitingTime_Dominance,209,132,0.824720,10,7.575758
GA_WaitingTime_Dominance,MEAN,,,9.400000,8.000233
GA_WaitingTime_Dominance,STDDEV,,,2.727636,2.647092
GA_Energy_Dominance,200,120,0.811514,13,10.833333
GA_Energy_Dominance,201,102,0.833645,0,0.000000
GA_Energy_Dominance,202,132,0.847837,13,9.848485
GA_Energy_Dominance,203,107,0.825010,6,5.607477
GA_Energy_Dominance,204,132,0.844337,6,4.545455
GA_Energy_Dominance,205,98,0.787547,0,0.000000
GA_Energy_Dominance,206,122,0.844079,18,14.754098
GA_Energy_Dominance,207,120,0.804333,11,9.166667
GA_Energy_Dominance,208,122,0.798922,11,9.016393
GA_Energy_Dominance,209,132,0.824720,0,0.000000
GA_Energy_Dominance,MEAN,,,7.800000,6.377191
GA_Energy_Dominance,STDDEV,,,6.063003,4.927267
SA_WaitingTime_Dominance,200,120,0.811514,5,4.166667
SA_WaitingTime_Dominance,201,102,0.833645,7,6.862745
SA_WaitingTime_Dominance,202,132,0.847837,7,5.303030
SA_WaitingTime_Dominance,203,107,0.825010,8,7.476636
SA_WaitingTime_Dominance,204,132,0.844337,10,7.575758
SA_WaitingTime_Dominance,205,98,0.787547,0,0.000000
SA_WaitingTime_Dominance,206,122,0.844079,4,3.278689
SA_WaitingTime_Dominance,207,120,0.804333,4,3.333333
SA_WaitingTime_Dominance,208,122,0.798922,5,4.098361
SA_WaitingTime_Dominance,209,132,0.824720,5,3.787879
SA_WaitingTime_Dominance,MEAN,,,5.500000,4.588310
SA_WaitingTime_Dominance,STDDEV,,,2.578759,2.198916
SA_Energy_Dominance,200,120,0.811514,4,3.333333
SA_Energy_Dominance,201,102,0.833645,3,2.941176
SA_Energy_Dominance,202,132,0.847837,0,0.000000
SA_Energy_Dominance,203,107,0.825010,4,3.738318
SA_Energy_Dominance,204,132,0.844337,5,3.787879
SA_Energy_Dominance,205,98,0.787547,3,3.061224
SA_Energy_Dominance,206,122,0.844079,3,2.459016
SA_Energy_Dominance,207,120,0.804333,4,3.333333
SA_Energy_Dominance,208,122,0.798922,0,0.000000
SA_Energy_Dominance,209,132,0.824720,4,3.030303
SA_Energy_Dominance,MEAN,,,3.000000,2.568458
SA_Energy_Dominance,STDDEV,,,1.612452,1.335163
NSGA-II,200,120,0.811514,35,29.166667
NSGA-II,201,102,0.833645,39,38.235294
NSGA-II,202,132,0.847837,29,21.969697
NSGA-II,203,107,0.825010,27,25.233645
NSGA-II,204,132,0.844337,40,30.303030
NSGA-II,205,98,0.787547,38,38.775510
NSGA-II,206,122,0.844079,0,0.000000
NSGA-II,207,120,0.804333,36,30.000000
NSGA-II,208,122,0.798922,38,31.147541
NSGA-II,209,132,0.824720,14,10.606061
NSGA-II,MEAN,,,29.600000,25.543744
NSGA-II,STDDEV,,,12.387090,11.452857
SPEA-II,200,120,0.811514,19,15.833333
SPEA-II,201,102,0.833645,16,15.686275
SPEA-II,202,132,0.847837,31,23.484848
SPEA-II,203,107,0.825010,0,0.000000
SPEA-II,204,132,0.844337,1,0.757576
SPEA-II,205,98,0.787547,17,17.346939
SPEA-II,206,122,0.844079,19,15.573770
SPEA-II,207,120,0.804333,34,28.333333
SPEA-II,208,122,0.798922,18,14.754098
SPEA-II,209,132,0.824720,36,27.272727
SPEA-II,MEAN,,,19.100000,15.904290
SPEA-II,STDDEV,,,11.648605,9.094629
AMOSA,200,120,0.811514,2,1.666667
AMOSA,201,102,0.833645,12,11.764706
AMOSA,202,132,0.847837,0,0.000000
AMOSA,203,107,0.825010,25,23.364486
AMOSA,204,132,0.844337,37,28.030303
AMOSA,205,98,0.787547,6,6.122449
AMOSA,206,122,0.844079,28,22.950820
AMOSA,207,120,0.804333,0,0.000000
AMOSA,208,122,0.798922,8,6.557377
AMOSA,209,132,0.824720,27,20.454545
AMOSA,MEAN,,,14.500000,12.091135
AMOSA,STDDEV,,,12.854960,10.180569
GA_WaitingTime_Dominance_PC90,200,120,0.811514,0,0.000000
GA_WaitingTime_Dominance_PC90,201,102,0.833645,0,0.000000
GA_WaitingTime_Dominance_PC90,202,132,0.847837,0,0.000000
GA_WaitingTime_Dominance_PC90,203,107,0.825010,0,0.000000
GA_WaitingTime_Dominance_PC90,204,132,0.844337,0,0.000000
GA_WaitingTime_Dominance_PC90,205,98,0.787547,0,0.000000
GA_WaitingTime_Dominance_PC90,206,122,0.844079,0,0.000000
GA_WaitingTime_Dominance_PC90,207,120,0.804333,0,0.000000
GA_WaitingTime_Dominance_PC90,208,122,0.798922,0,0.000000
GA_WaitingTime_Dominance_PC90,209,132,0.824720,0,0.000000
GA_WaitingTime_Dominance_PC90,MEAN,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC90,STDDEV,,,0.000000,0.000000
GA_Energy_Dominance_PC90,200,120,0.811514,18,15.000000
GA_Energy_Dominance_PC90,201,102,0.833645,11,10.784314
GA_Energy_Dominance_PC90,202,132,0.847837,14,10.606061
GA_Energy_Dominance_PC90,203,107,0.825010,16,14.953271
GA_Energy_Dominance_PC90,204,132,0.844337,3,2.272727
GA_Energy_Dominance_PC90,205,98,0.787547,0,0.000000
GA_Energy_Dominance_PC90,206,122,0.844079,14,11.475410
GA_Energy_Dominance_PC90,207,120,0.804333,12,10.000000
GA_Energy_Dominance_PC90,208,122,0.798922,0,0.000000
GA_Energy_Dominance_PC90,209,132,0.824720,10,7.575758
GA_Energy_Dominance_PC90,MEAN,,,9.800000,8.266754
GA_Energy_Dominance_PC90,STDDEV,,,6.209670,5.368803
SA_WaitingTime_Dominance_PC90,200,120,0.811514,4,3.333333
SA_WaitingTime_Dominance_PC90,201,102,0.833645,0,0.000000
SA_WaitingTime_Dominance_PC90,202,132,0.847837,8,6.060606
SA_WaitingTime_Dominance_PC90,203,107,0.825010,3,2.803738
SA_WaitingTime_Dominance_PC90,204,132,0.844337,0,0.000000
SA_WaitingTime_Dominance_PC90,205,98,0.787547,2,2.040816
SA_WaitingTime_Dominance_PC90,206,122,0.844079,1,0.819672
SA_WaitingTime_Dominance_PC90,207,120,0.804333,0,0.000000
SA_WaitingTime_Dominance_PC90,208,122,0.798922,0,0.000000
