Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
GA_Energy_Dominance_PC90,202,132,0.847837,14,10.606061
GA_Energy_Dominance_PC90,203,101,0.824075,16,15.841584
GA_Energy_Dominance_PC90,204,113,0.843640,3,2.654867
GA_Energy_Dominance_PC90,205,95,0.787543,0,0.000000
GA_Energy_Dominance_PC90,206,130,0.842510,14,10.769231
GA_Energy_Dominance_PC90,207,120,0.804333,12,10.000000
GA_Energy_Dominance_PC90,208,115,0.798808,0,0.000000
GA_Energy_Dominance_PC90,209,113,0.824576,10,8.849558
GA_Energy_Dominance_PC90,MEAN,,,9.800000,8.494579
GA_Energy_Dominance_PC90,STDDEV,,,6.209670,5.423966
SA_WaitingTime_Dominance_PC90,200,120,0.811514,4,3.333333
SA_WaitingTime_Dominance_PC90,201,98,0.833242,0,0.000000
SA_WaitingTime_Dominance_PC90,202,132,0.847837,8,6.060606
SA_WaitingTime_Dominance_PC90,203,101,0.824075,3,2.970297
SA_WaitingTime_Dominance_PC90,204,113,0.843640,0,0.000000
SA_WaitingTime_Dominance_PC90,205,95,0.787543,2,2.105263
SA_WaitingTime_Dominance_PC90,206,130,0.842510,1,0.769231
SA_WaitingTime_Dominance_PC90,207,120,0.804333,0,0.000000
SA_WaitingTime_Dominance_PC90,208,115,0.798808,0,0.000000
SA_WaitingTime_Dominance_PC90,209,113,0.824576,0,0.000000
SA_WaitingTime_Dominance_PC90,MEAN,,,1.800000,1.523873
SA_WaitingTime_Dominance_PC90,STDDEV,,,2.481935,1.961292
SA_Energy_Dominance_PC90,200,120,0.811514,5,4.166667
SA_Energy_Dominance_PC90,201,98,0.833242,3,3.061224
SA_Energy_Dominance_PC90,202,132,0.847837,3,2.272727
SA_Energy_Dominance_PC90,203,101,0.824075,3,2.970297
SA_Energy_Dominance_PC90,204,113,0.843640,5,4.424779
SA_Energy_Dominance_PC90,205,95,0.787543,3,3.157895
SA_Energy_Dominance_PC90,206,130,0.842510,2,1.538462
SA_Energy_Dominance_PC90,207,120,0.804333,3,2.500000
SA_Energy_Dominance_PC90,208,115,0.798808,8,6.956522
SA_Energy_Dominance_PC90,209,113,0.824576,3,2.654867
SA_Energy_Dominance_PC90,MEAN,,,3.800000,3.370344
SA_Energy_Dominance_PC90,STDDEV,,,1.661325,1.440046
NSGA-II_PC90,200,120,0.811514,14,11.666667
NSGA-II_PC90,201,98,0.833242,0,0.000000
NSGA-II_PC90,202,132,0.847837,5,3.787879
NSGA-II_PC90,203,101,0.824075,19,18.811881
NSGA-II_PC90,204,113,0.843640,4,3.539823
NSGA-II_PC90,205,95,0.787543,0,0.000000
NSGA-II_PC90,206,130,0.842510,16,12.307692
NSGA-II_PC90,207,120,0.804333,0,0.000000
