Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance,200,0.142155,0.003825,0.533666,0.004888,11,11,5,2823,0.322973,
GA_WaitingTime_Dominance,201,0.131300,0.004118,0.546111,0.002200,8,8,0,2201,0.314222,
GA_WaitingTime_Dominance,202,0.141879,0.004632,0.535045,0.002887,12,12,0,2255,0.322664,
GA_WaitingTime_Dominance,203,0.137116,0.009861,0.537445,0.001901,15,15,0,2182,0.318688,
GA_WaitingTime_Dominance,204,0.154396,0.002185,0.528357,0.004604,7,7,4,2216,0.332508,
GA_WaitingTime_Dominance,205,0.152744,0.001114,0.533209,0.001878,8,8,2,2187,0.331259,
GA_WaitingTime_Dominance,206,0.124352,0.017769,0.539039,0.013952,9,9,0,2260,0.308893,
GA_WaitingTime_Dominance,207,0.133832,0.017346,0.534378,0.002632,14,14,0,2171,0.316435,
GA_WaitingTime_Dominance,208,0.142434,0.002155,0.541335,0.001925,6,6,0,2227,0.322899,
GA_WaitingTime_Dominance,209,0.143684,0.002512,0.539251,0.001776,9,9,0,2196,0.323944,
GA_WaitingTime_Dominance,MEAN,0.140389,0.006552,0.536783,0.003864,10,10,11,2271,0.321449,10
GA_WaitingTime_Dominance,STDDEV,0.008733,0.005955,0.004708,0.003529,,,,,0.006880,
GA_Energy_Dominance,200,0.670386,0.047947,0.085622,0.007008,81,81,8,3013,0.777701,
GA_Energy_Dominance,201,0.663752,0.050845,0.088517,0.007900,84,84,14,3205,0.775230,
GA_Energy_Dominance,202,0.660903,0.046753,0.097536,0.008122,91,91,3,4197,0.764041,
GA_Energy_Dominance,203,0.631744,0.071963,0.109329,0.006291,90,90,14,4355,0.760345,
GA_Energy_Dominance,204,0.659463,0.053162,0.093323,0.010147,86,86,0,4036,0.759996,
GA_Energy_Dominance,205,0.574173,0.079474,0.171416,0.015186,90,90,10,3691,0.671439,
GA_Energy_Dominance,206,0.639703,0.070981,0.114280,0.005822,88,88,0,3952,0.743025,
GA_Energy_Dominance,207,0.621824,0.084694,0.109610,0.008924,75,75,2,4156,0.753945,
GA_Energy_Dominance,208,0.659955,0.054545,0.094033,0.006079,104,104,5,3772,0.751310,
GA_Energy_Dominance,209,0.638501,0.075482,0.107439,0.006808,105,105,0,4125,0.752332,
GA_Energy_Dominance,MEAN,0.642040,0.063585,0.107111,0.008229,89,89,56,3850,0.750936,10
GA_Energy_Dominance,STDDEV,0.027192,0.013583,0.023363,0.002653,,,,,0.028359,
SA_WaitingTime_Dominance,200,0.111274,0.021724,0.546821,0.008665,16,16,0,1897,0.296853,
SA_WaitingTime_Dominance,201,0.114541,0.027414,0.541677,0.003509,28,28,0,1973,0.302727,
SA_WaitingTime_Dominance,202,0.106507,0.028462,0.548813,0.002841,20,20,6,1914,0.296432,
SA_WaitingTime_Dominance,203,0.109426,0.019463,0.548523,0.002238,19,19,8,1903,0.297983,
SA_WaitingTime_Dominance,204,0.116659,0.024241,0.543550,0.001654,30,30,0,1885,0.297947,
SA_WaitingTime_Dominance,205,0.113478,0.015808,0.545416,0.001626,34,34,0,1896,0.298216,
SA_WaitingTime_Dominance,206,0.107400,0.012373,0.548291,0.001313,28,28,4,1869,0.297177,
SA_WaitingTime_Dominance,207,0.110490,0.008008,0.546146,0.001109,21,22,3,1901,0.299113,
SA_WaitingTime_Dominance,208,0.140138,0.030510,0.534647,0.001993,34,34,0,1875,0.295789,
SA_WaitingTime_Dominance,209,0.143719,0.035376,0.530654,0.005080,38,38,0,1959,0.301033,
SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.543454,0.003003,27,27,21,1907,0.298327,10
SA_WaitingTime_Dominance,STDDEV,0.012654,0.008122,0.005872,0.002200,,,,,0.002027,
SA_Energy_Dominance,200,0.555170,0.144363,0.171515,0.003361,110,111,0,2235,0.676797,
SA_Energy_Dominance,201,0.582056,0.113507,0.163652,0.003279,137,139,0,2229,0.690662,
SA_Energy_Dominance,202,0.515850,0.105276,0.251584,0.002442,84,87,0,2093,0.619795,
SA_Energy_Dominance,203,0.526544,0.144186,0.195744,0.004345,107,109,0,2181,0.641908,
SA_Energy_Dominance,204,0.538653,0.115215,0.224509,0.003905,100,101,4,2150,0.642880,
SA_Energy_Dominance,205,0.511797,0.106938,0.242030,0.002500,109,110,0,2131,0.619149,
SA_Energy_Dominance,206,0.514012,0.126616,0.228710,0.002790,90,91,0,2132,0.623906,
SA_Energy_Dominance,207,0.549530,0.124365,0.191889,0.002999,121,122,0,2215,0.659075,
SA_Energy_Dominance,208,0.547057,0.128175,0.176739,0.003993,96,96,0,2183,0.660059,
SA_Energy_Dominance,209,0.586825,0.095618,0.170936,0.002671,113,114,0,2189,0.686374,
SA_Energy_Dominance,MEAN,0.542749,0.120426,0.201731,0.003228,107,108,4,2173,0.652060,10
SA_Energy_Dominance,STDDEV,0.025482,0.015340,0.030700,0.000633,,,,,0.025489,
NSGA-II,200,0.571962,0.013680,0.234439,0.004257,51,51,1,6532,0.663425,
NSGA-II,201,0.579581,0.007301,0.261096,0.005065,46,46,14,6275,0.667910,
NSGA-II,202,0.538144,0.016776,0.252086,0.003817,45,45,0,6166,0.635484,
NSGA-II,203,0.546826,0.010905,0.264518,0.004958,45,45,0,6233,0.642508,
NSGA-II,204,0.530475,0.013043,0.265868,0.003776,43,43,0,6203,0.628583,
NSGA-II,205,0.546535,0.007620,0.257636,0.003209,49,49,2,6103,0.641426,
NSGA-II,206,0.555268,0.011297,0.271227,0.002837,45,45,0,6142,0.648877,
NSGA-II,207,0.529557,0.019102,0.262416,0.005250,41,41,0,6294,0.628575,
NSGA-II,208,0.524666,0.016253,0.270206,0.004315,43,43,0,6620,0.624209,
NSGA-II,209,0.520360,0.004244,0.281780,0.002913,43,43,21,6678,0.620197,
NSGA-II,MEAN,0.544337,0.012022,0.262127,0.004040,45,45,38,6324,0.640119,10
NSGA-II,STDDEV,0.018832,0.004454,0.012012,0.000837,,,,,0.015289,
SPEA-II,200,0.449896,0.016930,0.324814,0.001529,41,41,0,6842,0.564933,
SPEA-II,201,0.423113,0.017538,0.336353,0.001254,47,47,0,6608,0.543751,
SPEA-II,202,0.519627,0.016347,0.280376,0.005747,48,48,0,6854,0.620989,
SPEA-II,203,0.318629,0.018115,0.413572,0.002471,29,29,0,6487,0.460053,
SPEA-II,204,0.504875,0.001365,0.312461,0.003702,39,39,22,6591,0.608502,
SPEA-II,205,0.545179,0.022202,0.253367,0.005376,55,55,0,6782,0.642232,
SPEA-II,206,0.477399,0.008416,0.319894,0.002170,38,38,7,6622,0.586557,
SPEA-II,207,0.476911,0.027899,0.290368,0.006762,41,41,0,6706,0.586833,
SPEA-II,208,0.384195,0.021878,0.368694,0.002318,39,39,0,6690,0.512455,
SPEA-II,209,0.468478,0.015647,0.309799,0.003359,46,46,3,6731,0.579984,
SPEA-II,MEAN,0.456830,0.016634,0.320970,0.003469,42,42,32,6691,0.570629,10
SPEA-II,STDDEV,0.063702,0.007002,0.042962,0.001800,,,,,0.051056,
AMOSA,200,0.227153,0.034696,0.456144,0.015156,12,12,0,5769,0.385685,
AMOSA,201,0.229847,0.046704,0.445094,0.003097,26,26,0,5478,0.388314,
AMOSA,202,0.239820,0.041848,0.442601,0.006484,15,15,0,5434,0.396272,
AMOSA,203,0.234179,0.043512,0.443372,0.007757,19,19,0,5429,0.391464,
AMOSA,204,0.262995,0.042984,0.421306,0.004334,23,23,0,5424,0.414559,
AMOSA,205,0.217364,0.036925,0.456964,0.006995,22,22,0,5665,0.378377,
AMOSA,206,0.271648,0.054965,0.406123,0.009537,26,26,0,5573,0.422005,
AMOSA,207,0.231191,0.050558,0.446606,0.004009,26,26,0,5523,0.389266,
AMOSA,208,0.245834,0.044744,0.440552,0.003047,22,22,0,5507,0.400700,
AMOSA,209,0.260491,0.034090,0.433266,0.006115,17,17,0,5446,0.412295,
AMOSA,MEAN,0.242052,0.043103,0.439203,0.006653,21,21,0,5524,0.397894,10
AMOSA,STDDEV,0.016835,0.006354,0.014739,0.003468,,,,,0.013470,
GA_WaitingTime_Dominance_PC90,200,0.163204,0.004396,0.524278,0.003045,9,9,0,9328,0.339007,
GA_WaitingTime_Dominance_PC90,201,0.140470,0.006600,0.539109,0.004868,7,7,0,9045,0.321047,
GA_WaitingTime_Dominance_PC90,202,0.158692,0.017003,0.508647,0.004963,24,24,0,8917,0.335747,
GA_WaitingTime_Dominance_PC90,203,0.198896,0.000000,0.503884,0.005894,8,8,8,9103,0.367188,
GA_WaitingTime_Dominance_PC90,204,0.152197,0.015373,0.522822,0.003589,13,13,0,9086,0.330733,
GA_WaitingTime_Dominance_PC90,205,0.111824,0.022308,0.547728,0.001401,15,15,0,8914,0.298782,
GA_WaitingTime_Dominance_PC90,206,0.118819,0.020388,0.543814,0.002592,9,9,0,8962,0.304025,
GA_WaitingTime_Dominance_PC90,207,0.140267,0.007231,0.537251,0.001262,11,11,0,8992,0.321059,
GA_WaitingTime_Dominance_PC90,208,0.159093,0.003089,0.527850,0.005122,7,7,0,9159,0.336005,
GA_WaitingTime_Dominance_PC90,209,0.145307,0.003025,0.537498,0.004019,6,6,0,9656,0.325047,
GA_WaitingTime_Dominance_PC90,MEAN,0.148877,0.009941,0.529288,0.003676,11,11,8,9116,0.327864,10
GA_WaitingTime_Dominance_PC90,STDDEV,0.023136,0.007644,0.013852,0.001509,,,,,0.018226,
GA_Energy_Dominance_PC90,200,0.634917,0.073374,0.111024,0.009402,87,87,0,10630,0.756738,
GA_Energy_Dominance_PC90,201,0.647331,0.058687,0.095292,0.011387,86,86,0,10413,0.754943,
GA_Energy_Dominance_PC90,202,0.649728,0.068638,0.100707,0.005755,99,99,0,10295,0.754675,
GA_Energy_Dominance_PC90,203,0.646030,0.057665,0.104275,0.006546,83,83,0,10127,0.751441,
GA_Energy_Dominance_PC90,204,0.621802,0.084261,0.107533,0.010861,83,83,0,10441,0.743303,
GA_Energy_Dominance_PC90,205,0.680547,0.039637,0.086326,0.006937,99,99,34,10394,0.778206,
GA_Energy_Dominance_PC90,206,0.643439,0.067553,0.105535,0.004674,92,92,0,9965,0.745117,
GA_Energy_Dominance_PC90,207,0.619905,0.071200,0.138863,0.009912,81,81,9,9674,0.716128,
GA_Energy_Dominance_PC90,208,0.610095,0.059524,0.134226,0.004065,104,104,0,9042,0.703531,
GA_Energy_Dominance_PC90,209,0.633084,0.080742,0.105710,0.006435,91,91,0,9140,0.755073,
GA_Energy_Dominance_PC90,MEAN,0.638688,0.066128,0.108949,0.007597,91,91,43,10012,0.745915,10
GA_Energy_Dominance_PC90,STDDEV,0.018779,0.012253,0.015331,0.002469,,,,,0.020307,
SA_WaitingTime_Dominance_PC90,200,0.123065,0.018751,0.541227,0.002694,31,31,0,6737,0.297204,
SA_WaitingTime_Dominance_PC90,201,0.129730,0.030206,0.527034,0.003947,23,23,0,6815,0.313334,
SA_WaitingTime_Dominance_PC90,202,0.119325,0.023730,0.543636,0.002289,23,23,0,6701,0.295146,
SA_WaitingTime_Dominance_PC90,203,0.135561,0.039535,0.517134,0.001699,35,35,0,6597,0.313880,
SA_WaitingTime_Dominance_PC90,204,0.110791,0.013656,0.546095,0.001740,20,20,0,6734,0.298120,
SA_WaitingTime_Dominance_PC90,205,0.127329,0.014753,0.543641,0.002561,23,23,0,6552,0.303905,
SA_WaitingTime_Dominance_PC90,206,0.106790,0.028080,0.548768,0.001982,19,19,0,6630,0.295808,
SA_WaitingTime_Dominance_PC90,207,0.110695,0.019849,0.546330,0.001729,25,25,0,6586,0.298318,
SA_WaitingTime_Dominance_PC90,208,0.106179,0.024488,0.549614,0.003212,16,16,0,6799,0.295194,
SA_WaitingTime_Dominance_PC90,209,0.114443,0.024852,0.542486,0.003529,18,18,0,6609,0.300993,
SA_WaitingTime_Dominance_PC90,MEAN,0.118391,0.023790,0.540597,0.002538,23,23,0,6676,0.301190,10
SA_WaitingTime_Dominance_PC90,STDDEV,0.009707,0.007310,0.009839,0.000762,,,,,0.006715,
SA_Energy_Dominance_PC90,200,0.542809,0.145434,0.180009,0.003139,111,112,0,6428,0.662848,
SA_Energy_Dominance_PC90,201,0.530023,0.159240,0.192436,0.004109,94,94,0,6432,0.650399,
SA_Energy_Dominance_PC90,202,0.523652,0.123600,0.230555,0.004059,101,103,0,6504,0.631920,
SA_Energy_Dominance_PC90,203,0.548057,0.122966,0.196628,0.002283,114,114,0,6504,0.656857,
SA_Energy_Dominance_PC90,204,0.518060,0.109668,0.226605,0.002247,89,90,0,6549,0.626303,
SA_Energy_Dominance_PC90,205,0.490952,0.157242,0.223766,0.004744,102,102,0,6515,0.612420,
SA_Energy_Dominance_PC90,206,0.515789,0.126552,0.235770,0.006083,74,75,0,6576,0.624601,
SA_Energy_Dominance_PC90,207,0.538786,0.140668,0.199988,0.005015,86,87,0,6504,0.649536,
SA_Energy_Dominance_PC90,208,0.505599,0.177721,0.203556,0.005803,114,115,0,6593,0.633247,
SA_Energy_Dominance_PC90,209,0.555915,0.121313,0.194644,0.003018,107,108,0,6770,0.662450,
SA_Energy_Dominance_PC90,MEAN,0.526964,0.138440,0.208396,0.004050,99,100,0,6537,0.641058,10
SA_Energy_Dominance_PC90,STDDEV,0.019109,0.020261,0.018139,0.001300,,,,,0.016716,
NSGA-II_PC90,200,0.544175,0.018294,0.249745,0.004723,45,45,0,13668,0.639891,
NSGA-II_PC90,201,0.511092,0.021060,0.274578,0.003072,39,39,0,12563,0.613305,
NSGA-II_PC90,202,0.474269,0.012521,0.301918,0.004428,40,40,0,12343,0.583560,
NSGA-II_PC90,203,0.562809,0.012286,0.247109,0.003341,41,41,0,12594,0.654504,
NSGA-II_PC90,204,0.551268,0.010192,0.257120,0.004259,44,44,2,12562,0.645113,
NSGA-II_PC90,205,0.551561,0.014292,0.255088,0.017385,48,48,0,12625,0.645378,
NSGA-II_PC90,206,0.548395,0.016378,0.248041,0.005907,45,45,0,12672,0.643211,
NSGA-II_PC90,207,0.491793,0.032594,0.274861,0.003907,43,43,0,12392,0.598435,
NSGA-II_PC90,208,0.508918,0.023514,0.261887,0.006803,44,44,0,12506,0.611528,
NSGA-II_PC90,209,0.547922,0.008260,0.260180,0.005709,34,34,6,10261,0.642654,
NSGA-II_PC90,MEAN,0.529220,0.016939,0.263053,0.005953,42,42,8,12418,0.627758,10
NSGA-II_PC90,STDDEV,0.028663,0.006903,0.015961,0.003968,,,,,0.022848,
SPEA-II_PC90,200,0.472620,0.008437,0.311070,0.002673,33,33,1,13280,0.582252,
SPEA-II_PC90,201,0.421585,0.023923,0.339347,0.001865,45,45,0,13310,0.541820,
SPEA-II_PC90,202,0.453421,0.016152,0.316858,0.003017,39,39,0,13170,0.567630,
SPEA-II_PC90,203,0.357240,0.016710,0.389860,0.004183,29,29,0,13050,0.490604,
SPEA-II_PC90,204,0.397372,0.016595,0.341742,0.003413,37,37,0,13135,0.522202,
SPEA-II_PC90,205,0.456521,0.014745,0.322419,0.002469,50,50,0,13054,0.569925,
SPEA-II_PC90,206,0.491243,0.023612,0.267286,0.005988,40,40,0,13519,0.597856,
SPEA-II_PC90,207,0.475929,0.024390,0.290904,0.003482,41,41,0,13343,0.585447,
SPEA-II_PC90,208,0.466451,0.008483,0.323768,0.002204,35,35,1,13198,0.577340,
SPEA-II_PC90,209,0.335622,0.012959,0.400410,0.002067,33,33,0,13208,0.473251,
SPEA-II_PC90,MEAN,0.432800,0.016601,0.330366,0.003136,38,38,2,13226,0.550833,10
SPEA-II_PC90,STDDEV,0.050513,0.005594,0.038540,0.001172,,,,,0.040365,
