Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,NSGA-II,207,0.529557,0.019102,0.262416,0.005250,41,0,6294,2.896000,0.055214503,
1,Balanced,NSGA-II,208,0.524666,0.016253,0.270206,0.004315,43,0,6620,2.958000,0.055322881,
1,Balanced,NSGA-II,209,0.520360,0.004244,0.281780,0.002913,43,21,6678,2.924000,0.055487391,
1,Balanced,NSGA-II,MEAN,0.544337,0.012022,0.262127,0.004040,,38,6324,2.832000,0.054138843,10
1,Balanced,SPEA-II,200,0.449896,0.016930,0.324814,0.001529,41,0,6842,2.698000,0.056907542,
1,Balanced,SPEA-II,201,0.423113,0.017538,0.336353,0.001254,47,0,6608,2.700000,0.057414416,
1,Balanced,SPEA-II,202,0.519627,0.016347,0.280376,0.005747,48,0,6854,2.756000,0.055456686,
1,Balanced,SPEA-II,203,0.318629,0.018115,0.413572,0.002471,29,0,6487,2.694000,0.059510545,
1,Balanced,SPEA-II,204,0.504875,0.001365,0.312461,0.003702,39,22,6591,2.670000,0.055871902,
1,Balanced,SPEA-II,205,0.545179,0.022202,0.253367,0.005376,55,0,6782,2.730000,0.054879529,
1,Balanced,SPEA-II,206,0.477399,0.008416,0.319894,0.002170,38,7,6622,2.706000,0.056394379,
1,Balanced,SPEA-II,207,0.476911,0.027899,0.290368,0.006762,41,0,6706,2.740000,0.056315091,
1,Balanced,SPEA-II,208,0.384195,0.021878,0.368694,0.002318,39,0,6690,2.718000,0.058195897,
1,Balanced,SPEA-II,209,0.468478,0.015647,0.309799,0.003359,46,3,6731,2.624000,0.056561360,
1,Balanced,SPEA-II,MEAN,0.456830,0.016634,0.320970,0.003469,,32,6691,2.624000,0.054879529,10
1,Balanced,AMOSA,200,0.227153,0.034696,0.456144,0.015156,12,0,5769,3.142000,0.061194796,
1,Balanced,AMOSA,201,0.229847,0.046704,0.445094,0.003097,26,0,5478,3.094000,0.061119856,
1,Balanced,AMOSA,202,0.239820,0.041848,0.442601,0.006484,15,0,5434,3.050000,0.060948966,
1,Balanced,AMOSA,203,0.234179,0.043512,0.443372,0.007757,19,0,5429,3.142000,0.061038412,
1,Balanced,AMOSA,204,0.262995,0.042984,0.421306,0.004334,23,0,5424,3.150000,0.060455376,
1,Balanced,AMOSA,205,0.217364,0.036925,0.456964,0.006995,22,0,5665,3.036000,0.061397185,
1,Balanced,AMOSA,206,0.271648,0.054965,0.406123,0.009537,26,0,5573,3.076000,0.060271737,
1,Balanced,AMOSA,207,0.231191,0.050558,0.446606,0.004009,26,0,5523,3.108000,0.061097760,
1,Balanced,AMOSA,208,0.245834,0.044744,0.440552,0.003047,22,0,5507,3.152000,0.060809655,
1,Balanced,AMOSA,209,0.260491,0.034090,0.433266,0.006115,17,0,5446,3.126000,0.060546388,
1,Balanced,AMOSA,MEAN,0.242052,0.043103,0.439203,0.006653,,0,5524,3.036000,0.060271737,10
1,Balanced,GA_WaitingTime_Dominance_PC90,200,0.163204,0.004396,0.524278,0.003045,9,0,9328,2.160000,0.062575093,
1,Balanced,GA_WaitingTime_Dominance_PC90,201,0.140470,0.006600,0.539109,0.004868,7,0,9045,2.158000,0.063005350,
1,Balanced,GA_WaitingTime_Dominance_PC90,202,0.158692,0.017003,0.508647,0.004963,24,0,8917,2.140000,0.062640221,
1,Balanced,GA_WaitingTime_Dominance_PC90,203,0.198896,0.000000,0.503884,0.005894,8,8,9103,2.164000,0.061900522,
1,Balanced,GA_WaitingTime_Dominance_PC90,204,0.152197,0.015373,0.522822,0.003589,13,0,9086,2.100000,0.062774007,
1,Balanced,GA_WaitingTime_Dominance_PC90,205,0.111824,0.022308,0.547728,0.001401,15,0,8914,2.104000,0.063539698,
1,Balanced,GA_WaitingTime_Dominance_PC90,206,0.118819,0.020388,0.543814,0.002592,9,0,8962,2.146000,0.063412641,
1,Balanced,GA_WaitingTime_Dominance_PC90,207,0.140267,0.007231,0.537251,0.001262,11,0,8992,2.124000,0.063011162,
1,Balanced,GA_WaitingTime_Dominance_PC90,208,0.159093,0.003089,0.527850,0.005122,7,0,9159,2.106000,0.062658567,
1,Balanced,GA_WaitingTime_Dominance_PC90,209,0.145307,0.003025,0.537498,0.004019,6,0,9656,2.120000,0.062917672,
1,Balanced,GA_WaitingTime_Dominance_PC90,MEAN,0.148877,0.009941,0.529288,0.003676,,8,9116,2.100000,0.061900522,10
1,Balanced,GA_Energy_Dominance_PC90,200,0.634917,0.073374,0.111024,0.009402,87,0,10630,4.468000,0.047637911,
1,Balanced,GA_Energy_Dominance_PC90,201,0.647331,0.058687,0.095292,0.011387,86,0,10413,4.458000,0.048615669,
1,Balanced,GA_Energy_Dominance_PC90,202,0.649728,0.068638,0.100707,0.005755,99,0,10295,4.318000,0.048876811,
1,Balanced,GA_Energy_Dominance_PC90,203,0.646030,0.057665,0.104275,0.006546,83,0,10127,4.184000,0.049057134,
1,Balanced,GA_Energy_Dominance_PC90,204,0.621802,0.084261,0.107533,0.010861,83,0,10441,4.898000,0.047954420,
1,Balanced,GA_Energy_Dominance_PC90,205,0.680547,0.039637,0.086326,0.006937,99,34,10394,4.352000,0.048359984,
1,Balanced,GA_Energy_Dominance_PC90,206,0.643439,0.067553,0.105535,0.004674,92,0,9965,4.140000,0.049576424,
