Scenario,Algorithm,Seed,HV_fixed,EpsPlus,ParetoContribution_pct,nSolutions,ref_x_raw,ref_y_raw
2,AMOSA,200,0.4226857220128365,0.6052184570754527,0.0,15,46.034200000000006,0.0889631118
2,AMOSA,201,0.4171688374196046,0.6109600910173986,0.0,14,46.034200000000006,0.0889631118
2,AMOSA,202,0.4051999118212682,0.625338938854132,0.0,9,46.034200000000006,0.0889631118
2,AMOSA,203,0.43272015927291124,0.5926938594180069,0.0,23,46.034200000000006,0.0889631118
2,AMOSA,204,0.4178209371817243,0.6111886906867114,0.0,8,46.034200000000006,0.0889631118
2,AMOSA,205,0.4321970492202964,0.5939584604190498,0.0,13,46.034200000000006,0.0889631118
2,AMOSA,206,0.4342321904126399,0.5901278340768888,0.0,18,46.034200000000006,0.0889631118
2,AMOSA,207,0.4262922274177999,0.600395931772728,0.0,17,46.034200000000006,0.0889631118
2,AMOSA,208,0.4229664305030329,0.6042502030754818,0.0,17,46.034200000000006,0.0889631118
2,AMOSA,209,0.4335209567543854,0.5916230329129288,0.0,19,46.034200000000006,0.0889631118
2,AMOSA_PC60,200,0.23678708429281925,0.7309620720559483,0.0,7,46.034200000000006,0.0889631118
2,AMOSA_PC60,201,0.2248819579603466,0.7091221687062703,0.0,9,46.034200000000006,0.0889631118
2,AMOSA_PC60,203,0.23825038719062888,0.6985146682964088,0.0,8,46.034200000000006,0.0889631118
2,AMOSA_PC60,204,0.22841898310464304,0.7579960643748092,0.0,8,46.034200000000006,0.0889631118
2,AMOSA_PC60,205,0.21415486333905848,0.7854059972944837,0.0,8,46.034200000000006,0.0889631118
2,AMOSA_PC60,206,0.20155402381087928,0.7778153464643269,0.0,7,46.034200000000006,0.0889631118
2,AMOSA_PC60,207,0.25380455503064053,0.7209283782249803,0.0,11,46.034200000000006,0.0889631118
2,AMOSA_PC60,208,0.24448666962126486,0.7378916154969739,0.0,9,46.034200000000006,0.0889631118
2,AMOSA_PC60,209,0.1861962087516349,0.8154485135027001,0.0,2,46.034200000000006,0.0889631118
2,AMOSA_PC70,200,0.29341291576376116,0.711598847496094,0.0,9,46.034200000000006,0.0889631118
2,AMOSA_PC70,201,0.30413028407692294,0.6895345311099651,0.0,21,46.034200000000006,0.0889631118
2,AMOSA_PC70,202,0.24697970597206564,0.7640625905418827,0.0,10,46.034200000000006,0.0889631118
2,AMOSA_PC70,203,0.2983150732912875,0.7005390004356955,0.0,7,46.034200000000006,0.0889631118
2,AMOSA_PC70,204,0.3280227918018573,0.6590310095332487,0.0,10,46.034200000000006,0.0889631118
2,AMOSA_PC70,205,0.31337463097204615,0.6783489899129747,0.0,13,46.034200000000006,0.0889631118
2,AMOSA_PC70,206,0.2904460049517724,0.705112754110774,0.0,15,46.034200000000006,0.0889631118
2,AMOSA_PC70,207,0.2949215565644563,0.6862004013648806,0.0,10,46.034200000000006,0.0889631118
2,AMOSA_PC70,208,0.32822440722210916,0.6606357268789156,0.0,17,46.034200000000006,0.0889631118
2,AMOSA_PC70,209,0.27426872738054486,0.7269204013572688,0.0,22,46.034200000000006,0.0889631118
2,AMOSA_PC80,200,0.4277314790269575,0.5753470694854508,0.0,28,46.034200000000006,0.0889631118
2,AMOSA_PC80,201,0.43922755066000063,0.5660464645836075,0.0,36,46.034200000000006,0.0889631118
2,AMOSA_PC80,202,0.4171512674637184,0.5921213849495686,0.0,21,46.034200000000006,0.0889631118
2,AMOSA_PC80,203,0.43810703495581116,0.5733454783746618,0.0,29,46.034200000000006,0.0889631118
2,AMOSA_PC80,204,0.4083233223110269,0.5985331656015969,0.0,26,46.034200000000006,0.0889631118
2,AMOSA_PC80,205,0.4101769706878222,0.6000911639305595,0.0,26,46.034200000000006,0.0889631118
2,AMOSA_PC80,206,0.4199036993284963,0.5853593543983769,0.0,33,46.034200000000006,0.0889631118
2,AMOSA_PC80,207,0.42383607831010456,0.5827338598404758,0.0,24,46.034200000000006,0.0889631118
2,AMOSA_PC80,208,0.3967348745137834,0.618107101490356,0.0,24,46.034200000000006,0.0889631118
2,AMOSA_PC80,209,0.42545055942881144,0.5859751224566322,0.0,18,46.034200000000006,0.0889631118
2,AMOSA_PC90,200,0.39755139046402493,0.6296633499970834,0.0,14,46.034200000000006,0.0889631118
2,AMOSA_PC90,201,0.4273542058011173,0.5937387573445675,0.0,13,46.034200000000006,0.0889631118
2,AMOSA_PC90,202,0.4403962916719924,0.5753641966198838,0.0,18,46.034200000000006,0.0889631118
2,AMOSA_PC90,203,0.4036235327241744,0.6224585830207872,0.0,16,46.034200000000006,0.0889631118
2,AMOSA_PC90,204,0.43286465639329147,0.5873404880985923,0.0,17,46.034200000000006,0.0889631118
2,AMOSA_PC90,205,0.4140105978663392,0.6120148370462585,0.0,15,46.034200000000006,0.0889631118
2,AMOSA_PC90,206,0.4363614156699901,0.5861122822582205,0.0,10,46.034200000000006,0.0889631118
2,AMOSA_PC90,207,0.41832154456173126,0.6038784491075287,0.0,15,46.034200000000006,0.0889631118
2,AMOSA_PC90,208,0.4207020645913922,0.6044290389041906,0.0,12,46.034200000000006,0.0889631118
2,AMOSA_PC90,209,0.4367458582511588,0.5855748708399973,0.0,19,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,200,0.7130459384474487,0.16005508182829295,0.0,46,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,201,0.7009512967443107,0.1689570402941532,0.0,62,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,202,0.7312148485312954,0.17414161418865126,5.389221556886228,47,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,203,0.6722356023414923,0.18984015530885523,0.0,51,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,204,0.7157485481483138,0.15458161788430663,0.0,54,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,205,0.6171393790279174,0.3293778216359283,0.0,62,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,206,0.7177584276541119,0.19347492187913776,5.389221556886228,79,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,207,0.720493544285015,0.14348999047445898,0.0,62,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,208,0.6788000504460057,0.19594745357095478,0.0,47,46.034200000000006,0.0889631118
2,GA_Energy_Dominance,209,0.6805813572330758,0.1602585017430191,0.0,48,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC50,201,0.2624982862174027,0.6343676029214708,0.0,27,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC50,205,0.21983417878757885,0.7217912527728115,0.0,12,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC50,206,0.1380134046453299,0.8639476579547596,0.0,9,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC50,207,0.2000931845743626,0.7330252256999502,0.0,13,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC50,208,0.34709630574411515,0.5840907094905924,0.0,16,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,200,0.30401496563706815,0.5152369172718495,0.0,27,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,201,0.40143583780911585,0.3767279275462105,0.0,45,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,202,0.465472156872088,0.4285768521639993,0.0,29,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,203,0.4245600597076635,0.40349430651233564,0.0,34,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,204,0.49893656895576854,0.40697492083219966,0.0,35,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,205,0.4396566436812511,0.3726666539164665,0.0,52,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,206,0.4178711262449821,0.400611048581212,0.0,30,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,207,0.47239075535389674,0.31979238387797254,0.0,54,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,208,0.5559409087031646,0.290030751769875,0.0,34,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC60,209,0.47676918904345394,0.3405697379329585,0.0,61,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,200,0.42567288741042136,0.3493459032890207,0.0,59,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,201,0.43889319339466926,0.3543244531539642,0.0,69,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,202,0.6082403409625405,0.2686975737225606,0.0,67,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,203,0.45210678930899556,0.32837243790053494,0.0,63,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,204,0.6126229384462913,0.2888970781965009,0.0,65,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,205,0.53960643830881,0.2776386039520481,0.0,50,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,206,0.529038814758635,0.31147714633758805,0.0,53,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,207,0.55315038749569,0.28398919548752716,0.0,51,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,208,0.6221938863969694,0.24824553916647338,0.0,59,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC70,209,0.6139334459704132,0.27447289102889233,0.0,46,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC80,200,0.5366662980998342,0.2962686920074036,0.0,42,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC80,201,0.5832115172852719,0.2640220327313172,0.0,63,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC80,202,0.6372995015558444,0.25763834514201633,0.0,60,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC80,203,0.45404835788886483,0.36369895662306023,0.0,49,46.034200000000006,0.0889631118
2,GA_Energy_Dominance_PC80,204,0.6497027308693604,0.19909318483727145,0.0,82,46.034200000000006,0.0889631118
