Algorithm,Seed,Makespan,Energy,IsUniversalPareto
FirstAvailable,200,480.000000,1.254080247,false
FirstAvailable,201,480.000000,1.254080247,false
FirstAvailable,202,480.000000,1.254080247,false
FirstAvailable,203,480.000000,1.254080247,false
FirstAvailable,204,480.000000,1.254080247,false
FirstAvailable,205,480.000000,1.254080247,false
FirstAvailable,206,480.000000,1.254080247,false
FirstAvailable,207,480.000000,1.254080247,false
FirstAvailable,208,480.000000,1.254080247,false
FirstAvailable,209,480.000000,1.254080247,false
ShortestQueue,200,200.000000,0.547591531,false
ShortestQueue,201,200.000000,0.547591531,false
ShortestQueue,202,200.000000,0.547591531,false
ShortestQueue,203,200.000000,0.547591531,false
ShortestQueue,204,200.000000,0.547591531,false
ShortestQueue,205,200.000000,0.547591531,false
ShortestQueue,206,200.000000,0.547591531,false
ShortestQueue,207,200.000000,0.547591531,false
ShortestQueue,208,200.000000,0.547591531,false
ShortestQueue,209,200.000000,0.547591531,false
WorkloadAware,200,21.000000,0.378292315,false
WorkloadAware,201,21.000000,0.378292315,false
WorkloadAware,202,21.000000,0.378292315,false
WorkloadAware,203,21.000000,0.378292315,false
WorkloadAware,204,21.000000,0.378292315,false
WorkloadAware,205,21.000000,0.378292315,false
WorkloadAware,206,21.000000,0.378292315,false
WorkloadAware,207,21.000000,0.378292315,false
WorkloadAware,208,21.000000,0.378292315,false
WorkloadAware,209,21.000000,0.378292315,false
EnergyAware,200,20.000000,0.264758551,true
EnergyAware,201,20.000000,0.264758551,true
EnergyAware,202,20.000000,0.264758551,true
EnergyAware,203,20.000000,0.264758551,true
EnergyAware,204,20.000000,0.264758551,true
EnergyAware,205,20.000000,0.264758551,true
EnergyAware,206,20.000000,0.264758551,true
EnergyAware,207,20.000000,0.264758551,true
EnergyAware,208,20.000000,0.264758551,true
EnergyAware,209,20.000000,0.264758551,true
RoundRobin,200,240.000000,0.581275975,false
RoundRobin,201,240.000000,0.581275975,false
RoundRobin,202,240.000000,0.581275975,false
RoundRobin,203,240.000000,0.581275975,false
RoundRobin,204,240.000000,0.581275975,false
RoundRobin,205,240.000000,0.581275975,false
RoundRobin,206,240.000000,0.581275975,false
RoundRobin,207,240.000000,0.581275975,false
RoundRobin,208,240.000000,0.581275975,false
RoundRobin,209,240.000000,0.581275975,false
GA_Makespan,200,16.000000,0.417645092,false
GA_Makespan,201,16.000000,0.423373158,false
GA_Makespan,202,16.000000,0.425575739,false
GA_Makespan,203,16.000000,0.435329757,false
GA_Makespan,204,17.000000,0.386923361,false
GA_Makespan,205,16.000000,0.417126779,false
GA_Makespan,206,16.000000,0.416931632,false
