Algorithm,Seed,Makespan,Energy,IsUniversalPareto
GA_Makespan_Dominance,200,20.000000,0.532646169,false
GA_Makespan_Dominance,200,17.000000,0.542805360,false
GA_Makespan_Dominance,200,18.000000,0.538900715,false
GA_Makespan_Dominance,200,15.000000,0.546477194,false
GA_Makespan_Dominance,200,19.000000,0.533498456,false
GA_Makespan_Dominance,200,16.000000,0.543261605,false
GA_Makespan_Dominance,201,19.000000,0.537162202,false
GA_Makespan_Dominance,201,14.000000,0.623901965,false
GA_Makespan_Dominance,201,15.000000,0.570374685,false
GA_Makespan_Dominance,201,17.000000,0.553284687,false
GA_Makespan_Dominance,201,16.000000,0.561694705,false
GA_Makespan_Dominance,202,19.000000,0.537162202,false
GA_Makespan_Dominance,202,18.000000,0.540647590,false
GA_Makespan_Dominance,202,14.000000,0.598453416,false
GA_Makespan_Dominance,202,15.000000,0.567434858,false
GA_Makespan_Dominance,202,16.000000,0.558332708,false
GA_Makespan_Dominance,202,17.000000,0.549536226,false
GA_Makespan_Dominance,203,18.000000,0.529424906,false
GA_Makespan_Dominance,203,16.000000,0.536614017,false
GA_Makespan_Dominance,203,15.000000,0.544096375,false
GA_Makespan_Dominance,203,17.000000,0.532815294,false
GA_Makespan_Dominance,204,19.000000,0.537162202,false
GA_Makespan_Dominance,204,18.000000,0.555523639,false
GA_Makespan_Dominance,204,14.000000,0.604623877,false
GA_Makespan_Dominance,204,16.000000,0.569931157,false
GA_Makespan_Dominance,204,15.000000,0.575204538,false
GA_Makespan_Dominance,204,17.000000,0.562897021,false
GA_Makespan_Dominance,205,19.000000,0.537162202,false
GA_Makespan_Dominance,205,23.000000,0.529603037,false
GA_Makespan_Dominance,205,18.000000,0.552397202,false
GA_Makespan_Dominance,205,17.000000,0.557034456,false
GA_Makespan_Dominance,205,15.000000,0.572354450,false
GA_Makespan_Dominance,205,16.000000,0.565852080,false
GA_Makespan_Dominance,206,19.000000,0.535301517,false
GA_Makespan_Dominance,206,20.000000,0.533449738,false
GA_Makespan_Dominance,206,18.000000,0.540356365,false
GA_Makespan_Dominance,206,17.000000,0.545832692,false
GA_Makespan_Dominance,206,16.000000,0.551921821,false
GA_Makespan_Dominance,206,15.000000,0.560770692,false
GA_Makespan_Dominance,207,16.000000,0.550535402,false
GA_Makespan_Dominance,207,15.000000,0.555374959,false
GA_Makespan_Dominance,207,18.000000,0.533759128,false
GA_Makespan_Dominance,207,17.000000,0.547052024,false
GA_Makespan_Dominance,208,35.000000,0.529163838,false
GA_Makespan_Dominance,208,20.000000,0.531028289,false
GA_Makespan_Dominance,208,18.000000,0.532926858,false
GA_Makespan_Dominance,208,17.000000,0.538943777,false
GA_Makespan_Dominance,208,15.000000,0.551040982,false
GA_Makespan_Dominance,208,16.000000,0.543650814,false
GA_Makespan_Dominance,209,19.000000,0.537162202,false
GA_Makespan_Dominance,209,17.000000,0.541474022,false
GA_Makespan_Dominance,209,21.000000,0.523303021,false
GA_Makespan_Dominance,209,16.000000,0.563623713,false
GA_Makespan_Dominance,209,14.000000,0.585104917,false
GA_Makespan_Dominance,209,15.000000,0.567833382,false
GA_Energy_Dominance,200,14.000000,0.524818036,false
GA_Energy_Dominance,200,25.000000,0.500184022,false
GA_Energy_Dominance,200,26.000000,0.471199668,false
GA_Energy_Dominance,200,28.000000,0.419710686,false
GA_Energy_Dominance,200,29.000000,0.398843355,false
GA_Energy_Dominance,200,30.000000,0.334163664,false
GA_Energy_Dominance,200,32.000000,0.303608980,false
GA_Energy_Dominance,200,33.000000,0.297342103,false
GA_Energy_Dominance,200,35.000000,0.267884150,false
GA_Energy_Dominance,200,34.000000,0.272940427,false
GA_Energy_Dominance,200,37.000000,0.249485876,false
