Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best
1,Balanced,NSGA-II,209,0.338850,0.270297,0.323106,0.045826,22,0,2625,14.000000,0.359163694
1,Balanced,NSGA-II,MEAN,0.314719,0.280459,0.332226,0.032512,,0,2632,14.000000,0.352932289
1,Balanced,SPEA-II,200,0.294756,0.269375,0.343554,0.047434,19,0,3293,14.000000,0.380910894
1,Balanced,SPEA-II,201,0.314205,0.285626,0.348062,0.048761,22,0,3254,14.000000,0.373708823
1,Balanced,SPEA-II,202,0.291511,0.253405,0.355424,0.018228,18,0,3228,14.000000,0.387862275
1,Balanced,SPEA-II,203,0.300053,0.264238,0.338207,0.054886,19,0,3294,14.000000,0.386525792
1,Balanced,SPEA-II,204,0.297325,0.249717,0.353660,0.029154,18,0,3304,14.000000,0.379955495
1,Balanced,SPEA-II,205,0.298666,0.258611,0.342743,0.028051,19,0,3317,14.000000,0.383707767
1,Balanced,SPEA-II,206,0.324151,0.248617,0.319049,0.037447,21,0,3332,14.000000,0.376358266
1,Balanced,SPEA-II,207,0.337180,0.226654,0.293209,0.048695,14,0,3256,14.000000,0.377430289
1,Balanced,SPEA-II,208,0.324251,0.260194,0.327633,0.026787,20,0,3211,14.000000,0.366218476
1,Balanced,SPEA-II,209,0.292845,0.263725,0.343220,0.074434,16,0,3228,14.000000,0.382759414
1,Balanced,SPEA-II,MEAN,0.307494,0.258016,0.336476,0.041388,,0,3271,14.000000,0.366218476
1,Balanced,AMOSA,200,0.056871,0.210504,0.575615,0.072260,7,0,4348,14.000000,0.502983885
1,Balanced,AMOSA,201,0.065530,0.179749,0.571157,0.229431,9,0,4317,14.000000,0.499545558
1,Balanced,AMOSA,202,0.061858,0.109278,0.582392,0.102181,6,0,4321,14.000000,0.501406037
1,Balanced,AMOSA,203,0.044267,0.216443,0.588689,0.052160,7,0,4330,14.000000,0.508899448
1,Balanced,AMOSA,204,0.060345,0.151576,0.578209,0.086265,5,0,4329,14.000000,0.503315059
1,Balanced,AMOSA,205,0.067138,0.190364,0.569519,0.010527,9,0,4338,14.000000,0.498034634
1,Balanced,AMOSA,206,0.061581,0.143239,0.589776,0.019120,9,0,4352,14.000000,0.501733650
1,Balanced,AMOSA,207,0.075801,0.153069,0.568876,0.045129,10,0,4331,14.000000,0.493391369
1,Balanced,AMOSA,208,0.067613,0.177586,0.570752,0.060690,6,0,4336,14.000000,0.494960290
1,Balanced,AMOSA,209,0.064015,0.202778,0.574789,0.038117,7,0,4340,14.000000,0.500237238
1,Balanced,AMOSA,MEAN,0.062502,0.173459,0.576977,0.071588,,0,4334,14.000000,0.493391369
2,GPU_Stress,GA_Makespan_Dominance,200,0.246588,0.135556,0.451764,0.025676,7,0,2358,17.000000,0.645248343
2,GPU_Stress,GA_Makespan_Dominance,201,0.251315,0.120319,0.455311,0.017242,8,0,2013,17.000000,0.645781535
2,GPU_Stress,GA_Makespan_Dominance,202,0.238671,0.126084,0.452895,0.037984,8,0,1957,17.000000,0.646290373
2,GPU_Stress,GA_Makespan_Dominance,203,0.243654,0.134271,0.452977,0.019120,9,0,1962,17.000000,0.646290373
2,GPU_Stress,GA_Makespan_Dominance,204,0.240533,0.140993,0.453444,0.018058,8,0,1976,17.000000,0.646290373
2,GPU_Stress,GA_Makespan_Dominance,205,0.250332,0.153308,0.457085,0.009578,8,0,1950,18.000000,0.646290373
2,GPU_Stress,GA_Makespan_Dominance,206,0.251292,0.135080,0.443939,0.034362,8,0,1975,17.000000,0.638706086
