Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
AMOSA,202,0.462145,0.007520,0.137872,0.007675,22,22,5,4121
AMOSA,203,0.457565,0.010559,0.132661,0.012728,17,17,1,4137
AMOSA,204,0.448751,0.012261,0.132960,0.025419,20,20,0,4146
AMOSA,205,0.460022,0.014939,0.130318,0.010367,26,26,0,4147
AMOSA,206,0.451034,0.015548,0.126043,0.025331,26,26,0,4134
AMOSA,207,0.457316,0.009940,0.143827,0.006382,24,24,1,4141
AMOSA,208,0.452024,0.011852,0.130758,0.019481,21,21,1,4185
AMOSA,209,0.453768,0.015480,0.124723,0.027309,19,19,1,4151
AMOSA,MEAN,0.455736,0.012036,0.133945,0.015492,22,22,10,4142
AMOSA,STDDEV,0.005612,0.002610,0.006081,0.007749,,,,
Universal_Pareto,ALL,0.815494,0.000000,0.000000,0.000000,112,112,112,0
