Algorithm,Seed,WaitingTime,Energy,PeakPowerWatts,IsUniversalPareto
GA_WaitingTime_Dominance,206,1.774000,0.045661409,15804.947,false
GA_WaitingTime_Dominance,206,1.766000,0.045688922,15790.924,false
GA_WaitingTime_Dominance,206,1.776000,0.045632318,15678.573,false
GA_WaitingTime_Dominance,206,1.504000,0.045854128,17146.282,false
GA_WaitingTime_Dominance,206,1.468000,0.046105012,17097.262,false
GA_WaitingTime_Dominance,206,1.478000,0.045966257,17205.402,false
GA_WaitingTime_Dominance,206,1.458000,0.046256552,17445.171,false
GA_WaitingTime_Dominance,206,1.426000,0.046658947,17276.002,false
GA_WaitingTime_Dominance,206,1.428000,0.046382037,17400.291,false
GA_WaitingTime_Dominance,206,1.452000,0.046350577,17214.754,false
GA_WaitingTime_Dominance,207,4.728000,0.044710318,14835.337,false
GA_WaitingTime_Dominance,207,4.986000,0.044402017,14932.765,false
GA_WaitingTime_Dominance,207,4.372000,0.045097699,15513.467,false
GA_WaitingTime_Dominance,207,1.512000,0.045206786,16774.062,false
GA_WaitingTime_Dominance,207,1.472000,0.045310948,16780.192,false
GA_WaitingTime_Dominance,207,1.502000,0.045220246,16628.747,false
GA_WaitingTime_Dominance,207,1.452000,0.045389226,16964.688,false
GA_WaitingTime_Dominance,207,1.448000,0.045620102,16839.373,false
GA_WaitingTime_Dominance,207,1.450000,0.045560510,16960.699,false
GA_WaitingTime_Dominance,208,4.530000,0.044744432,16955.421,false
GA_WaitingTime_Dominance,208,3.688000,0.045210484,14801.590,false
GA_WaitingTime_Dominance,208,3.486000,0.045251407,15675.511,false
GA_WaitingTime_Dominance,208,4.000000,0.044976259,16441.677,false
GA_WaitingTime_Dominance,208,1.962000,0.045262462,16376.052,false
GA_WaitingTime_Dominance,208,1.880000,0.045481940,16089.827,false
GA_WaitingTime_Dominance,208,1.892000,0.045427755,16028.747,false
GA_WaitingTime_Dominance,208,1.818000,0.045522204,15871.339,false
GA_WaitingTime_Dominance,208,1.782000,0.045577689,15838.410,false
