Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance,200,0.169225,0.023970,0.491519,0.007847,22,22,0,2024,0.245278,
GA_WaitingTime_Dominance,201,0.134802,0.026758,0.505048,0.017927,13,13,0,2019,0.231151,
GA_WaitingTime_Dominance,202,0.169653,0.045072,0.477594,0.011100,9,9,2,2012,0.262418,
GA_WaitingTime_Dominance,203,0.146528,0.009675,0.511530,0.027882,6,6,3,2020,0.241386,
GA_WaitingTime_Dominance,204,0.133093,0.019732,0.511236,0.024728,18,18,0,2035,0.229735,
GA_WaitingTime_Dominance,205,0.140104,0.013625,0.511342,0.028455,11,11,0,1997,0.235853,
GA_WaitingTime_Dominance,206,0.156245,0.030580,0.493599,0.009079,21,21,0,2008,0.250740,
GA_WaitingTime_Dominance,207,0.159480,0.042559,0.486020,0.013819,9,9,0,2002,0.253687,
GA_WaitingTime_Dominance,208,0.142010,0.026696,0.501240,0.007591,25,25,0,2018,0.237876,
GA_WaitingTime_Dominance,209,0.144959,0.033046,0.504308,0.016122,9,9,0,2044,0.240421,
GA_WaitingTime_Dominance,MEAN,0.149610,0.027171,0.499344,0.016455,14,14,5,2017,0.242855,10
GA_WaitingTime_Dominance,STDDEV,0.012646,0.010765,0.011133,0.007668,,,,,0.009793,
GA_Energy_Dominance,200,0.682747,0.061446,0.082788,0.005947,100,100,1,2864,0.757451,
GA_Energy_Dominance,201,0.670538,0.068765,0.095829,0.005638,88,88,5,2724,0.745378,
GA_Energy_Dominance,202,0.683621,0.050430,0.083744,0.008931,88,88,9,2730,0.746926,
GA_Energy_Dominance,203,0.670980,0.061172,0.091670,0.010644,89,89,0,3077,0.749413,
GA_Energy_Dominance,204,0.689659,0.042726,0.083145,0.007364,93,93,14,2888,0.766081,
GA_Energy_Dominance,205,0.658461,0.074376,0.096799,0.010654,85,85,0,4158,0.738198,
GA_Energy_Dominance,206,0.631757,0.104521,0.116758,0.010265,91,91,0,4006,0.714372,
GA_Energy_Dominance,207,0.700884,0.042468,0.075201,0.005593,97,97,9,4067,0.774786,
GA_Energy_Dominance,208,0.685046,0.048574,0.085233,0.004696,92,92,0,4156,0.752278,
GA_Energy_Dominance,209,0.680814,0.053196,0.088757,0.007527,76,76,21,3878,0.749650,
GA_Energy_Dominance,MEAN,0.675451,0.060767,0.089992,0.007726,90,90,59,3454,0.749453,10
GA_Energy_Dominance,STDDEV,0.018252,0.017713,0.010865,0.002154,,,,,0.015397,
SA_WaitingTime_Dominance,200,0.096505,0.009663,0.561313,0.002117,26,26,0,1780,0.197197,
SA_WaitingTime_Dominance,201,0.131253,0.017613,0.525659,0.003730,24,24,0,1803,0.228311,
SA_WaitingTime_Dominance,202,0.096711,0.009302,0.561438,0.006152,15,15,0,1826,0.197437,
SA_WaitingTime_Dominance,203,0.144717,0.010587,0.519193,0.001228,15,15,9,1997,0.240134,
SA_WaitingTime_Dominance,204,0.101700,0.012392,0.554068,0.002058,28,28,0,2098,0.201914,
SA_WaitingTime_Dominance,205,0.113545,0.014509,0.542166,0.008225,16,16,4,1796,0.212525,
SA_WaitingTime_Dominance,206,0.102921,0.008481,0.554574,0.003540,32,32,0,1806,0.195492,
SA_WaitingTime_Dominance,207,0.111679,0.017359,0.545487,0.002518,25,25,4,1972,0.210833,
SA_WaitingTime_Dominance,208,0.094728,0.008829,0.563026,0.002439,21,21,0,1802,0.195651,
SA_WaitingTime_Dominance,209,0.104324,0.013413,0.550177,0.002088,25,25,2,1757,0.204244,
SA_WaitingTime_Dominance,MEAN,0.109808,0.012215,0.547710,0.003410,23,23,19,1863,0.208374,10
SA_WaitingTime_Dominance,STDDEV,0.015541,0.003246,0.014272,0.002063,,,,,0.014355,
SA_Energy_Dominance,200,0.506998,0.119499,0.234043,0.002988,112,113,0,1976,0.569664,
SA_Energy_Dominance,201,0.557386,0.128254,0.185880,0.003217,119,119,0,1999,0.621759,
SA_Energy_Dominance,202,0.495746,0.098496,0.255687,0.001687,107,109,0,2042,0.555333,
SA_Energy_Dominance,203,0.536902,0.128061,0.211649,0.004747,115,117,0,2052,0.600044,
SA_Energy_Dominance,204,0.560192,0.141537,0.179529,0.003210,127,129,0,2079,0.628300,
SA_Energy_Dominance,205,0.545206,0.101491,0.233302,0.001420,125,127,0,2067,0.601779,
SA_Energy_Dominance,206,0.543257,0.128454,0.223783,0.002634,108,109,0,2028,0.605269,
SA_Energy_Dominance,207,0.562847,0.137271,0.198591,0.004441,83,84,0,2005,0.625914,
SA_Energy_Dominance,208,0.531198,0.167996,0.187405,0.005201,129,129,0,2337,0.611751,
SA_Energy_Dominance,209,0.533200,0.104657,0.234605,0.002909,126,127,0,2009,0.590795,
SA_Energy_Dominance,MEAN,0.537293,0.125572,0.214447,0.003245,115,116,0,2059,0.601061,10
SA_Energy_Dominance,STDDEV,0.020922,0.020001,0.024412,0.001176,,,,,0.022592,
NSGA-II,200,0.559118,0.006226,0.243454,0.006689,45,45,4,5832,0.609505,
NSGA-II,201,0.569114,0.013809,0.234171,0.010844,51,51,2,6457,0.618862,
NSGA-II,202,0.573357,0.016583,0.219523,0.004214,59,59,0,6209,0.623144,
NSGA-II,203,0.556041,0.018818,0.232368,0.004251,56,56,0,5893,0.607284,
NSGA-II,204,0.558024,0.018777,0.225492,0.004638,58,58,0,6214,0.609018,
NSGA-II,205,0.511008,0.013758,0.267194,0.003151,55,55,0,5815,0.566427,
NSGA-II,206,0.539330,0.011152,0.246190,0.003861,48,48,0,6036,0.591832,
NSGA-II,207,0.540927,0.019696,0.246280,0.003641,55,55,0,5979,0.593821,
NSGA-II,208,0.554003,0.011911,0.240886,0.005984,54,54,0,6223,0.605201,
NSGA-II,209,0.528565,0.014613,0.247043,0.005702,50,50,0,5778,0.582237,
