Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_WaitingTime_Dominance,200,0.142155,0.003825,0.532908,0.004888,11,5,2902,2.034000,0.062984048,
1,Balanced,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.545332,0.002200,8,0,2600,2.070000,0.063186210,
1,Balanced,GA_WaitingTime_Dominance,202,0.141879,0.004632,0.534272,0.002887,12,0,2576,2.054000,0.062987047,
1,Balanced,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.536673,0.001901,15,0,2463,2.102000,0.063071110,
1,Balanced,GA_WaitingTime_Dominance,204,0.154396,0.002185,0.527573,0.004604,7,4,2391,2.060000,0.062751894,
1,Balanced,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.532403,0.001878,8,2,2470,2.048000,0.062784192,
1,Balanced,GA_WaitingTime_Dominance,206,0.124352,0.017769,0.538333,0.013952,9,0,2518,2.046000,0.063314733,
1,Balanced,GA_WaitingTime_Dominance,207,0.133832,0.017346,0.533653,0.002632,14,0,3345,2.040000,0.063133772,
1,Balanced,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.540539,0.001925,6,0,3278,2.094000,0.062974361,
1,Balanced,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.538447,0.001776,9,0,3309,2.082000,0.062951770,
1,Balanced,GA_WaitingTime_Dominance,MEAN,0.140389,0.006552,0.536013,0.003864,,11,2785,2.034000,0.062751894,10
1,Balanced,GA_Energy_Dominance,200,0.670386,0.050474,0.087170,0.007008,81,8,3679,4.386000,0.047749904,
1,Balanced,GA_Energy_Dominance,201,0.663752,0.053222,0.090154,0.007900,84,4,3401,4.246000,0.047668823,
1,Balanced,GA_Energy_Dominance,202,0.660903,0.049552,0.099199,0.008122,91,3,5120,4.372000,0.048578448,
1,Balanced,GA_Energy_Dominance,203,0.631744,0.073973,0.111011,0.006291,90,14,5393,4.606000,0.046981777,
1,Balanced,GA_Energy_Dominance,204,0.659463,0.055431,0.094971,0.010147,86,0,6716,4.412000,0.048884587,
1,Balanced,GA_Energy_Dominance,205,0.574173,0.079474,0.171763,0.015186,90,10,4127,4.236000,0.052799077,
1,Balanced,GA_Energy_Dominance,206,0.639703,0.071409,0.116150,0.005822,88,0,5170,4.220000,0.049510916,
1,Balanced,GA_Energy_Dominance,207,0.621824,0.087867,0.111264,0.008924,75,2,4828,4.192000,0.047260939,
1,Balanced,GA_Energy_Dominance,208,0.659955,0.054674,0.095724,0.006079,104,5,4102,4.166000,0.049962177,
1,Balanced,GA_Energy_Dominance,209,0.638501,0.077310,0.108830,0.006808,105,0,4478,4.526000,0.047435093,
1,Balanced,GA_Energy_Dominance,MEAN,0.642040,0.065339,0.108624,0.008229,,46,4701,4.166000,0.046981777,10
1,Balanced,SA_WaitingTime_Dominance,200,0.111274,0.021724,0.546119,0.008665,16,0,2062,1.840000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance,201,0.114541,0.027414,0.540983,0.003509,28,0,1987,1.862000,0.063442500,
1,Balanced,SA_WaitingTime_Dominance,202,0.106507,0.028462,0.548109,0.002841,20,6,1951,1.838000,0.063602724,
1,Balanced,SA_WaitingTime_Dominance,203,0.109426,0.019463,0.547823,0.002238,19,8,2007,1.926000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance,204,0.116659,0.024241,0.542843,0.001654,30,0,2069,1.838000,0.063565358,
1,Balanced,SA_WaitingTime_Dominance,205,0.113478,0.015808,0.544708,0.001626,34,0,2098,1.908000,0.063567351,
1,Balanced,SA_WaitingTime_Dominance,206,0.107400,0.012373,0.547586,0.001313,28,4,1911,1.824000,0.063589900,
1,Balanced,SA_WaitingTime_Dominance,207,0.110490,0.008008,0.545439,0.001109,21,3,1956,1.888000,0.063546807,
1,Balanced,SA_WaitingTime_Dominance,208,0.140138,0.030510,0.533925,0.001993,34,0,1887,1.842000,0.063603419,
1,Balanced,SA_WaitingTime_Dominance,209,0.143719,0.035376,0.529935,0.005080,38,0,1945,1.880000,0.063457154,
1,Balanced,SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.542747,0.003003,,21,1987,1.824000,0.063442500,10
1,Balanced,SA_Energy_Dominance,200,0.555170,0.144363,0.172880,0.003361,110,0,2259,4.566000,0.050847613,
1,Balanced,SA_Energy_Dominance,201,0.582056,0.113507,0.164401,0.003279,137,0,2407,4.242000,0.051295725,
1,Balanced,SA_Energy_Dominance,202,0.515850,0.105276,0.251365,0.002442,84,0,2169,4.412000,0.054376439,
1,Balanced,SA_Energy_Dominance,203,0.526544,0.144186,0.196448,0.004345,107,0,2327,4.486000,0.052710786,
1,Balanced,SA_Energy_Dominance,204,0.538653,0.115215,0.224500,0.003905,100,4,2303,4.214000,0.053534331,
1,Balanced,SA_Energy_Dominance,205,0.511797,0.106938,0.241931,0.002500,109,0,2555,4.188000,0.054317863,
1,Balanced,SA_Energy_Dominance,206,0.514012,0.126616,0.228825,0.002790,90,0,1947,4.432000,0.053821174,
1,Balanced,SA_Energy_Dominance,207,0.549530,0.124365,0.192468,0.002999,121,0,1632,4.424000,0.052416109,
1,Balanced,SA_Energy_Dominance,208,0.547057,0.128175,0.177831,0.003993,96,0,1655,4.694000,0.052000040,
1,Balanced,SA_Energy_Dominance,209,0.586825,0.095618,0.171450,0.002671,113,0,1681,4.522000,0.051879974,
1,Balanced,SA_Energy_Dominance,MEAN,0.542749,0.120426,0.202210,0.003228,,4,2093,4.188000,0.050847613,10
1,Balanced,NSGA-II,200,0.571962,0.013680,0.233841,0.004257,51,1,5873,2.846000,0.054302705,
1,Balanced,NSGA-II,201,0.579581,0.007301,0.260535,0.005065,46,14,6701,3.154000,0.054138843,
1,Balanced,NSGA-II,202,0.538144,0.016776,0.251435,0.003817,45,0,6604,2.864000,0.055058038,
1,Balanced,NSGA-II,203,0.546826,0.010905,0.263738,0.004958,45,0,6738,2.832000,0.054895623,
1,Balanced,NSGA-II,204,0.530475,0.013043,0.265076,0.003776,43,0,6818,2.984000,0.055220431,
1,Balanced,NSGA-II,205,0.546535,0.007620,0.256861,0.003209,49,2,6379,2.936000,0.054929030,
1,Balanced,NSGA-II,206,0.555268,0.011297,0.270657,0.002837,45,0,7470,2.892000,0.054732457,
1,Balanced,NSGA-II,207,0.529557,0.019102,0.261703,0.005250,41,0,6369,2.896000,0.055214503,
1,Balanced,NSGA-II,208,0.524666,0.016253,0.269431,0.004315,43,0,6306,2.958000,0.055322881,
1,Balanced,NSGA-II,209,0.520360,0.004244,0.280950,0.002913,43,21,6211,2.924000,0.055487391,
1,Balanced,NSGA-II,MEAN,0.544337,0.012022,0.261423,0.004040,,38,6546,2.832000,0.054138843,10
1,Balanced,SPEA-II,200,0.449896,0.016930,0.324056,0.001529,41,0,6975,2.698000,0.056907542,
1,Balanced,SPEA-II,201,0.423113,0.017538,0.335580,0.001254,47,0,6829,2.700000,0.057414416,
1,Balanced,SPEA-II,202,0.519627,0.016347,0.279649,0.005747,48,0,6972,2.756000,0.055456686,
1,Balanced,SPEA-II,203,0.318629,0.018115,0.412873,0.002471,29,0,6605,2.694000,0.059510545,
1,Balanced,SPEA-II,204,0.504875,0.001365,0.311691,0.003702,39,22,6829,2.670000,0.055871902,
1,Balanced,SPEA-II,205,0.545179,0.022202,0.252712,0.005376,55,0,7016,2.730000,0.054879529,
1,Balanced,SPEA-II,206,0.477399,0.008416,0.319122,0.002170,38,7,6855,2.706000,0.056394379,
1,Balanced,SPEA-II,207,0.476911,0.027899,0.289692,0.006762,41,0,7033,2.740000,0.056315091,
1,Balanced,SPEA-II,208,0.384195,0.021878,0.367993,0.002318,39,0,6942,2.718000,0.058195897,
1,Balanced,SPEA-II,209,0.468478,0.015647,0.309042,0.003359,46,3,7025,2.624000,0.056561360,
1,Balanced,SPEA-II,MEAN,0.456830,0.016634,0.320241,0.003469,,32,6908,2.624000,0.054879529,10
1,Balanced,AMOSA,200,0.227153,0.034696,0.455444,0.015156,12,0,5486,3.142000,0.061194796,
1,Balanced,AMOSA,201,0.229847,0.046704,0.444496,0.003097,26,0,5461,3.094000,0.061119856,
1,Balanced,AMOSA,202,0.239820,0.041848,0.441933,0.006484,15,0,5821,3.050000,0.060948966,
1,Balanced,AMOSA,203,0.234179,0.043512,0.442763,0.007757,19,0,5617,3.142000,0.061038412,
1,Balanced,AMOSA,204,0.262995,0.042984,0.420692,0.004334,23,0,5805,3.150000,0.060455376,
1,Balanced,AMOSA,205,0.217364,0.036925,0.456336,0.006995,22,0,5603,3.036000,0.061397185,
1,Balanced,AMOSA,206,0.271648,0.054965,0.405562,0.009537,26,0,5490,3.076000,0.060271737,
1,Balanced,AMOSA,207,0.231191,0.050558,0.446005,0.004009,26,0,5452,3.108000,0.061097760,
1,Balanced,AMOSA,208,0.245834,0.044744,0.439947,0.003047,22,0,5607,3.152000,0.060809655,
1,Balanced,AMOSA,209,0.260491,0.034090,0.432633,0.006115,17,0,5461,3.126000,0.060546388,
1,Balanced,AMOSA,MEAN,0.242052,0.043103,0.438581,0.006653,,0,5580,3.036000,0.060271737,10
1,Balanced,GA_WaitingTime_Dominance_PC90,200,0.163204,0.004396,0.523479,0.003045,9,0,9601,2.160000,0.062575093,
1,Balanced,GA_WaitingTime_Dominance_PC90,201,0.140470,0.006600,0.538313,0.004868,7,0,9127,2.158000,0.063005350,
1,Balanced,GA_WaitingTime_Dominance_PC90,202,0.158692,0.017003,0.507906,0.004963,24,0,9084,2.140000,0.062640221,
1,Balanced,GA_WaitingTime_Dominance_PC90,203,0.198896,0.000000,0.503083,0.005894,8,8,9812,2.164000,0.061900522,
1,Balanced,GA_WaitingTime_Dominance_PC90,204,0.152197,0.015373,0.522049,0.003589,13,0,9446,2.100000,0.062774007,
1,Balanced,GA_WaitingTime_Dominance_PC90,205,0.111824,0.022308,0.547026,0.001401,15,0,9288,2.104000,0.063539698,
1,Balanced,GA_WaitingTime_Dominance_PC90,206,0.118819,0.020388,0.543114,0.002592,9,0,9574,2.146000,0.063412641,
1,Balanced,GA_WaitingTime_Dominance_PC90,207,0.140267,0.007231,0.536483,0.001262,11,0,9031,2.124000,0.063011162,
1,Balanced,GA_WaitingTime_Dominance_PC90,208,0.159093,0.003089,0.527046,0.005122,7,0,9232,2.106000,0.062658567,
1,Balanced,GA_WaitingTime_Dominance_PC90,209,0.145307,0.003025,0.536695,0.004019,6,0,9536,2.120000,0.062917672,
1,Balanced,GA_WaitingTime_Dominance_PC90,MEAN,0.148877,0.009941,0.528519,0.003676,,8,9373,2.100000,0.061900522,10
1,Balanced,GA_Energy_Dominance_PC90,200,0.634917,0.076143,0.112535,0.009402,87,0,10495,4.468000,0.047637911,
1,Balanced,GA_Energy_Dominance_PC90,201,0.647331,0.061649,0.097006,0.011387,86,0,10321,4.458000,0.048615669,
1,Balanced,GA_Energy_Dominance_PC90,202,0.649728,0.070920,0.102275,0.005755,99,0,10374,4.318000,0.048876811,
1,Balanced,GA_Energy_Dominance_PC90,203,0.646030,0.060114,0.106067,0.006546,83,0,10618,4.184000,0.049057134,
1,Balanced,GA_Energy_Dominance_PC90,204,0.621802,0.087361,0.109027,0.010861,83,0,10488,4.898000,0.047954420,
1,Balanced,GA_Energy_Dominance_PC90,205,0.680547,0.041887,0.087939,0.006937,99,25,10192,4.352000,0.048359984,
1,Balanced,GA_Energy_Dominance_PC90,206,0.643439,0.069201,0.107348,0.004674,92,0,9957,4.140000,0.049576424,
1,Balanced,GA_Energy_Dominance_PC90,207,0.619905,0.071200,0.139586,0.009912,81,9,9800,4.382000,0.050960682,
1,Balanced,GA_Energy_Dominance_PC90,208,0.610095,0.059524,0.135237,0.004065,104,0,10021,4.258000,0.051722067,
1,Balanced,GA_Energy_Dominance_PC90,209,0.633084,0.083080,0.107323,0.006435,91,0,10356,4.190000,0.047857078,
1,Balanced,GA_Energy_Dominance_PC90,MEAN,0.638688,0.068108,0.110434,0.007597,,34,10262,4.140000,0.047637911,10
1,Balanced,SA_WaitingTime_Dominance_PC90,200,0.123065,0.018751,0.540513,0.002694,31,0,6643,2.024000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance_PC90,201,0.129730,0.030206,0.526363,0.003947,23,0,6750,2.100000,0.063161753,
1,Balanced,SA_WaitingTime_Dominance_PC90,202,0.119325,0.023730,0.542926,0.002289,23,0,6615,2.114000,0.063602724,
1,Balanced,SA_WaitingTime_Dominance_PC90,203,0.135561,0.039535,0.516534,0.001699,35,0,6933,1.984000,0.063134815,
1,Balanced,SA_WaitingTime_Dominance_PC90,204,0.110791,0.013656,0.545389,0.001740,20,0,6589,2.066000,0.063565358,
1,Balanced,SA_WaitingTime_Dominance_PC90,205,0.127329,0.014753,0.542856,0.002561,23,0,6626,2.104000,0.063417459,
1,Balanced,SA_WaitingTime_Dominance_PC90,206,0.106790,0.028080,0.548066,0.001982,19,0,6574,2.002000,0.063589900,
1,Balanced,SA_WaitingTime_Dominance_PC90,207,0.110695,0.019849,0.545624,0.001729,25,0,6575,2.052000,0.063546807,
1,Balanced,SA_WaitingTime_Dominance_PC90,208,0.106179,0.024488,0.548915,0.003212,16,0,6611,2.022000,0.063603419,
1,Balanced,SA_WaitingTime_Dominance_PC90,209,0.114443,0.024852,0.541782,0.003529,18,0,7280,2.056000,0.063457154,
1,Balanced,SA_WaitingTime_Dominance_PC90,MEAN,0.118391,0.023790,0.539897,0.002538,,0,6719,1.984000,0.063134815,10
1,Balanced,SA_Energy_Dominance_PC90,200,0.542809,0.145434,0.181329,0.003139,111,0,6553,4.536000,0.051533360,
1,Balanced,SA_Energy_Dominance_PC90,201,0.530023,0.159240,0.193454,0.004109,94,0,6500,4.334000,0.052136626,
1,Balanced,SA_Energy_Dominance_PC90,202,0.523652,0.123600,0.230560,0.004059,101,0,6554,4.192000,0.053737648,
1,Balanced,SA_Energy_Dominance_PC90,203,0.548057,0.122966,0.197036,0.002283,114,0,6652,4.486000,0.052517372,
1,Balanced,SA_Energy_Dominance_PC90,204,0.518060,0.109668,0.226676,0.002247,89,0,6703,4.172000,0.053979546,
1,Balanced,SA_Energy_Dominance_PC90,205,0.490952,0.157242,0.224388,0.004744,102,0,7156,4.470000,0.053534521,
1,Balanced,SA_Energy_Dominance_PC90,206,0.515789,0.126552,0.235770,0.006083,74,0,6639,4.390000,0.053885834,
1,Balanced,SA_Energy_Dominance_PC90,207,0.538786,0.140668,0.200569,0.005015,86,0,6528,4.728000,0.052551008,
1,Balanced,SA_Energy_Dominance_PC90,208,0.505599,0.177721,0.204892,0.005803,114,0,6675,4.510000,0.052272291,
1,Balanced,SA_Energy_Dominance_PC90,209,0.555915,0.121313,0.195085,0.003018,107,0,6582,4.594000,0.052369989,
1,Balanced,SA_Energy_Dominance_PC90,MEAN,0.526964,0.138440,0.208976,0.004050,,0,6654,4.172000,0.051533360,10
1,Balanced,NSGA-II_PC90,200,0.544175,0.018294,0.249069,0.004723,45,0,12794,2.976000,0.054916048,
