CapTier,CapWatts,WaitingTime,Energy
Uncapped,,25.406000,0.029942072
Uncapped,,25.874000,0.029877093
Uncapped,,26.172000,0.029868888
Uncapped,,26.784000,0.029852208
Uncapped,,27.226000,0.029842658
PC90,15824.323,1.392000,0.045465986
PC90,15824.323,1.404000,0.045452880
PC90,15824.323,1.406000,0.045394426
PC90,15824.323,1.420000,0.045292439
PC90,15824.323,1.424000,0.045170921
PC90,15824.323,1.526000,0.045069918
PC90,15824.323,1.534000,0.045045720
PC90,15824.323,1.536000,0.044796802
PC90,15824.323,1.544000,0.044782174
PC90,15824.323,1.546000,0.044767104
PC90,15824.323,1.554000,0.044756140
PC90,15824.323,1.558000,0.044746106
PC90,15824.323,1.562000,0.044745473
PC90,15824.323,1.564000,0.044738422
PC90,15824.323,1.566000,0.044670185
PC90,15824.323,1.942000,0.044515250
PC90,15824.323,1.978000,0.044495371
PC90,15824.323,1.980000,0.044016102
PC90,15824.323,1.984000,0.039952223
PC90,15824.323,2.030000,0.039860784
PC90,15824.323,2.044000,0.039768148
PC90,15824.323,2.064000,0.039672206
PC90,15824.323,2.094000,0.039662341
PC90,15824.323,2.108000,0.039624700
PC90,15824.323,2.120000,0.039561908
PC90,15824.323,2.128000,0.039439234
PC90,15824.323,2.130000,0.039350519
PC90,15824.323,2.158000,0.039263219
PC90,15824.323,2.184000,0.039198061
PC90,15824.323,2.188000,0.039065413
PC90,15824.323,2.208000,0.039004618
PC90,15824.323,2.246000,0.038892201
PC90,15824.323,2.280000,0.038723797
PC90,15824.323,2.310000,0.038709686
PC90,15824.323,2.350000,0.038677718
PC90,15824.323,2.390000,0.038616241
PC90,15824.323,2.414000,0.038580372
PC90,15824.323,2.446000,0.038552393
PC90,15824.323,2.462000,0.038483080
PC90,15824.323,2.466000,0.038434278
PC90,15824.323,2.472000,0.038343379
PC90,15824.323,2.530000,0.038337086
PC90,15824.323,2.556000,0.038253917
PC90,15824.323,2.574000,0.038215022
PC90,15824.323,2.618000,0.038132465
PC90,15824.323,2.662000,0.038024915
PC90,15824.323,2.724000,0.037973041
PC90,15824.323,2.800000,0.037956267
PC90,15824.323,2.808000,0.037884454
PC90,15824.323,2.862000,0.037883472
PC90,15824.323,2.866000,0.037796384
PC90,15824.323,2.894000,0.037739886
PC90,15824.323,2.972000,0.037709101
PC90,15824.323,3.012000,0.037671514
PC90,15824.323,3.038000,0.037478055
PC90,15824.323,3.172000,0.037366263
PC90,15824.323,3.256000,0.037297776
PC90,15824.323,3.292000,0.037287464
PC90,15824.323,3.324000,0.037226384
PC90,15824.323,3.350000,0.037207073
PC90,15824.323,3.392000,0.037145640
PC90,15824.323,3.408000,0.037137934
PC90,15824.323,3.446000,0.037105984
PC90,15824.323,3.474000,0.037068622
PC90,15824.323,3.520000,0.037018305
PC90,15824.323,3.536000,0.037009630
PC90,15824.323,3.582000,0.036942361
PC90,15824.323,3.622000,0.036895193
PC90,15824.323,3.750000,0.036872720
PC90,15824.323,3.772000,0.036798929
PC90,15824.323,3.878000,0.036749908
PC90,15824.323,3.892000,0.036727347
PC90,15824.323,3.964000,0.036611840
PC90,15824.323,4.044000,0.036574416
PC90,15824.323,4.120000,0.036532408
PC90,15824.323,4.218000,0.036475314
PC90,15824.323,4.224000,0.036432326
PC90,15824.323,4.304000,0.036391971
PC90,15824.323,4.344000,0.036391148
PC90,15824.323,4.348000,0.036388897
PC90,15824.323,4.400000,0.036374024
PC90,15824.323,4.414000,0.036350744
PC90,15824.323,4.472000,0.036283296
PC90,15824.323,4.476000,0.036274104
PC90,15824.323,4.574000,0.036271237
PC90,15824.323,4.578000,0.036131193
PC90,15824.323,4.778000,0.036079741
PC90,15824.323,4.852000,0.036009768
PC90,15824.323,4.942000,0.035991214
PC90,15824.323,5.030000,0.035959454
PC90,15824.323,5.134000,0.035904489
PC90,15824.323,5.382000,0.035855226
PC90,15824.323,5.516000,0.035803852
PC90,15824.323,5.612000,0.035769054
PC90,15824.323,9.506000,0.035730196
PC90,15824.323,9.666000,0.035718371
PC90,15824.323,9.718000,0.035579346
PC90,15824.323,9.858000,0.035485654
PC90,15824.323,10.362000,0.035352638
PC90,15824.323,10.394000,0.035188070
PC90,15824.323,10.530000,0.035098313
PC90,15824.323,10.654000,0.034834917
PC90,15824.323,10.734000,0.034720441
PC90,15824.323,10.836000,0.034612762
PC90,15824.323,11.054000,0.034588988
PC90,15824.323,11.144000,0.034572741
PC90,15824.323,11.268000,0.034422926
PC90,15824.323,11.576000,0.034266513
PC90,15824.323,11.826000,0.034210046
PC90,15824.323,11.988000,0.034160408
PC90,15824.323,12.202000,0.034063713
PC90,15824.323,12.308000,0.033938952
PC90,15824.323,12.434000,0.033920340
PC90,15824.323,12.710000,0.033844612
PC90,15824.323,12.832000,0.033790013
PC90,15824.323,12.964000,0.033787796
PC90,15824.323,13.110000,0.033775070
PC90,15824.323,13.166000,0.033635690
PC90,15824.323,13.658000,0.033562700
PC90,15824.323,13.802000,0.033332107
PC90,15824.323,14.152000,0.033306375
PC90,15824.323,14.324000,0.033226271
PC90,15824.323,14.466000,0.033210094
PC90,15824.323,14.670000,0.033178980
PC90,15824.323,14.762000,0.033140275
PC90,15824.323,14.984000,0.033131884
PC90,15824.323,14.994000,0.033110861
PC90,15824.323,15.114000,0.033085436
PC90,15824.323,15.140000,0.033067850
PC90,15824.323,15.250000,0.032995586
PC90,15824.323,15.274000,0.032919656
PC90,15824.323,15.406000,0.032917623
PC90,15824.323,15.596000,0.032835479
PC90,15824.323,15.730000,0.032620748
PC90,15824.323,15.954000,0.032580595
PC90,15824.323,16.130000,0.032464627
PC90,15824.323,16.408000,0.032417226
PC90,15824.323,16.560000,0.032412347
PC90,15824.323,16.728000,0.032409430
PC90,15824.323,17.246000,0.032399028
PC90,15824.323,17.482000,0.032370220
PC90,15824.323,17.698000,0.032174281
PC90,15824.323,17.894000,0.032149762
PC90,15824.323,17.922000,0.032014100
PC90,15824.323,18.130000,0.031949131
PC90,15824.323,18.310000,0.031825993
PC90,15824.323,18.566000,0.031760478
PC90,15824.323,18.850000,0.031720309
PC90,15824.323,19.168000,0.031612191
PC90,15824.323,19.412000,0.031542434
PC90,15824.323,19.974000,0.031508801
PC90,15824.323,20.182000,0.031501722
PC90,15824.323,20.374000,0.031496511
PC90,15824.323,21.116000,0.031446205
PC90,15824.323,21.334000,0.031444227
PC90,15824.323,21.588000,0.031438512
PC90,15824.323,21.600000,0.031382295
PC90,15824.323,21.832000,0.031345939
PC90,15824.323,22.156000,0.031322769
PC90,15824.323,22.408000,0.031113080
PC90,15824.323,22.792000,0.031068195
PC90,15824.323,22.900000,0.030998880
PC90,15824.323,22.936000,0.030906565
