CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
Uncapped,,GA_WaitingTime_Dominance,200,0.142155,0.003271,0.536205,0.004888,11,11,5,2902,0.249690,
Uncapped,,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.548643,0.002200,8,8,0,2600,0.240071,
Uncapped,,GA_WaitingTime_Dominance,202,0.141879,0.004383,0.537565,0.002887,12,12,0,2576,0.249386,
Uncapped,,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.539862,0.001901,15,15,0,2463,0.245071,
Uncapped,,GA_WaitingTime_Dominance,204,0.154396,0.000622,0.531055,0.004604,7,7,5,2391,0.260309,
Uncapped,,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.535969,0.001878,8,8,2,2470,0.258902,
Uncapped,,GA_WaitingTime_Dominance,206,0.124352,0.017590,0.541278,0.013952,9,9,0,2518,0.234098,
Uncapped,,GA_WaitingTime_Dominance,207,0.133832,0.016575,0.536507,0.002632,14,14,0,3345,0.242427,
Uncapped,,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.544043,0.001925,6,6,0,3278,0.249733,
Uncapped,,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.541894,0.001776,9,9,0,3309,0.250866,
Uncapped,,GA_WaitingTime_Dominance,MEAN,0.140389,0.006220,0.539302,0.003864,10,10,12,2785,0.248055,10
Uncapped,,GA_WaitingTime_Dominance,STDDEV,0.008733,0.005949,0.004693,0.003529,,,,,0.007630,
Uncapped,,GA_Energy_Dominance,200,0.670386,0.045318,0.089408,0.007008,81,81,18,3679,0.734021,
Uncapped,,GA_Energy_Dominance,201,0.663752,0.047620,0.092243,0.007900,84,84,18,3401,0.729960,
Uncapped,,GA_Energy_Dominance,202,0.660903,0.043820,0.101543,0.008122,91,91,13,5120,0.721950,
Uncapped,,GA_Energy_Dominance,203,0.631744,0.070120,0.113704,0.006291,90,90,14,5393,0.708198,
Uncapped,,GA_Energy_Dominance,204,0.659463,0.050105,0.096048,0.010147,86,86,0,6716,0.718896,
Uncapped,,GA_Energy_Dominance,205,0.574173,0.078389,0.168910,0.015186,90,90,13,4127,0.631355,
Uncapped,,GA_Energy_Dominance,206,0.639703,0.068529,0.119063,0.005822,88,88,0,5170,0.700838,
Uncapped,,GA_Energy_Dominance,207,0.621824,0.082903,0.113303,0.008924,75,75,2,4828,0.700540,
Uncapped,,GA_Energy_Dominance,208,0.659955,0.052711,0.095826,0.006079,104,104,15,4102,0.713854,
Uncapped,,GA_Energy_Dominance,209,0.638501,0.072955,0.110310,0.006808,105,105,0,4478,0.700681,
Uncapped,,GA_Energy_Dominance,MEAN,0.642040,0.061247,0.110036,0.008229,89,89,93,4701,0.706029,10
Uncapped,,GA_Energy_Dominance,STDDEV,0.027192,0.014042,0.021872,0.002653,,,,,0.027392,
Uncapped,,SA_WaitingTime_Dominance,200,0.111274,0.021724,0.548636,0.008665,16,16,0,2062,0.219920,
Uncapped,,SA_WaitingTime_Dominance,201,0.114541,0.027414,0.543414,0.003509,28,28,0,1987,0.226547,
Uncapped,,SA_WaitingTime_Dominance,202,0.106507,0.028462,0.550591,0.002841,20,20,6,1951,0.219556,
Uncapped,,SA_WaitingTime_Dominance,203,0.109426,0.019463,0.550351,0.002238,19,19,8,2007,0.221618,
Uncapped,,SA_WaitingTime_Dominance,204,0.116659,0.024241,0.545284,0.001654,30,30,0,2069,0.221228,
Uncapped,,SA_WaitingTime_Dominance,205,0.113478,0.015808,0.547161,0.001626,34,34,0,2098,0.221806,
Uncapped,,SA_WaitingTime_Dominance,206,0.107400,0.012373,0.550071,0.001313,28,28,4,1911,0.220367,
Uncapped,,SA_WaitingTime_Dominance,207,0.110490,0.008008,0.547908,0.001109,21,22,3,1956,0.222740,
Uncapped,,SA_WaitingTime_Dominance,208,0.140138,0.030510,0.536259,0.001993,34,34,0,1887,0.218767,
Uncapped,,SA_WaitingTime_Dominance,209,0.143719,0.035376,0.532331,0.005080,38,38,0,1945,0.224569,
Uncapped,,SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.545201,0.003003,27,27,21,1987,0.221712,10
Uncapped,,SA_WaitingTime_Dominance,STDDEV,0.012654,0.008122,0.005925,0.002200,,,,,0.002263,
Uncapped,,SA_Energy_Dominance,200,0.555170,0.142313,0.178886,0.003361,110,111,0,2259,0.627088,
Uncapped,,SA_Energy_Dominance,201,0.582056,0.111989,0.165062,0.003279,137,139,0,2407,0.646209,
Uncapped,,SA_Energy_Dominance,202,0.515850,0.105320,0.246831,0.002442,84,87,0,2169,0.576850,
Uncapped,,SA_Energy_Dominance,203,0.526544,0.142531,0.196297,0.004345,107,109,0,2327,0.594549,
Uncapped,,SA_Energy_Dominance,204,0.538653,0.115126,0.222449,0.003905,100,101,4,2303,0.599976,
Uncapped,,SA_Energy_Dominance,205,0.511797,0.106404,0.238045,0.002500,109,110,0,2555,0.574945,
Uncapped,,SA_Energy_Dominance,206,0.514012,0.125757,0.226388,0.002790,90,91,0,1947,0.578641,
Uncapped,,SA_Energy_Dominance,207,0.549530,0.123742,0.193150,0.002999,121,122,0,1632,0.614077,
Uncapped,,SA_Energy_Dominance,208,0.547057,0.125689,0.179653,0.003993,96,96,0,1655,0.613619,
Uncapped,,SA_Energy_Dominance,209,0.586825,0.094442,0.170131,0.002671,113,114,0,1681,0.645353,
Uncapped,,SA_Energy_Dominance,MEAN,0.542749,0.119331,0.201689,0.003228,107,108,4,2093,0.607131,10
