Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
NSGA-II,206,0.541385,0.033322,0.170053,0.002894,59,59,0,4587,0.634719,
NSGA-II,207,0.536698,0.030041,0.187876,0.002878,51,51,0,4459,0.628836,
NSGA-II,208,0.471246,0.018112,0.240126,0.002891,38,38,0,4755,0.577827,
NSGA-II,209,0.537493,0.028727,0.183727,0.003062,42,42,0,6364,0.629390,
NSGA-II,MEAN,0.531549,0.024887,0.188469,0.003420,48,48,33,5515,0.624900,10
NSGA-II,STDDEV,0.030140,0.008311,0.024787,0.000855,,,,,0.023643,
SPEA-II,200,0.499043,0.027704,0.233098,0.003365,40,40,0,7024,0.600525,
SPEA-II,201,0.453730,0.029417,0.247640,0.003463,37,37,0,6508,0.564953,
SPEA-II,202,0.434344,0.000000,0.279138,0.003747,31,31,31,5782,0.551495,
SPEA-II,203,0.450083,0.046104,0.239992,0.001952,34,34,0,6530,0.561251,
SPEA-II,204,0.443597,0.034108,0.250031,0.002480,30,30,0,6500,0.556623,
SPEA-II,205,0.509164,0.026325,0.210569,0.003091,47,47,0,6345,0.609335,
SPEA-II,206,0.538281,0.020601,0.199609,0.003274,41,41,0,6567,0.631391,
SPEA-II,207,0.416038,0.015533,0.285354,0.001350,34,34,0,5996,0.535794,
SPEA-II,208,0.505732,0.035279,0.206307,0.002218,45,45,0,6358,0.605240,
SPEA-II,209,0.487349,0.010413,0.230707,0.003714,36,36,13,6710,0.590804,
SPEA-II,MEAN,0.473736,0.024548,0.238244,0.002865,38,38,44,6432,0.580741,10
SPEA-II,STDDEV,0.037443,0.012678,0.027357,0.000776,,,,,0.029261,
AMOSA,200,0.268174,0.063616,0.345111,0.004161,15,15,0,5634,0.414771,
AMOSA,201,0.261338,0.084481,0.348572,0.003213,14,14,0,5530,0.409171,
AMOSA,202,0.246634,0.077450,0.356370,0.004813,9,9,0,5486,0.397447,
AMOSA,203,0.280969,0.060651,0.340621,0.003188,23,23,0,5624,0.424501,
AMOSA,204,0.262510,0.046109,0.360813,0.003716,8,8,0,5532,0.410036,
AMOSA,205,0.280483,0.052921,0.340860,0.006431,13,13,0,5574,0.424130,
AMOSA,206,0.282671,0.073338,0.328435,0.008428,18,18,0,5643,0.425815,
AMOSA,207,0.272663,0.071577,0.336049,0.006838,17,17,0,5899,0.418196,
AMOSA,208,0.269039,0.059286,0.340110,0.011307,17,17,0,5746,0.414911,
AMOSA,209,0.281954,0.058652,0.330388,0.012031,19,19,0,4015,0.425261,
AMOSA,MEAN,0.270643,0.064808,0.342733,0.006413,15,15,0,5468,0.416424,10
AMOSA,STDDEV,0.011036,0.011151,0.009844,0.003087,,,,,0.008675,
GA_WaitingTime_Dominance_PC90,200,0.058433,0.094431,0.482959,0.059400,7,7,0,10939,0.261773,
GA_WaitingTime_Dominance_PC90,201,0.059084,0.021472,0.514547,0.004242,10,10,0,10571,0.262193,
GA_WaitingTime_Dominance_PC90,202,0.087199,0.074652,0.462081,0.043044,14,14,0,10275,0.284421,
