Scenario,ScenarioName,Algorithm,CapWatts,NumSeeds,MeanFeasibilityRate,StdFeasibilityRate,MinFeasibilityRate,MaxFeasibilityRate,TotalSolutionsAcrossSeeds,TotalFeasibleAcrossSeeds
1,Balanced,GA_WaitingTime_Dominance,17685.3,10,0.0325,0.0728,0.0000,0.2143,99,4
1,Balanced,GA_WaitingTime_Dominance,16702.8,10,0.0000,0.0000,0.0000,0.0000,99,0
1,Balanced,GA_WaitingTime_Dominance,15720.3,10,0.0000,0.0000,0.0000,0.0000,99,0
1,Balanced,GA_WaitingTime_Dominance,14737.8,10,0.0000,0.0000,0.0000,0.0000,99,0
1,Balanced,GA_Energy_Dominance,17685.3,10,0.9618,0.0350,0.9011,0.9904,894,861
1,Balanced,GA_Energy_Dominance,16702.8,10,0.8272,0.0577,0.7143,0.9333,894,740
1,Balanced,GA_Energy_Dominance,15720.3,10,0.6097,0.0719,0.4643,0.7143,894,547
1,Balanced,GA_Energy_Dominance,14737.8,10,0.4325,0.0916,0.3173,0.6044,894,386
1,Balanced,SA_WaitingTime_Dominance,17685.3,10,0.2021,0.1022,0.0588,0.3750,269,51
1,Balanced,SA_WaitingTime_Dominance,16702.8,10,0.1961,0.0995,0.0588,0.3750,269,49
1,Balanced,SA_WaitingTime_Dominance,15720.3,10,0.0990,0.0574,0.0263,0.2333,269,26
1,Balanced,SA_WaitingTime_Dominance,14737.8,10,0.0000,0.0000,0.0000,0.0000,269,0
1,Balanced,SA_Energy_Dominance,17685.3,10,0.6840,0.1458,0.4828,0.9583,1080,739
1,Balanced,SA_Energy_Dominance,16702.8,10,0.3926,0.0856,0.2414,0.5321,1080,426
1,Balanced,SA_Energy_Dominance,15720.3,10,0.1840,0.0932,0.0792,0.3958,1080,201
1,Balanced,SA_Energy_Dominance,14737.8,10,0.1102,0.0820,0.0495,0.3229,1080,117
1,Balanced,NSGA-II,17685.3,10,0.8086,0.0952,0.6829,0.9565,451,366
1,Balanced,NSGA-II,16702.8,10,0.5163,0.2388,0.1111,0.8043,451,236
1,Balanced,NSGA-II,15720.3,10,0.1414,0.1534,0.0000,0.3778,451,65
1,Balanced,NSGA-II,14737.8,10,0.0000,0.0000,0.0000,0.0000,451,0
1,Balanced,SPEA-II,17685.3,10,0.5972,0.2289,0.0690,0.8205,423,262
1,Balanced,SPEA-II,16702.8,10,0.2173,0.1967,0.0000,0.4727,423,100
1,Balanced,SPEA-II,15720.3,10,0.0455,0.0828,0.0000,0.2364,423,23
1,Balanced,SPEA-II,14737.8,10,0.0000,0.0000,0.0000,0.0000,423,0
1,Balanced,AMOSA,17685.3,10,0.2716,0.2063,0.0667,0.7727,208,60
1,Balanced,AMOSA,16702.8,10,0.0413,0.0688,0.0000,0.1818,208,10
1,Balanced,AMOSA,15720.3,10,0.0000,0.0000,0.0000,0.0000,208,0
1,Balanced,AMOSA,14737.8,10,0.0000,0.0000,0.0000,0.0000,208,0
1,Balanced,GA_WaitingTime_Dominance_PC90,17685.3,10,1.0000,0.0000,1.0000,1.0000,109,109
1,Balanced,GA_WaitingTime_Dominance_PC90,16702.8,10,0.0267,0.0843,0.0000,0.2667,109,4
1,Balanced,GA_WaitingTime_Dominance_PC90,15720.3,10,0.0067,0.0211,0.0000,0.0667,109,1
1,Balanced,GA_WaitingTime_Dominance_PC90,14737.8,10,0.0000,0.0000,0.0000,0.0000,109,0
1,Balanced,GA_Energy_Dominance_PC90,17685.3,10,1.0000,0.0000,1.0000,1.0000,905,905
1,Balanced,GA_Energy_Dominance_PC90,16702.8,10,0.8882,0.0444,0.8269,0.9394,905,803
1,Balanced,GA_Energy_Dominance_PC90,15720.3,10,0.7131,0.0654,0.6087,0.8161,905,644
1,Balanced,GA_Energy_Dominance_PC90,14737.8,10,0.5272,0.0887,0.3516,0.6667,905,478
1,Balanced,SA_WaitingTime_Dominance_PC90,17685.3,10,1.0000,0.0000,1.0000,1.0000,233,233
1,Balanced,SA_WaitingTime_Dominance_PC90,16702.8,10,0.1602,0.0902,0.0000,0.3125,233,35
1,Balanced,SA_WaitingTime_Dominance_PC90,15720.3,10,0.0746,0.0717,0.0000,0.2500,233,15
