Scenario,ScenarioName,Algorithm,CapWatts,WaitingTime,Energy,PeakPowerWatts,Seed
1,Balanced,GA_Energy_Dominance,17685.3,10.384000,0.053646602,13073.055,205
1,Balanced,GA_Energy_Dominance,17685.3,10.482000,0.053620359,13031.593,205
1,Balanced,GA_Energy_Dominance,17685.3,10.556000,0.053568831,13169.325,205
1,Balanced,GA_Energy_Dominance,17685.3,10.658000,0.053521468,13188.926,205
1,Balanced,GA_Energy_Dominance,17685.3,10.740000,0.053511778,12986.093,205
1,Balanced,GA_Energy_Dominance,17685.3,10.902000,0.053410704,12859.663,205
1,Balanced,GA_Energy_Dominance,17685.3,11.008000,0.053398870,12871.537,205
1,Balanced,GA_Energy_Dominance,17685.3,11.094000,0.053278173,13455.736,205
1,Balanced,GA_Energy_Dominance,17685.3,11.324000,0.053078170,13234.882,205
1,Balanced,GA_Energy_Dominance,17685.3,11.472000,0.053061208,13193.232,205
1,Balanced,GA_Energy_Dominance,17685.3,11.782000,0.052992199,13058.517,205
1,Balanced,GA_Energy_Dominance,17685.3,11.876000,0.052979876,13109.408,205
1,Balanced,GA_Energy_Dominance,17685.3,12.042000,0.052946372,12922.497,205
1,Balanced,GA_Energy_Dominance,17685.3,12.060000,0.052578717,14129.379,208
1,Balanced,GA_Energy_Dominance,17685.3,12.432000,0.052561417,14382.328,208
1,Balanced,GA_Energy_Dominance,17685.3,12.754000,0.052527902,14385.238,208
1,Balanced,GA_Energy_Dominance,17685.3,12.980000,0.052452280,14341.156,208
1,Balanced,GA_Energy_Dominance,17685.3,13.132000,0.052322107,14650.870,208
1,Balanced,GA_Energy_Dominance,17685.3,13.264000,0.052236550,14515.175,208
1,Balanced,GA_Energy_Dominance,17685.3,13.416000,0.052109061,14323.156,208
1,Balanced,GA_Energy_Dominance,17685.3,13.678000,0.052094875,13383.643,202
1,Balanced,GA_Energy_Dominance,17685.3,13.822000,0.052081531,14319.130,208
1,Balanced,GA_Energy_Dominance,17685.3,13.828000,0.052010887,13671.972,202
1,Balanced,GA_Energy_Dominance,17685.3,13.970000,0.051995215,13661.050,202
1,Balanced,GA_Energy_Dominance,17685.3,14.082000,0.051837602,13577.098,202
1,Balanced,GA_Energy_Dominance,17685.3,14.294000,0.051632884,13067.024,202
1,Balanced,GA_Energy_Dominance,17685.3,14.564000,0.051588858,12582.512,202
1,Balanced,GA_Energy_Dominance,17685.3,14.740000,0.051509033,14507.185,200
1,Balanced,GA_Energy_Dominance,17685.3,14.806000,0.051491962,13080.339,202
1,Balanced,GA_Energy_Dominance,17685.3,14.848000,0.051314184,14051.259,208
1,Balanced,GA_Energy_Dominance,17685.3,15.114000,0.051286114,13300.483,202
1,Balanced,GA_Energy_Dominance,17685.3,15.300000,0.051229059,13060.396,202
1,Balanced,GA_Energy_Dominance,17685.3,15.438000,0.051178314,14162.903,208
1,Balanced,GA_Energy_Dominance,17685.3,15.620000,0.051131516,14172.053,208
1,Balanced,GA_Energy_Dominance,17685.3,15.740000,0.051109234,14187.745,200
1,Balanced,GA_Energy_Dominance,17685.3,15.784000,0.051037795,14200.430,208
1,Balanced,GA_Energy_Dominance,17685.3,15.786000,0.051013506,13173.905,202
