CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
Uncapped,,GA_WaitingTime_Dominance,200,0.257384,0.034498,0.378531,0.003731,25,25,4,3381,0.417773,
Uncapped,,GA_WaitingTime_Dominance,201,0.248180,0.034597,0.386839,0.002930,25,25,0,3405,0.410474,
Uncapped,,GA_WaitingTime_Dominance,202,0.252262,0.026128,0.383899,0.003593,22,22,0,3383,0.412942,
Uncapped,,GA_WaitingTime_Dominance,203,0.246361,0.027147,0.390966,0.003057,11,11,0,3397,0.408508,
Uncapped,,GA_WaitingTime_Dominance,204,0.253838,0.005460,0.401073,0.004052,9,9,0,3338,0.414314,
Uncapped,,GA_WaitingTime_Dominance,205,0.254691,0.028988,0.380300,0.001999,34,34,0,3304,0.414982,
Uncapped,,GA_WaitingTime_Dominance,206,0.250031,0.027768,0.385030,0.002678,25,25,0,3299,0.411901,
Uncapped,,GA_WaitingTime_Dominance,207,0.272292,0.000000,0.386784,0.007758,7,7,7,3330,0.428818,
Uncapped,,GA_WaitingTime_Dominance,208,0.257378,0.028149,0.380041,0.003049,22,22,5,3513,0.417522,
Uncapped,,GA_WaitingTime_Dominance,209,0.242497,0.027038,0.390338,0.002175,19,19,0,3348,0.405876,
Uncapped,,GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.386380,0.003502,20,20,16,3369,0.414311,10
Uncapped,,GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006322,0.001546,,,,,0.006003,
Uncapped,,GA_Energy_Dominance,200,0.582765,0.097945,0.174750,0.011842,46,46,2,3810,0.667011,
Uncapped,,GA_Energy_Dominance,201,0.543162,0.144466,0.189904,0.007628,62,62,0,4083,0.639313,
Uncapped,,GA_Energy_Dominance,202,0.587470,0.098786,0.171694,0.018362,47,47,11,3927,0.673273,
Uncapped,,GA_Energy_Dominance,203,0.482257,0.184720,0.218514,0.018750,51,51,0,4056,0.597123,
Uncapped,,GA_Energy_Dominance,204,0.564083,0.144410,0.185110,0.013941,53,54,0,3974,0.655806,
Uncapped,,GA_Energy_Dominance,205,0.508098,0.104620,0.219102,0.004282,62,62,0,3453,0.595919,
Uncapped,,GA_Energy_Dominance,206,0.545210,0.119849,0.187195,0.005411,79,79,9,4249,0.647705,
Uncapped,,GA_Energy_Dominance,207,0.597610,0.100141,0.169883,0.008643,62,62,5,4058,0.677450,
Uncapped,,GA_Energy_Dominance,208,0.558242,0.103536,0.192688,0.005648,47,47,2,4057,0.642996,
Uncapped,,GA_Energy_Dominance,209,0.553928,0.129165,0.195225,0.023617,48,48,0,4186,0.637271,
Uncapped,,GA_Energy_Dominance,MEAN,0.552283,0.122764,0.190406,0.011812,56,56,29,3985,0.643387,10
Uncapped,,GA_Energy_Dominance,STDDEV,0.033747,0.026887,0.016422,0.006310,,,,,0.026892,
Uncapped,,SA_WaitingTime_Dominance,200,0.263742,0.054252,0.376032,0.004313,16,16,0,2392,0.397615,
Uncapped,,SA_WaitingTime_Dominance,201,0.251297,0.053833,0.377993,0.002484,21,21,0,2359,0.401292,
Uncapped,,SA_WaitingTime_Dominance,202,0.242469,0.037436,0.381422,0.001167,14,14,0,2416,0.400932,
Uncapped,,SA_WaitingTime_Dominance,203,0.279134,0.037948,0.369733,0.004854,10,10,0,2390,0.398194,
Uncapped,,SA_WaitingTime_Dominance,204,0.234324,0.009323,0.384906,0.003520,12,12,10,2184,0.403954,
Uncapped,,SA_WaitingTime_Dominance,205,0.333812,0.076084,0.351267,0.004308,28,29,0,2238,0.395693,
Uncapped,,SA_WaitingTime_Dominance,206,0.231070,0.030773,0.385848,0.020090,8,8,0,2185,0.401307,
Uncapped,,SA_WaitingTime_Dominance,207,0.290640,0.046786,0.364753,0.001574,15,15,0,2206,0.400553,
Uncapped,,SA_WaitingTime_Dominance,208,0.259137,0.045207,0.375919,0.006134,13,13,0,2205,0.399741,
Uncapped,,SA_WaitingTime_Dominance,209,0.264442,0.045851,0.371614,0.004354,14,14,0,2209,0.405013,
Uncapped,,SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.373949,0.005280,15,15,10,2278,0.400429,10
Uncapped,,SA_WaitingTime_Dominance,STDDEV,0.029011,0.016433,0.009820,0.005143,,,,,0.002665,
Uncapped,,SA_Energy_Dominance,200,0.538967,0.201600,0.214364,0.002537,54,54,4,2309,0.630442,
Uncapped,,SA_Energy_Dominance,201,0.520855,0.170471,0.208825,0.003379,35,35,0,2281,0.617399,
Uncapped,,SA_Energy_Dominance,202,0.541281,0.196463,0.209050,0.003991,78,80,4,2341,0.631172,
Uncapped,,SA_Energy_Dominance,203,0.521743,0.196186,0.211595,0.007068,37,37,3,2406,0.617095,
Uncapped,,SA_Energy_Dominance,204,0.514808,0.232839,0.226038,0.002718,43,44,0,2319,0.606545,
Uncapped,,SA_Energy_Dominance,205,0.508017,0.166656,0.219285,0.007793,37,37,0,2272,0.605033,
Uncapped,,SA_Energy_Dominance,206,0.513227,0.213286,0.224591,0.004872,43,43,0,2260,0.607693,
Uncapped,,SA_Energy_Dominance,207,0.510989,0.196662,0.226020,0.009487,51,51,0,2267,0.603562,
Uncapped,,SA_Energy_Dominance,208,0.534161,0.183369,0.208440,0.004285,67,67,0,2272,0.624821,
Uncapped,,SA_Energy_Dominance,209,0.559444,0.170516,0.220660,0.004711,45,45,4,2256,0.642524,
Uncapped,,SA_Energy_Dominance,MEAN,0.526349,0.192805,0.216887,0.005084,49,49,15,2298,0.618629,10
Uncapped,,SA_Energy_Dominance,STDDEV,0.015707,0.019768,0.006918,0.002183,,,,,0.012600,
Uncapped,,NSGA-II,200,0.499062,0.023832,0.221333,0.003877,46,46,0,6219,0.599228,
Uncapped,,NSGA-II,201,0.556628,0.023283,0.175175,0.002164,48,48,0,6548,0.644324,
Uncapped,,NSGA-II,202,0.522700,0.040527,0.201248,0.004999,48,48,0,6425,0.617169,
Uncapped,,NSGA-II,203,0.511396,0.023708,0.208004,0.004023,44,44,0,6035,0.609056,
Uncapped,,NSGA-II,204,0.558283,0.017576,0.173305,0.004580,52,52,3,5395,0.644872,
Uncapped,,NSGA-II,205,0.580600,0.009746,0.170835,0.002832,50,50,30,4367,0.663577,
Uncapped,,NSGA-II,206,0.541385,0.033322,0.179996,0.002894,59,59,0,4587,0.634719,
Uncapped,,NSGA-II,207,0.536698,0.030041,0.194565,0.002878,51,51,0,4459,0.628836,
Uncapped,,NSGA-II,208,0.471246,0.018112,0.240686,0.002891,38,38,0,4755,0.577827,
Uncapped,,NSGA-II,209,0.537493,0.028727,0.190592,0.003062,42,42,0,6364,0.629390,
Uncapped,,NSGA-II,MEAN,0.531549,0.024887,0.195574,0.003420,48,48,33,5515,0.624900,10
Uncapped,,NSGA-II,STDDEV,0.030140,0.008311,0.021629,0.000855,,,,,0.023643,
Uncapped,,SPEA-II,200,0.499043,0.027704,0.233525,0.003365,40,40,0,7024,0.600525,
Uncapped,,SPEA-II,201,0.453730,0.029417,0.249385,0.003463,37,37,0,6508,0.564953,
Uncapped,,SPEA-II,202,0.434344,0.000000,0.277777,0.003747,31,31,31,5782,0.551495,
Uncapped,,SPEA-II,203,0.450083,0.046104,0.244323,0.001952,34,34,0,6530,0.561251,
Uncapped,,SPEA-II,204,0.443597,0.034108,0.253501,0.002480,30,30,0,6500,0.556623,
Uncapped,,SPEA-II,205,0.509164,0.026325,0.213742,0.003091,47,47,0,6345,0.609335,
Uncapped,,SPEA-II,206,0.538281,0.020601,0.203773,0.003274,41,41,0,6567,0.631391,
Uncapped,,SPEA-II,207,0.416038,0.015533,0.284170,0.001350,34,34,0,5996,0.535794,
Uncapped,,SPEA-II,208,0.505732,0.035279,0.211048,0.002218,45,45,0,6358,0.605240,
Uncapped,,SPEA-II,209,0.487349,0.010413,0.232974,0.003714,36,36,13,6710,0.590804,
Uncapped,,SPEA-II,MEAN,0.473736,0.024548,0.240422,0.002865,38,38,44,6432,0.580741,10
Uncapped,,SPEA-II,STDDEV,0.037443,0.012678,0.025684,0.000776,,,,,0.029261,
Uncapped,,AMOSA,200,0.268174,0.063616,0.361418,0.004161,15,15,0,5634,0.414771,
Uncapped,,AMOSA,201,0.261338,0.084481,0.363886,0.003213,14,14,0,5530,0.409171,
Uncapped,,AMOSA,202,0.246634,0.077450,0.372632,0.004813,9,9,0,5486,0.397447,
Uncapped,,AMOSA,203,0.280969,0.060651,0.354090,0.003188,23,23,0,5624,0.424501,
Uncapped,,AMOSA,204,0.262510,0.046109,0.373753,0.003716,8,8,0,5532,0.410036,
Uncapped,,AMOSA,205,0.280483,0.052921,0.355895,0.006431,13,13,0,5574,0.424130,
Uncapped,,AMOSA,206,0.282671,0.073338,0.342996,0.008428,18,18,0,5643,0.425815,
Uncapped,,AMOSA,207,0.272663,0.071577,0.353357,0.006838,17,17,0,5899,0.418196,
