CapTier,Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
PC75,SPEA-II,MEAN,,,36.700000,33.594906
PC75,SPEA-II,STDDEV,,,13.579764,12.391969
PC75,AMOSA,200,131,0.768974,0,0.000000
PC75,AMOSA,201,103,0.714551,0,0.000000
PC75,AMOSA,202,130,0.753045,0,0.000000
PC75,AMOSA,203,91,0.721379,0,0.000000
PC75,AMOSA,204,130,0.793866,0,0.000000
PC75,AMOSA,205,56,0.654537,0,0.000000
PC75,AMOSA,206,122,0.767359,0,0.000000
PC75,AMOSA,207,111,0.742905,0,0.000000
PC75,AMOSA,208,109,0.764388,0,0.000000
PC75,AMOSA,209,130,0.744587,0,0.000000
PC75,AMOSA,MEAN,,,0.000000,0.000000
PC75,AMOSA,STDDEV,,,0.000000,0.000000
PC75,Universal_Pareto,MEAN,111.300000,0.742559,,
PC75,Universal_Pareto,STDDEV,22.574543,0.036765,,
