Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,Makespan_Best,Energy_Best
1,Balanced,NSGA-II,209,0.305096,0.303402,0.363276,0.018187,31,0,3546,18.035714,0.055377109
1,Balanced,NSGA-II,MEAN,0.253722,0.333372,0.381949,0.030571,,0,3599,18.035714,0.054744609
1,Balanced,SPEA-II,200,0.126628,0.275256,0.415224,0.012848,22,0,4055,17.928571,0.056923777
1,Balanced,SPEA-II,201,0.166908,0.347832,0.397191,0.012795,19,0,4112,20.000000,0.056491600
1,Balanced,SPEA-II,202,0.231032,0.299415,0.376588,0.115055,14,0,4102,20.000000,0.056046501
1,Balanced,SPEA-II,203,0.264844,0.436895,0.393788,0.014497,34,0,4627,21.928571,0.055015807
1,Balanced,SPEA-II,204,0.202957,0.172284,0.541563,0.011904,15,0,3978,20.000000,0.059044347
1,Balanced,SPEA-II,205,0.116155,0.321269,0.426889,0.017270,15,0,4400,22.333333,0.056737718
1,Balanced,SPEA-II,206,0.285556,0.303323,0.356508,0.018444,20,0,6165,18.107143,0.055627835
1,Balanced,SPEA-II,207,0.197823,0.256660,0.401341,0.012025,26,0,5937,17.928571,0.057133159
1,Balanced,SPEA-II,208,0.146052,0.330501,0.394417,0.054906,20,0,5968,19.107143,0.056313777
1,Balanced,SPEA-II,209,0.156256,0.191333,0.528712,0.026369,8,2,5173,17.928571,0.059525738
1,Balanced,SPEA-II,MEAN,0.189421,0.293477,0.423222,0.029611,,2,4851,17.928571,0.055015807
1,Balanced,AMOSA,200,0.121943,0.111820,0.585106,0.049736,11,0,3621,19.928571,0.061258454
1,Balanced,AMOSA,201,0.060650,0.074916,0.658305,0.045246,6,0,3599,20.000000,0.061151677
1,Balanced,AMOSA,202,0.061057,0.080478,0.662888,0.044088,7,0,3587,22.333333,0.061164758
1,Balanced,AMOSA,203,0.038011,0.054094,0.670092,0.048215,7,0,3740,18.928571,0.061204291
1,Balanced,AMOSA,204,0.038777,0.015322,0.720197,0.016410,5,1,3683,18.400000,0.061207203
1,Balanced,AMOSA,205,0.084277,0.173734,0.578935,0.285704,7,0,3833,20.000000,0.061124007
1,Balanced,AMOSA,206,0.051777,0.039262,0.711588,0.023083,4,0,3676,20.000000,0.061047057
1,Balanced,AMOSA,207,0.075054,0.056101,0.691189,0.007620,10,0,3652,19.000000,0.061204595
1,Balanced,AMOSA,208,0.116127,0.073477,0.667779,0.013977,7,0,3621,20.928571,0.061313156
1,Balanced,AMOSA,209,0.042150,0.035864,0.715887,0.014543,4,0,3666,20.000000,0.061159260
1,Balanced,AMOSA,MEAN,0.068982,0.071507,0.666197,0.054862,,1,3667,18.400000,0.061047057
2,GPU_Stress,GA_Makespan_Dominance,200,0.063959,0.296047,0.734074,0.004868,9,0,2454,29.166667,0.085612436
2,GPU_Stress,GA_Makespan_Dominance,201,0.066562,0.298885,0.731564,0.018602,6,0,2454,29.500000,0.085809915
2,GPU_Stress,GA_Makespan_Dominance,202,0.025239,0.298779,0.766216,0.001848,4,0,2469,30.250000,0.085705217
2,GPU_Stress,GA_Makespan_Dominance,203,0.072807,0.251152,0.715098,0.031348,3,0,2438,30.107143,0.084438032
2,GPU_Stress,GA_Makespan_Dominance,204,0.065316,0.268270,0.724498,0.011613,7,0,2454,29.333333,0.084715852
2,GPU_Stress,GA_Makespan_Dominance,205,0.031893,0.289863,0.754754,0.009103,5,0,2461,30.250000,0.085539566
2,GPU_Stress,GA_Makespan_Dominance,206,0.032912,0.297344,0.752545,0.016001,6,0,2467,29.285714,0.085526565
2,GPU_Stress,GA_Makespan_Dominance,207,0.019635,0.270355,0.755250,0.011977,7,0,2491,29.285714,0.084933202
2,GPU_Stress,GA_Makespan_Dominance,208,0.003686,0.233848,0.759483,0.000000,2,0,2453,29.285714,0.084248496
2,GPU_Stress,GA_Makespan_Dominance,209,0.066907,0.283483,0.717410,0.014093,8,0,2453,30.107143,0.085178046
2,GPU_Stress,GA_Makespan_Dominance,MEAN,0.044892,0.278803,0.741089,0.011945,,0,2459,29.166667,0.084248496
2,GPU_Stress,GA_Energy_Dominance,200,0.589247,0.171005,0.216391,0.017749,39,0,2688,28.000000,0.070617043
2,GPU_Stress,GA_Energy_Dominance,201,0.282227,0.300860,0.403527,0.100232,29,0,3727,28.000000,0.068983011
2,GPU_Stress,GA_Energy_Dominance,202,0.483901,0.313799,0.288948,0.085049,15,0,3947,28.000000,0.069032467
2,GPU_Stress,GA_Energy_Dominance,203,0.246483,0.213508,0.385508,0.093215,23,3,4038,28.000000,0.067755601
2,GPU_Stress,GA_Energy_Dominance,204,0.491227,0.297138,0.271786,0.094765,28,0,3488,28.000000,0.069329721
2,GPU_Stress,GA_Energy_Dominance,205,0.610705,0.192424,0.198550,0.013587,43,0,2760,28.000000,0.069397592
2,GPU_Stress,GA_Energy_Dominance,206,0.538630,0.203955,0.239433,0.093107,24,0,2732,28.000000,0.070558672
2,GPU_Stress,GA_Energy_Dominance,207,0.579150,0.207647,0.234025,0.081054,24,0,2856,28.000000,0.069416800
2,GPU_Stress,GA_Energy_Dominance,208,0.566285,0.170536,0.232645,0.053698,17,0,4067,28.000000,0.069964355
2,GPU_Stress,GA_Energy_Dominance,209,0.349751,0.311555,0.362100,0.061714,36,1,4057,28.000000,0.067896797
2,GPU_Stress,GA_Energy_Dominance,MEAN,0.473760,0.238243,0.283291,0.069417,,4,3436,28.000000,0.067755601
2,GPU_Stress,SA_Makespan_Dominance,200,0.259320,0.000000,0.480449,0.001652,3,3,2409,29.285714,0.077106453
