Algorithm,Makespan,Energy
GA_Makespan_Dominance,20.000000,0.064829699
GA_Makespan_Dominance,20.050000,0.064400264
GA_Makespan_Dominance,20.928571,0.064259649
GA_Makespan_Dominance,21.000000,0.063102376
GA_Makespan_Dominance,22.000000,0.062950738
GA_Energy_Dominance,22.333333,0.062444425
GA_Energy_Dominance,23.285714,0.061614626
GA_Energy_Dominance,25.928571,0.061603115
GA_Energy_Dominance,26.285714,0.061541098
GA_Energy_Dominance,27.285714,0.061369862
GA_Energy_Dominance,28.100000,0.061364671
GA_Energy_Dominance,88.400000,0.060937190
GA_Energy_Dominance,90.000000,0.059150382
GA_Energy_Dominance,90.400000,0.057735613
GA_Energy_Dominance,91.000000,0.057244666
GA_Energy_Dominance,91.400000,0.056872404
GA_Energy_Dominance,91.600000,0.056246245
GA_Energy_Dominance,92.000000,0.056226085
GA_Energy_Dominance,92.600000,0.055678708
GA_Energy_Dominance,93.200000,0.055280707
GA_Energy_Dominance,93.600000,0.055021144
GA_Energy_Dominance,94.000000,0.054830859
GA_Energy_Dominance,94.200000,0.054542794
GA_Energy_Dominance,94.600000,0.054524596
GA_Energy_Dominance,95.200000,0.054410813
GA_Energy_Dominance,95.400000,0.054400880
GA_Energy_Dominance,95.600000,0.054305453
GA_Energy_Dominance,96.000000,0.053735358
GA_Energy_Dominance,96.600000,0.053201434
GA_Energy_Dominance,97.200000,0.053020737
GA_Energy_Dominance,97.600000,0.052893795
GA_Energy_Dominance,99.000000,0.052803179
GA_Energy_Dominance,99.200000,0.052642569
GA_Energy_Dominance,100.000000,0.052611431
GA_Energy_Dominance,100.200000,0.052444545
GA_Energy_Dominance,101.000000,0.052381881
GA_Energy_Dominance,102.000000,0.052282379
GA_Energy_Dominance,103.400000,0.052270985
GA_Energy_Dominance,178.200000,0.051908567
GA_Energy_Dominance,179.000000,0.051894503
GA_Energy_Dominance,180.000000,0.051691284
GA_Energy_Dominance,180.600000,0.051584320
GA_Energy_Dominance,181.600000,0.051468036
GA_Energy_Dominance,232.200000,0.051043224
GA_Energy_Dominance,279.000000,0.050779381
GA_Energy_Dominance,279.200000,0.050768855
GA_Energy_Dominance,280.000000,0.050671673
GA_Energy_Dominance,282.000000,0.050607636
GA_Energy_Dominance,283.000000,0.050360057
SA_Makespan_Dominance,20.000000,0.057196270
SA_Makespan_Dominance,20.200000,0.056630443
SA_Makespan_Dominance,20.400000,0.056470881
SA_Makespan_Dominance,21.000000,0.056439907
SA_Makespan_Dominance,25.500000,0.055640588
SA_Makespan_Dominance,32.500000,0.055070018
SA_Makespan_Dominance,33.000000,0.054234493
SA_Makespan_Dominance,35.000000,0.054137688
SA_Makespan_Dominance,50.000000,0.053495192
SA_Makespan_Dominance,80.000000,0.052569528
SA_Energy_Dominance,23.000000,0.061420386
SA_Energy_Dominance,24.285714,0.061306704
SA_Energy_Dominance,27.285714,0.061300469
SA_Energy_Dominance,40.000000,0.056705943
SA_Energy_Dominance,48.000000,0.056643780
SA_Energy_Dominance,49.500000,0.056631096
SA_Energy_Dominance,50.000000,0.055551998
SA_Energy_Dominance,51.000000,0.054492105
SA_Energy_Dominance,52.500000,0.053470735
SA_Energy_Dominance,58.500000,0.053035519
SA_Energy_Dominance,59.500000,0.053014261
SA_Energy_Dominance,60.000000,0.052773263
SA_Energy_Dominance,72.600000,0.052754284
SA_Energy_Dominance,73.000000,0.052744362
SA_Energy_Dominance,73.200000,0.051910781
SA_Energy_Dominance,73.600000,0.051906508
SA_Energy_Dominance,74.200000,0.051649501
SA_Energy_Dominance,89.600000,0.051595503
