Algorithm,Seed,WaitingTime,Energy,IsUniversalPareto
NSGA-II,203,5.782000,0.125325637,false
NSGA-II,203,5.646000,0.126275675,false
NSGA-II,204,6.178000,0.119829968,false
NSGA-II,204,5.172000,0.146556153,false
NSGA-II,204,5.234000,0.128866461,false
NSGA-II,204,5.224000,0.143871883,false
NSGA-II,204,5.994000,0.121186926,false
NSGA-II,204,5.520000,0.124834915,false
NSGA-II,204,5.866000,0.122992487,false
NSGA-II,204,5.700000,0.124292631,false
NSGA-II,204,5.486000,0.128826634,false
NSGA-II,204,6.120000,0.120999244,false
NSGA-II,204,5.764000,0.123224240,false
NSGA-II,204,5.508000,0.127590975,false
NSGA-II,204,5.490000,0.128628609,false
NSGA-II,205,5.148000,0.141015253,false
NSGA-II,205,6.082000,0.121564865,false
NSGA-II,205,5.694000,0.124580035,false
NSGA-II,205,5.902000,0.123790365,false
NSGA-II,205,5.464000,0.128427430,false
NSGA-II,205,5.180000,0.137648385,false
NSGA-II,205,5.678000,0.128327875,false
NSGA-II,205,6.012000,0.123212264,false
NSGA-II,205,5.646000,0.128394253,false
NSGA-II,205,5.254000,0.134412841,false
NSGA-II,205,5.250000,0.137368678,false
NSGA-II,205,5.962000,0.123732637,false
NSGA-II,205,5.414000,0.131045884,false
NSGA-II,205,5.374000,0.133995136,false
NSGA-II,205,5.382000,0.132284536,false
NSGA-II,205,5.438000,0.129590548,false
NSGA-II,205,5.320000,0.134329922,false
NSGA-II,205,5.430000,0.129909747,false
NSGA-II,205,5.404000,0.132133936,false
NSGA-II,205,5.220000,0.137370652,false
NSGA-II,205,5.338000,0.133998625,false
NSGA-II,206,5.120000,0.139448838,false
NSGA-II,206,6.002000,0.122151036,false
NSGA-II,206,5.542000,0.128004827,false
NSGA-II,206,5.236000,0.135400942,false
NSGA-II,206,5.162000,0.137647460,false
NSGA-II,206,5.686000,0.127333981,false
NSGA-II,206,5.942000,0.123754951,false
NSGA-II,206,5.504000,0.130149577,false
NSGA-II,206,5.858000,0.125257956,false
NSGA-II,206,5.794000,0.126186534,false
NSGA-II,206,5.894000,0.124398296,false
NSGA-II,206,5.324000,0.134583213,false
NSGA-II,206,5.358000,0.132259069,false
NSGA-II,206,5.402000,0.131106837,false
NSGA-II,206,5.136000,0.138928911,false
NSGA-II,206,5.356000,0.133942431,false
NSGA-II,206,5.750000,0.126585949,false
NSGA-II,206,5.398000,0.132099843,false
NSGA-II,206,5.706000,0.126668102,false
NSGA-II,206,5.480000,0.131072068,false
NSGA-II,206,5.484000,0.130944876,false
NSGA-II,206,5.328000,0.134283942,false
NSGA-II,206,5.326000,0.134386349,false
NSGA-II,207,5.074000,0.141466785,false
NSGA-II,207,6.504000,0.121890837,false
NSGA-II,207,6.316000,0.122478637,false
NSGA-II,207,5.412000,0.130645563,false
NSGA-II,207,5.984000,0.122613434,false
NSGA-II,207,5.382000,0.133817457,false
NSGA-II,207,5.498000,0.127623884,false
NSGA-II,207,5.822000,0.123175259,false
NSGA-II,207,5.144000,0.138680502,false
NSGA-II,207,5.140000,0.141457866,false
NSGA-II,207,5.730000,0.124544904,false
NSGA-II,207,5.514000,0.126886495,false
NSGA-II,207,5.650000,0.126263894,false
