Algorithm,Seed,Makespan,Energy,IsUniversalPareto
GA_Makespan,200,17.000000,0.779430957,false
GA_Makespan,201,17.000000,0.802206160,false
GA_Makespan,202,17.000000,0.790697830,false
GA_Makespan,203,17.000000,0.774793392,false
GA_Makespan,204,17.000000,0.785789171,false
GA_Makespan,205,18.000000,0.743950436,false
GA_Makespan,206,17.000000,0.771359443,false
GA_Makespan,207,17.000000,0.798952376,false
GA_Makespan,208,16.000000,0.798004291,true
GA_Makespan,209,17.000000,0.768693834,false
GA_Energy,200,46.000000,0.311521607,false
GA_Energy,201,44.000000,0.320223009,false
GA_Energy,202,46.000000,0.316703932,false
GA_Energy,203,47.000000,0.313443280,false
GA_Energy,204,41.000000,0.314741993,false
GA_Energy,205,43.000000,0.328175846,false
GA_Energy,206,42.000000,0.318490651,false
GA_Energy,207,41.000000,0.317269223,false
GA_Energy,208,42.000000,0.315250862,false
GA_Energy,209,48.000000,0.315027904,false
SA_Makespan,200,28.000000,0.417921238,true
SA_Makespan,201,23.000000,0.486796192,false
SA_Makespan,202,26.000000,0.456000495,false
SA_Makespan,203,23.000000,0.553500888,false
SA_Makespan,204,29.000000,0.440639894,false
SA_Makespan,205,23.000000,0.496953037,false
SA_Makespan,206,25.000000,0.517867910,false
SA_Makespan,207,24.000000,0.454201275,true
SA_Makespan,208,22.000000,0.541317848,false
SA_Makespan,209,25.000000,0.446869481,true
SA_Energy,200,87.000000,0.270113677,false
SA_Energy,201,81.000000,0.274762566,false
SA_Energy,202,82.000000,0.265690115,true
SA_Energy,203,80.000000,0.268153690,true
SA_Energy,204,72.000000,0.278063698,false
SA_Energy,205,77.000000,0.276958488,false
SA_Energy,206,82.000000,0.271995413,false
SA_Energy,207,71.000000,0.271628823,true
SA_Energy,208,64.000000,0.280543986,false
SA_Energy,209,80.000000,0.291579622,false
GA_Makespan_Dominance,200,25.000000,0.645248343,false
GA_Makespan_Dominance,200,23.000000,0.689767247,false
GA_Makespan_Dominance,200,24.000000,0.679281781,false
GA_Makespan_Dominance,200,20.000000,0.719269851,false
GA_Makespan_Dominance,200,19.000000,0.727448905,false
GA_Makespan_Dominance,200,17.000000,0.779430957,false
GA_Makespan_Dominance,200,18.000000,0.739694135,false
