Scenario,ScenarioName,Algorithm,CapWatts,WaitingTime,Energy,PeakPowerWatts,Seed
1,Balanced,GA_WaitingTime_Dominance,17961.8,2.968000,0.063290366,17227.808,207
1,Balanced,GA_WaitingTime_Dominance,17961.8,3.044000,0.063184013,17700.702,207
1,Balanced,GA_WaitingTime_Dominance,17961.8,3.068000,0.063177377,17398.666,207
1,Balanced,GA_WaitingTime_Dominance,17961.8,3.168000,0.063133772,17128.871,207
1,Balanced,GA_Energy_Dominance,17961.8,4.166000,0.063502388,17100.696,208
1,Balanced,GA_Energy_Dominance,17961.8,4.176000,0.063157918,16904.615,208
1,Balanced,GA_Energy_Dominance,17961.8,4.192000,0.063014261,17229.361,207
1,Balanced,GA_Energy_Dominance,17961.8,4.220000,0.062785571,17645.796,206
1,Balanced,GA_Energy_Dominance,17961.8,4.238000,0.061813255,17303.007,208
1,Balanced,GA_Energy_Dominance,17961.8,4.362000,0.061671172,17637.479,205
1,Balanced,GA_Energy_Dominance,17961.8,4.402000,0.061409840,17100.898,208
1,Balanced,GA_Energy_Dominance,17961.8,4.652000,0.060859100,16549.367,205
1,Balanced,GA_Energy_Dominance,17961.8,4.958000,0.060857286,16709.827,205
1,Balanced,GA_Energy_Dominance,17961.8,5.096000,0.060825803,16952.405,205
1,Balanced,GA_Energy_Dominance,17961.8,5.176000,0.060695941,16652.001,205
1,Balanced,GA_Energy_Dominance,17961.8,5.202000,0.060663006,16375.383,205
1,Balanced,GA_Energy_Dominance,17961.8,5.282000,0.060424738,16396.217,205
1,Balanced,GA_Energy_Dominance,17961.8,5.314000,0.060387228,16786.407,205
1,Balanced,GA_Energy_Dominance,17961.8,5.342000,0.060255461,17457.621,208
1,Balanced,GA_Energy_Dominance,17961.8,5.466000,0.059934986,16252.258,205
1,Balanced,GA_Energy_Dominance,17961.8,5.502000,0.059921035,17825.588,208
1,Balanced,GA_Energy_Dominance,17961.8,5.562000,0.059845044,16569.044,205
1,Balanced,GA_Energy_Dominance,17961.8,5.588000,0.059754271,16676.024,205
1,Balanced,GA_Energy_Dominance,17961.8,5.602000,0.059671070,16492.623,205
1,Balanced,GA_Energy_Dominance,17961.8,5.688000,0.059289015,15960.746,205
1,Balanced,GA_Energy_Dominance,17961.8,5.832000,0.059196866,15896.642,205
1,Balanced,GA_Energy_Dominance,17961.8,5.872000,0.059092039,15732.874,205
1,Balanced,GA_Energy_Dominance,17961.8,5.960000,0.058904104,15871.903,205
1,Balanced,GA_Energy_Dominance,17961.8,6.060000,0.058845411,15559.448,205
1,Balanced,GA_Energy_Dominance,17961.8,6.154000,0.058829363,15909.993,205
1,Balanced,GA_Energy_Dominance,17961.8,6.236000,0.058765228,16120.434,205
1,Balanced,GA_Energy_Dominance,17961.8,6.282000,0.058715085,15830.404,205
1,Balanced,GA_Energy_Dominance,17961.8,6.332000,0.058682487,15819.494,205
1,Balanced,GA_Energy_Dominance,17961.8,6.380000,0.058560106,15834.815,205
1,Balanced,GA_Energy_Dominance,17961.8,6.420000,0.058466800,15408.390,205
1,Balanced,GA_Energy_Dominance,17961.8,6.430000,0.058376236,15551.914,205
1,Balanced,GA_Energy_Dominance,17961.8,6.514000,0.058347346,15782.959,205
1,Balanced,GA_Energy_Dominance,17961.8,6.640000,0.058319931,15708.229,205
