Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_WaitingTime_Dominance,200,0.169225,0.023970,0.522286,0.007847,22,22,0,3947,0.272136
GA_WaitingTime_Dominance,201,0.134802,0.026796,0.536474,0.017927,13,13,0,4139,0.258815
GA_WaitingTime_Dominance,202,0.169653,0.045715,0.509324,0.011100,9,9,2,4250,0.288771
GA_WaitingTime_Dominance,203,0.146528,0.009675,0.545575,0.027882,6,6,3,4099,0.268716
GA_WaitingTime_Dominance,204,0.133093,0.019744,0.543258,0.024728,18,18,0,4050,0.257362
GA_WaitingTime_Dominance,205,0.140104,0.013658,0.544219,0.028455,11,11,0,4011,0.263375
GA_WaitingTime_Dominance,206,0.156245,0.030598,0.524683,0.009079,21,21,0,3955,0.277435
GA_WaitingTime_Dominance,207,0.159480,0.042765,0.517768,0.013819,9,9,0,4002,0.280167
GA_WaitingTime_Dominance,208,0.142010,0.026696,0.532909,0.007591,25,25,0,4007,0.265116
GA_WaitingTime_Dominance,209,0.144959,0.033046,0.535764,0.016122,9,9,0,4043,0.267498
GA_WaitingTime_Dominance,MEAN,0.149610,0.027267,0.531226,0.016455,14,14,5,4050,0.269939
GA_WaitingTime_Dominance,STDDEV,0.012646,0.010898,0.011636,0.007668,,,,,0.009359
GA_Energy_Dominance,200,0.682747,0.057193,0.076319,0.005947,100,100,1,5620,0.741938
GA_Energy_Dominance,201,0.670538,0.063220,0.085847,0.005638,88,88,5,6149,0.730745
GA_Energy_Dominance,202,0.683621,0.044771,0.079553,0.008931,88,88,13,5509,0.737329
GA_Energy_Dominance,203,0.670980,0.056151,0.083551,0.010644,89,89,0,5798,0.732762
GA_Energy_Dominance,204,0.689659,0.039224,0.076517,0.007364,93,93,15,6077,0.749264
GA_Energy_Dominance,205,0.658461,0.070428,0.090290,0.010654,85,85,0,5619,0.721835
GA_Energy_Dominance,206,0.631757,0.100015,0.107949,0.010265,91,91,0,5843,0.699178
GA_Energy_Dominance,207,0.700884,0.038033,0.068046,0.005593,97,97,23,5833,0.757522
GA_Energy_Dominance,208,0.685046,0.043203,0.080322,0.004696,92,92,1,5597,0.739816
GA_Energy_Dominance,209,0.680814,0.049409,0.083044,0.007527,76,76,20,5702,0.736929
GA_Energy_Dominance,MEAN,0.675451,0.056165,0.083144,0.007726,90,90,78,5774,0.734732
GA_Energy_Dominance,STDDEV,0.018252,0.017710,0.010066,0.002154,,,,,0.015067
SA_WaitingTime_Dominance,200,0.096505,0.009591,0.595457,0.002117,26,26,0,2589,0.226463
SA_WaitingTime_Dominance,201,0.131253,0.017622,0.559056,0.003730,24,24,0,2620,0.256328
SA_WaitingTime_Dominance,202,0.096711,0.009302,0.595711,0.006152,15,15,0,2576,0.226648
