Algorithm,Makespan,Energy
GA_Makespan_Dominance,15.507143,0.060771566
GA_Makespan_Dominance,15.545000,0.060615758
GA_Makespan_Dominance,15.555000,0.060560437
GA_Makespan_Dominance,16.300000,0.060560435
GA_Makespan_Dominance,16.500000,0.059708763
GA_Makespan_Dominance,17.325000,0.059369152
GA_Makespan_Dominance,18.000000,0.059362263
GA_Makespan_Dominance,18.680000,0.059353878
GA_Energy_Dominance,18.000000,0.061406081
GA_Energy_Dominance,21.405000,0.061265440
GA_Energy_Dominance,22.620000,0.061188401
GA_Energy_Dominance,38.740000,0.061017281
GA_Energy_Dominance,43.180000,0.060874568
GA_Energy_Dominance,45.000000,0.060864541
GA_Energy_Dominance,48.300000,0.060670170
GA_Energy_Dominance,50.320000,0.060454469
GA_Energy_Dominance,51.300000,0.060256119
GA_Energy_Dominance,52.000000,0.059978373
GA_Energy_Dominance,52.320000,0.059392029
GA_Energy_Dominance,59.300000,0.058562916
GA_Energy_Dominance,59.680000,0.058348830
GA_Energy_Dominance,61.740000,0.058285486
GA_Energy_Dominance,62.680000,0.058181022
GA_Energy_Dominance,64.000000,0.058154894
GA_Energy_Dominance,64.300000,0.057792601
GA_Energy_Dominance,66.680000,0.057639062
GA_Energy_Dominance,67.300000,0.057578634
GA_Energy_Dominance,68.000000,0.057415804
GA_Energy_Dominance,68.300000,0.057081246
GA_Energy_Dominance,69.300000,0.056574696
GA_Energy_Dominance,69.680000,0.056480135
GA_Energy_Dominance,71.300000,0.056092797
GA_Energy_Dominance,72.000000,0.055934308
GA_Energy_Dominance,72.300000,0.055622663
GA_Energy_Dominance,72.840000,0.055473224
GA_Energy_Dominance,73.000000,0.055393768
GA_Energy_Dominance,73.840000,0.055376373
GA_Energy_Dominance,74.840000,0.054325039
GA_Energy_Dominance,75.300000,0.054231240
GA_Energy_Dominance,76.680000,0.054138982
GA_Energy_Dominance,77.680000,0.054031895
GA_Energy_Dominance,78.000000,0.053931105
GA_Energy_Dominance,116.000000,0.053848859
GA_Energy_Dominance,117.220000,0.052795980
GA_Energy_Dominance,118.000000,0.052542261
GA_Energy_Dominance,119.000000,0.052444661
GA_Energy_Dominance,119.220000,0.052103345
GA_Energy_Dominance,120.300000,0.051974637
GA_Energy_Dominance,121.220000,0.051857188
GA_Energy_Dominance,121.620000,0.051709249
GA_Energy_Dominance,122.000000,0.051504949
GA_Energy_Dominance,123.080000,0.051432261
GA_Energy_Dominance,123.500000,0.051316376
GA_Energy_Dominance,124.000000,0.051157112
GA_Energy_Dominance,125.620000,0.051143689
GA_Energy_Dominance,127.320000,0.051049278
GA_Energy_Dominance,128.620000,0.050688935
GA_Energy_Dominance,128.680000,0.050542309
GA_Energy_Dominance,129.620000,0.050385541
GA_Energy_Dominance,131.620000,0.050078516
GA_Energy_Dominance,132.680000,0.049923840
GA_Energy_Dominance,154.680000,0.049746984
GA_Energy_Dominance,154.740000,0.049597452
GA_Energy_Dominance,155.740000,0.049326065
GA_Energy_Dominance,158.320000,0.049268156
GA_Energy_Dominance,176.740000,0.049159674
GA_Energy_Dominance,179.300000,0.048907503
GA_Energy_Dominance,179.800000,0.048716751
GA_Energy_Dominance,194.840000,0.048678692
GA_Energy_Dominance,195.180000,0.048491234
GA_Energy_Dominance,195.320000,0.048337589
GA_Energy_Dominance,196.220000,0.048176362
SA_Makespan_Dominance,16.325000,0.059170569
SA_Makespan_Dominance,16.840000,0.059160834
SA_Makespan_Dominance,16.925000,0.059156771
SA_Makespan_Dominance,17.000000,0.059147293
SA_Makespan_Dominance,17.386667,0.058606378
SA_Makespan_Dominance,17.700000,0.058372318
SA_Makespan_Dominance,22.980000,0.057206859
SA_Makespan_Dominance,26.080000,0.056740061
SA_Makespan_Dominance,29.840000,0.055962799
SA_Makespan_Dominance,35.220000,0.055646783
SA_Energy_Dominance,18.000000,0.061503797
SA_Energy_Dominance,24.220000,0.061492473
SA_Energy_Dominance,49.220000,0.061369716
SA_Energy_Dominance,52.080000,0.061276821
SA_Energy_Dominance,52.300000,0.060931697
SA_Energy_Dominance,52.680000,0.060096573
SA_Energy_Dominance,52.840000,0.059484287
SA_Energy_Dominance,53.080000,0.059125670
SA_Energy_Dominance,53.700000,0.058571608
SA_Energy_Dominance,54.700000,0.058354281
SA_Energy_Dominance,54.840000,0.058079486
SA_Energy_Dominance,55.680000,0.057914430
SA_Energy_Dominance,56.300000,0.057880356
SA_Energy_Dominance,56.840000,0.057724940
SA_Energy_Dominance,57.840000,0.057121408
SA_Energy_Dominance,58.300000,0.056488724
SA_Energy_Dominance,58.700000,0.056428485
SA_Energy_Dominance,58.840000,0.056078983
SA_Energy_Dominance,59.300000,0.055980908
SA_Energy_Dominance,60.080000,0.055959904
SA_Energy_Dominance,61.180000,0.055921619
SA_Energy_Dominance,61.300000,0.055633459
SA_Energy_Dominance,61.980000,0.055606715
SA_Energy_Dominance,62.180000,0.055320768
SA_Energy_Dominance,62.680000,0.055287886
SA_Energy_Dominance,63.180000,0.055233189
SA_Energy_Dominance,63.980000,0.055176937
SA_Energy_Dominance,64.080000,0.055087218
SA_Energy_Dominance,64.680000,0.055014326
SA_Energy_Dominance,65.700000,0.055013907
SA_Energy_Dominance,66.300000,0.054975874
SA_Energy_Dominance,66.800000,0.054879007
SA_Energy_Dominance,68.000000,0.054420222
SA_Energy_Dominance,68.620000,0.054124636
SA_Energy_Dominance,68.700000,0.053944541
SA_Energy_Dominance,71.840000,0.053817980
SA_Energy_Dominance,72.300000,0.053449788
SA_Energy_Dominance,73.180000,0.053313239
SA_Energy_Dominance,74.680000,0.053310981
SA_Energy_Dominance,82.680000,0.053291545
SA_Energy_Dominance,83.180000,0.053224802
SA_Energy_Dominance,84.180000,0.052984088
SA_Energy_Dominance,85.300000,0.052941430
SA_Energy_Dominance,102.180000,0.052895011
SA_Energy_Dominance,102.300000,0.052752308
NSGA-II,17.985714,0.060788508
NSGA-II,18.020000,0.060765184
NSGA-II,18.425000,0.060510278
NSGA-II,19.250000,0.060328142
NSGA-II,19.420000,0.060313289
NSGA-II,19.442857,0.060249449
NSGA-II,19.680000,0.060176562
NSGA-II,20.000000,0.059997277
NSGA-II,20.325000,0.059922447
NSGA-II,20.685000,0.059905107
NSGA-II,20.840000,0.059861353
NSGA-II,21.325000,0.059794970
NSGA-II,21.405000,0.059652640
NSGA-II,22.680000,0.059621564
NSGA-II,22.685000,0.059473124
NSGA-II,23.710000,0.059237786
NSGA-II,24.680000,0.059202406
NSGA-II,26.680000,0.059200010
NSGA-II,26.700000,0.059059717
NSGA-II,27.000000,0.058834333
NSGA-II,35.300000,0.058830362
NSGA-II,36.555000,0.058759736
NSGA-II,38.740000,0.058250114
NSGA-II,39.000000,0.058237619
NSGA-II,39.180000,0.058148374
NSGA-II,40.325000,0.058106554
NSGA-II,40.420000,0.058054837
NSGA-II,41.300000,0.057916559
NSGA-II,43.000000,0.057778206
NSGA-II,43.300000,0.057705784
NSGA-II,44.000000,0.057623345
NSGA-II,44.300000,0.057320254
NSGA-II,47.840000,0.056981098
NSGA-II,50.320000,0.056847566
NSGA-II,51.220000,0.056782493
NSGA-II,51.680000,0.056671700
NSGA-II,52.680000,0.056610424
NSGA-II,53.220000,0.056439346
NSGA-II,54.220000,0.056299819
NSGA-II,55.220000,0.056281488
NSGA-II,56.220000,0.056275307
NSGA-II,57.220000,0.056129029
NSGA-II,59.220000,0.056004720
NSGA-II,61.800000,0.055972956
NSGA-II,62.180000,0.055903131
NSGA-II,62.840000,0.055833467
NSGA-II,65.180000,0.055734476
NSGA-II,66.320000,0.055632329
NSGA-II,69.740000,0.055493587
NSGA-II,74.840000,0.055178118
NSGA-II,77.980000,0.055173465
NSGA-II,79.000000,0.055138248
NSGA-II,80.300000,0.055110348
NSGA-II,81.000000,0.055065135
NSGA-II,82.220000,0.054989041
NSGA-II,82.300000,0.054956362
NSGA-II,83.740000,0.054857717
NSGA-II,86.500000,0.054787415
NSGA-II,89.980000,0.054755385
NSGA-II,90.740000,0.054460928
NSGA-II,92.180000,0.054429361
NSGA-II,95.980000,0.054329849
NSGA-II,99.180000,0.054275059
NSGA-II,144.320000,0.054198557
NSGA-II,147.220000,0.053936333
NSGA-II,149.220000,0.053752522
SPEA-II,17.985714,0.058204519
SPEA-II,18.000000,0.058178553
SPEA-II,18.420000,0.058162609
SPEA-II,18.460000,0.058120263
SPEA-II,18.555000,0.058070375
SPEA-II,36.300000,0.058055268
SPEA-II,38.740000,0.058037332
SPEA-II,39.220000,0.057871529
SPEA-II,42.300000,0.057857744
SPEA-II,42.680000,0.057647798
SPEA-II,42.740000,0.057588859
SPEA-II,46.300000,0.057538470
SPEA-II,47.180000,0.057493752
SPEA-II,49.080000,0.057435519
SPEA-II,49.300000,0.057389312
SPEA-II,50.320000,0.057009216
