Scenario,Algorithm,Seed,HV_fixed,EpsPlus,ParetoContribution_pct,nSolutions,ref_x_raw,ref_y_raw
2,AMOSA,200,0.3150093673045035,0.7512897616490509,0.0,8,350.8675,0.08497106500000001
2,AMOSA,201,0.31131283036795104,0.755376494014722,0.0,5,350.8675,0.08497106500000001
2,AMOSA,202,0.3139199578898159,0.7523622487312684,0.0,6,350.8675,0.08497106500000001
2,AMOSA,203,0.3126729073606199,0.7538835164024728,0.0,7,350.8675,0.08497106500000001
2,AMOSA,204,0.30913469537144483,0.7577539536941859,0.0,5,350.8675,0.08497106500000001
2,AMOSA,205,0.3087341997215828,0.758233040945107,0.0,5,350.8675,0.08497106500000001
2,AMOSA,206,0.3101447182023901,0.7566930476747991,0.0,6,350.8675,0.08497106500000001
2,AMOSA,207,0.3110809321314301,0.7554219540076236,0.0,6,350.8675,0.08497106500000001
2,AMOSA,208,0.31117051680026764,0.7555321757648111,0.0,5,350.8675,0.08497106500000001
2,AMOSA,209,0.30786141842653314,0.7591706460965479,0.0,7,350.8675,0.08497106500000001
2,GA_Energy_Dominance,200,0.621323698624318,0.23657904622745432,0.0,36,350.8675,0.08497106500000001
2,GA_Energy_Dominance,201,0.6961257778386775,0.180048908002361,2.0408163265306123,38,350.8675,0.08497106500000001
2,GA_Energy_Dominance,202,0.5771763857384107,0.3143604013829159,5.1020408163265305,48,350.8675,0.08497106500000001
2,GA_Energy_Dominance,203,0.5273220379185988,0.32895496176520767,3.061224489795918,47,350.8675,0.08497106500000001
2,GA_Energy_Dominance,204,0.6712537497661067,0.20224701427524433,4.081632653061225,34,350.8675,0.08497106500000001
2,GA_Energy_Dominance,205,0.5531745500768019,0.48387841151607053,17.346938775510203,32,350.8675,0.08497106500000001
2,GA_Energy_Dominance,206,0.6355030655329384,0.2513526796620402,3.061224489795918,40,350.8675,0.08497106500000001
2,GA_Energy_Dominance,207,0.6685945566608427,0.25906947024415883,1.0204081632653061,45,350.8675,0.08497106500000001
2,GA_Energy_Dominance,208,0.6637044985436936,0.3280269210736164,21.428571428571427,57,350.8675,0.08497106500000001
2,GA_Energy_Dominance,209,0.6354418312194416,0.2238974618433258,0.0,39,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,200,0.2494162620615008,0.8256314272017843,0.0,3,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,201,0.26531172722934154,0.8079218502966137,0.0,4,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,202,0.2777134262392014,0.7943831269100107,4.081632653061225,4,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,203,0.2623628276179055,0.8111657578509234,0.0,4,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,204,0.25504987621732017,0.8194393613245505,0.0,2,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,205,0.2469217567214836,0.8282874085614592,0.0,4,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,206,0.2542493641711675,0.8201043793702666,0.0,4,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,207,0.2401426250697995,0.8358323845696449,0.0,4,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,208,0.25700493428848853,0.8172900658680146,1.0204081632653061,3,350.8675,0.08497106500000001
2,GA_Makespan_Dominance,209,0.2588883387107244,0.8151248680565476,1.0204081632653061,1,350.8675,0.08497106500000001
2,NSGA-II,200,0.5158822485981158,0.5057681759307491,0.0,32,350.8675,0.08497106500000001
2,NSGA-II,201,0.5747887871686982,0.43709247334627027,0.0,38,350.8675,0.08497106500000001
2,NSGA-II,202,0.5391837157770655,0.4878787180397233,0.0,26,350.8675,0.08497106500000001
2,NSGA-II,203,0.555794895376874,0.46260935749876686,0.0,29,350.8675,0.08497106500000001
2,NSGA-II,204,0.4838229540820738,0.5565530378107297,1.0204081632653061,22,350.8675,0.08497106500000001
2,NSGA-II,205,0.5864433931855054,0.4045632844585595,0.0,38,350.8675,0.08497106500000001
2,NSGA-II,206,0.5562722886456642,0.4617692983143502,0.0,34,350.8675,0.08497106500000001
2,NSGA-II,207,0.5836954361470487,0.41643445003203566,0.0,34,350.8675,0.08497106500000001
2,NSGA-II,208,0.4588934765329193,0.5921469446736334,13.26530612244898,29,350.8675,0.08497106500000001
2,NSGA-II,209,0.6293433929389218,0.30965463081184985,0.0,38,350.8675,0.08497106500000001
