Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_Makespan_Dominance,200,0.003274,0.010105,0.528062,0.001594,3,3,0,3480,0.249416
GA_Makespan_Dominance,201,0.013894,0.008355,0.512503,0.000180,4,4,0,3217,0.265312
GA_Makespan_Dominance,202,0.030412,0.000000,0.498171,0.002820,4,4,4,3281,0.277713
GA_Makespan_Dominance,203,0.009935,0.002988,0.516561,0.001224,4,4,0,3217,0.262363
GA_Makespan_Dominance,204,0.001820,0.003103,0.525071,0.000000,2,2,0,3197,0.255050
GA_Makespan_Dominance,205,0.002207,0.012437,0.530385,0.000125,4,4,0,3253,0.246922
GA_Makespan_Dominance,206,0.001491,0.003517,0.525390,0.000650,4,4,0,3212,0.254249
GA_Makespan_Dominance,207,0.002589,0.021730,0.533556,0.000552,4,4,0,3130,0.240143
GA_Makespan_Dominance,208,0.002475,0.002036,0.523444,0.001626,3,3,1,3155,0.257005
GA_Makespan_Dominance,209,0.005122,0.000000,0.521936,0.000000,1,1,1,3151,0.258888
GA_Makespan_Dominance,MEAN,0.007322,0.006427,0.521508,0.000877,3,3,6,3229,0.256706
GA_Makespan_Dominance,STDDEV,0.008607,0.006487,0.009741,0.000879,,,,,0.009921
GA_Energy_Dominance,200,0.472240,0.215556,0.219808,0.020787,36,36,0,3491,0.621324
GA_Energy_Dominance,201,0.570450,0.137706,0.181772,0.017823,38,38,2,3590,0.696126
GA_Energy_Dominance,202,0.385507,0.253775,0.265326,0.037104,48,48,5,3677,0.577176
GA_Energy_Dominance,203,0.304541,0.282521,0.284817,0.044670,47,47,3,3833,0.527322
GA_Energy_Dominance,204,0.535570,0.170372,0.207090,0.036477,34,34,4,3590,0.671254
GA_Energy_Dominance,205,0.401779,0.008358,0.225609,0.005297,32,32,17,3067,0.553175
GA_Energy_Dominance,206,0.477212,0.219521,0.231737,0.026599,40,40,3,3491,0.635503
GA_Energy_Dominance,207,0.544796,0.103056,0.170818,0.008711,45,45,1,4371,0.668595
GA_Energy_Dominance,208,0.545991,0.030397,0.146165,0.004535,57,57,21,4261,0.663705
GA_Energy_Dominance,209,0.487787,0.205467,0.221366,0.030606,39,39,0,4633,0.635442
GA_Energy_Dominance,MEAN,0.472587,0.162673,0.215451,0.023261,42,42,56,3800,0.624962
GA_Energy_Dominance,STDDEV,0.080768,0.087218,0.039646,0.013455,,,,,0.052741
SA_Makespan_Dominance,200,0.440561,0.095975,0.258436,0.000939,4,4,0,2583,0.497827
SA_Makespan_Dominance,201,0.514815,0.034265,0.233223,0.244532,5,5,4,2451,0.565973
SA_Makespan_Dominance,202,0.492905,0.067305,0.244565,0.355861,3,3,0,2516,0.547523
SA_Makespan_Dominance,203,0.477895,0.088541,0.248352,0.001904,4,4,0,2534,0.532876
SA_Makespan_Dominance,204,0.431792,0.095952,0.260324,0.000967,4,4,0,2466,0.489950
SA_Makespan_Dominance,205,0.448798,0.068839,0.256235,0.291882,3,3,0,2466,0.506897
SA_Makespan_Dominance,206,0.440155,0.081725,0.253362,0.303627,3,3,0,2517,0.498261
SA_Makespan_Dominance,207,0.445433,0.072136,0.262257,0.002096,5,5,0,2600,0.500220
SA_Makespan_Dominance,208,0.426184,0.112317,0.253740,0.001812,4,4,0,2650,0.486924
SA_Makespan_Dominance,209,0.410181,0.077726,0.268482,0.001752,5,5,0,2623,0.470004
SA_Makespan_Dominance,MEAN,0.452872,0.079478,0.253898,0.120537,4,4,4,2540,0.509646
SA_Makespan_Dominance,STDDEV,0.030708,0.020178,0.009463,0.147832,,,,,0.028264
SA_Energy_Dominance,200,0.483794,0.174891,0.211312,0.051749,32,32,0,2811,0.630416
SA_Energy_Dominance,201,0.497015,0.157359,0.199182,0.074777,22,22,0,2868,0.635293
SA_Energy_Dominance,202,0.514034,0.154618,0.199133,0.064931,20,20,0,3037,0.646717
SA_Energy_Dominance,203,0.544909,0.157232,0.198282,0.049075,32,32,3,2946,0.675226
SA_Energy_Dominance,204,0.560685,0.065351,0.172638,0.038753,26,26,6,2683,0.678539
SA_Energy_Dominance,205,0.508810,0.151482,0.200407,0.060623,25,25,2,2766,0.644809
SA_Energy_Dominance,206,0.403532,0.250915,0.241345,0.068361,27,27,0,2717,0.568935
SA_Energy_Dominance,207,0.355854,0.357212,0.268021,0.094742,24,24,0,2850,0.542651
SA_Energy_Dominance,208,0.481465,0.171507,0.206667,0.063154,30,30,0,2784,0.625056
SA_Energy_Dominance,209,0.418699,0.288614,0.236285,0.065549,25,25,0,2683,0.580175
SA_Energy_Dominance,MEAN,0.476880,0.192918,0.213327,0.063171,26,26,11,2814,0.622782
SA_Energy_Dominance,STDDEV,0.061594,0.078926,0.026081,0.014488,,,,,0.042747
NSGA-II,200,0.456208,0.107580,0.191602,0.043007,32,32,0,7126,0.515882
NSGA-II,201,0.519620,0.062092,0.165724,0.038994,38,38,0,5942,0.574789
NSGA-II,202,0.484590,0.060004,0.181822,0.054045,26,26,0,7282,0.539184
NSGA-II,203,0.494046,0.068609,0.168570,0.041044,29,29,0,8566,0.555795
NSGA-II,204,0.418679,0.060515,0.233520,0.058965,22,22,1,7354,0.483823
NSGA-II,205,0.531672,0.099101,0.145009,0.009657,38,38,0,8228,0.586443
NSGA-II,206,0.500869,0.063256,0.174377,0.041657,34,34,0,8021,0.556272
NSGA-II,207,0.532165,0.077749,0.154579,0.038763,34,34,0,8994,0.583695
NSGA-II,208,0.370406,0.023159,0.273507,0.002653,29,29,13,7547,0.458893
NSGA-II,209,0.577261,0.121866,0.134645,0.038848,38,38,0,8563,0.629343
NSGA-II,MEAN,0.488552,0.074393,0.182335,0.036764,32,32,14,7762,0.548412
NSGA-II,STDDEV,0.057167,0.027037,0.039981,0.016687,,,,,0.048355
SPEA-II,200,0.404219,0.045294,0.228813,0.003731,26,26,0,9074,0.496083
SPEA-II,201,0.408923,0.110344,0.226430,0.005354,32,32,0,8661,0.482480
SPEA-II,202,0.350563,0.060108,0.269165,0.006507,22,22,0,8557,0.455515
SPEA-II,203,0.221480,0.039800,0.363411,0.002295,13,13,0,7442,0.375984
SPEA-II,204,0.451003,0.063512,0.200935,0.008898,29,29,0,8107,0.523560
SPEA-II,205,0.358948,0.062260,0.259427,0.007254,21,21,0,7992,0.462141
SPEA-II,206,0.253045,0.024017,0.337245,0.005674,11,11,0,7666,0.399821
SPEA-II,207,0.295342,0.029570,0.314700,0.001938,14,14,7,7719,0.421765
SPEA-II,208,0.430445,0.085664,0.208226,0.003880,26,26,0,7930,0.514932
SPEA-II,209,0.428934,0.088512,0.212160,0.003698,27,27,0,7980,0.508346
SPEA-II,MEAN,0.360290,0.060908,0.262051,0.004923,22,22,7,8112,0.464063
SPEA-II,STDDEV,0.075658,0.026192,0.055002,0.002105,,,,,0.048170
AMOSA,200,0.246781,0.088278,0.388969,0.002709,8,8,0,7083,0.315009
AMOSA,201,0.234177,0.063861,0.396665,0.102039,5,5,0,6984,0.311313
AMOSA,202,0.239458,0.105085,0.389798,0.008516,6,6,0,6956,0.313920
AMOSA,203,0.235183,0.074420,0.394258,0.002481,7,7,0,7598,0.312673
AMOSA,204,0.226878,0.061451,0.399377,0.098386,5,5,0,6997,0.309135
AMOSA,205,0.230229,0.063050,0.397606,0.101288,5,5,0,7151,0.308734
AMOSA,206,0.234057,0.080075,0.397927,0.001311,6,6,0,6973,0.310145
AMOSA,207,0.235281,0.106600,0.388124,0.018141,6,6,0,6973,0.311081
AMOSA,208,0.233219,0.062132,0.397032,0.100854,5,5,0,7015,0.311171
AMOSA,209,0.233313,0.084154,0.379971,0.025173,7,7,0,7318,0.307861
AMOSA,MEAN,0.234858,0.078911,0.392973,0.046090,6,6,0,7104,0.311104
AMOSA,STDDEV,0.005049,0.016288,0.005809,0.045089,,,,,0.002159
Universal_Pareto,ALL,0.745977,0.000000,0.000000,0.000000,98,98,98,0,0.827994
