Algorithm,Makespan,Energy
NSGA-II,41.740000,0.038791216
NSGA-II,45.080000,0.038757128
NSGA-II,45.740000,0.038569104
NSGA-II,49.080000,0.038460276
NSGA-II,50.320000,0.038350605
NSGA-II,51.080000,0.038349204
NSGA-II,51.840000,0.038257716
NSGA-II,52.740000,0.038230135
NSGA-II,54.080000,0.038136168
NSGA-II,55.740000,0.038077118
NSGA-II,55.840000,0.038061097
NSGA-II,56.740000,0.038041575
NSGA-II,58.080000,0.037938296
NSGA-II,59.800000,0.037788307
NSGA-II,60.300000,0.037637088
NSGA-II,61.740000,0.037636175
NSGA-II,63.000000,0.037634679
NSGA-II,66.220000,0.037509458
NSGA-II,67.980000,0.037343012
NSGA-II,68.000000,0.037250762
NSGA-II,70.800000,0.037090469
NSGA-II,74.800000,0.037074534
NSGA-II,75.000000,0.037057728
NSGA-II,76.700000,0.037000409
NSGA-II,79.740000,0.036840267
NSGA-II,81.300000,0.036824468
NSGA-II,82.740000,0.036820865
NSGA-II,82.840000,0.036798806
NSGA-II,83.740000,0.036733949
NSGA-II,84.700000,0.036705295
NSGA-II,88.840000,0.036626588
NSGA-II,90.740000,0.036612580
NSGA-II,91.320000,0.036442309
NSGA-II,92.680000,0.036439345
NSGA-II,93.840000,0.036373037
NSGA-II,95.220000,0.036316154
NSGA-II,102.320000,0.036193939
NSGA-II,104.220000,0.036181992
NSGA-II,105.320000,0.036064718
SPEA-II,12.220000,0.044108631
SPEA-II,12.425000,0.044031617
SPEA-II,15.917857,0.043977354
SPEA-II,16.220000,0.043961085
SPEA-II,16.456667,0.043742309
SPEA-II,16.625000,0.043594520
SPEA-II,16.685000,0.041977461
SPEA-II,17.580000,0.041972902
SPEA-II,17.700000,0.041728840
SPEA-II,17.710000,0.041583465
SPEA-II,18.080000,0.041472118
SPEA-II,18.580000,0.041373366
SPEA-II,18.745000,0.040922194
SPEA-II,20.080000,0.040830843
SPEA-II,20.460000,0.040640587
SPEA-II,21.460000,0.040533301
SPEA-II,22.000000,0.040507045
SPEA-II,22.580000,0.040372110
SPEA-II,24.000000,0.039981271
SPEA-II,24.300000,0.039918670
SPEA-II,24.745000,0.039828584
SPEA-II,27.700000,0.039773096
SPEA-II,29.840000,0.039619428
SPEA-II,31.000000,0.039595531
SPEA-II,31.700000,0.039579841
SPEA-II,31.980000,0.039389308
SPEA-II,32.555000,0.039213653
SPEA-II,34.840000,0.039069761
SPEA-II,35.840000,0.038970882
SPEA-II,36.840000,0.038942827
SPEA-II,37.840000,0.038864563
SPEA-II,38.740000,0.038749994
SPEA-II,40.700000,0.038466322
SPEA-II,42.000000,0.038381654
SPEA-II,43.800000,0.037966436
SPEA-II,47.000000,0.037962075
SPEA-II,47.800000,0.037918882
SPEA-II,50.320000,0.037729674
SPEA-II,51.000000,0.037683426
SPEA-II,51.840000,0.037665447
SPEA-II,56.840000,0.037499424
SPEA-II,57.840000,0.037443332
SPEA-II,59.840000,0.037389863
SPEA-II,63.320000,0.037352762
SPEA-II,64.840000,0.037293383
SPEA-II,65.680000,0.037284511
SPEA-II,65.700000,0.037130668
SPEA-II,73.320000,0.037086112
SPEA-II,76.320000,0.037026889
SPEA-II,77.320000,0.036791675
SPEA-II,79.180000,0.036772337
SPEA-II,82.740000,0.036705950
SPEA-II,86.620000,0.036577863
SPEA-II,89.500000,0.036542948
AMOSA,12.386667,0.044461288
AMOSA,12.460000,0.044424334
AMOSA,12.745000,0.044383249
