Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
SPEA-II,206,0.420653,0.068043,0.304342,0.006881,33,33,0,8535,0.491898
SPEA-II,207,0.429992,0.082126,0.266765,0.008313,44,44,0,9110,0.510860
SPEA-II,208,0.447065,0.052842,0.273738,0.009835,36,36,0,8641,0.523104
SPEA-II,209,0.395811,0.055549,0.320653,0.030848,30,30,0,8801,0.472267
SPEA-II,MEAN,0.419515,0.068994,0.296143,0.013220,34,34,1,8442,0.496645
SPEA-II,STDDEV,0.027765,0.012290,0.031250,0.008689,,,,,0.025033
AMOSA,200,0.165137,0.169122,0.471797,0.010037,9,9,0,8610,0.260766
AMOSA,201,0.164560,0.207698,0.452870,0.018782,14,14,0,7164,0.250850
AMOSA,202,0.192004,0.174731,0.447993,0.032247,13,13,0,6267,0.281566
AMOSA,203,0.154493,0.108474,0.487590,0.107865,11,11,0,5482,0.241496
AMOSA,204,0.146207,0.130429,0.500296,0.012122,15,15,0,5982,0.241773
AMOSA,205,0.211776,0.190654,0.429592,0.013811,16,16,0,7975,0.293131
AMOSA,206,0.138579,0.161114,0.510696,0.028566,7,7,0,8437,0.238279
AMOSA,207,0.171251,0.141827,0.479653,0.011372,15,15,0,6971,0.250910
AMOSA,208,0.159197,0.164588,0.487989,0.007967,18,18,0,7431,0.254553
AMOSA,209,0.128194,0.151552,0.506205,0.010243,15,15,0,7713,0.224880
AMOSA,MEAN,0.163140,0.160019,0.477468,0.025301,13,13,0,7203,0.253820
AMOSA,STDDEV,0.023392,0.027328,0.025430,0.028597,,,,,0.019384
Universal_Pareto,ALL,0.653352,0.000000,0.000000,0.000000,59,59,59,0,0.753903
